|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
0|цамто|цамто|ЦАМТО|UPPR|1|1|1|UPPR|1.0|1|1
1|12 июля|12 июля|12 июля|NUSR|2|1|2|NUSR|1.0|1|1
2|крым|крыму|Крыму|NOUN|4|2|2|TITL|1.0|1|1
8|вд|воздушно-десантных|Воздушно-десантных|TITL|11|2|9|TITL|1.0|2|2
12|авиация|авиации|авиации|NOUN|16|2|14|SPEC|1.0|2|2
18|2400 военнослужащих|2400 военнослужащих|2400 военнослужащих|NUSR|24|3|8|NUSR|1.0|1|1
20|чауда|чауда|Чауда|TITL|27|3|11|TITL|1.0|1|1
28|авиация|авиацией|авиацией|NOUN|37|4|10|SPEC|1.0|2|2
30|вб|владимир бенедиктов|Владимир Бенедиктов|NAME|39|4|12|NAME|1.0|2|2
33|40 самолетов|40 самолетов|40 самолетов|NUSR|46|5|7|NUSR|1.0|1|1
34|ил-76|ил-76|Ил-76|DSNU|47|5|8|DSNU|1.0|1|1
38|вдв|вдв|ВДВ|ABVR|52|5|13|SPEC|1.0|1|1
41|от 600 до 900 м|от 600 до 900 м|от 600 до 900 м|NUSR|56|5|17|NUSR|1.0|1|1
56|вд|воздушно-десантных|Воздушно-десантных|TITL|73|6|10|TITL|1.0|2|2
59|вб|в.бенедиктов|В.Бенедиктов|FLNM|76|6|13|FLNM|1.0|2|2
66|истребитель|истребителей|истребителей|NOUN|84|7|8|SPEC|1.0|1|1
67|су-27|су-27|Су-27|DSNU|85|7|9|DSNU|1.0|1|1
71|самолет|самолетов|самолетов|NOUN|90|7|14|SPEC|2.0|2|2
72|вта|вта|ВТА|ABVR|91|7|15|SPEC|1.0|1|1
75|самолет|самолетов|самолетов|NOUN|95|7|19|SPEC|2.0|2|2
79|а-50у|а-50у|А-50У|DSNU|99|7|23|DSNU|1.0|1|1
80|ил-22-сурт|ил-22-сурт|Ил-22-СУРТ|DSNU|101|7|25|DSNU|1.0|1|1
82|департамент|департамент|Департамент|NOUN|103|7|27|TITL|1.0|1|1
86|минобороны|минобороны|Минобороны|NOUN|108|7|32|TITL|1.0|1|1
87|рф|рф|РФ|NOUN|109|7|33|UPPR|1.0|1|1
