|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|цамто|цамто|ЦАМТО|UPPR|1|1|1|UPPR|1|1.0
1|12 июля|12 июля|12 июля|NUSR|2|1|2|NUSR|1|1.0
2|крым|крыму|Крыму|NOUN|4|2|2|TITL|1|1.0
3|завершился|завершилось|завершилось|VERB|5|2|3||1|1.0
4|масштабный|масштабное|масштабное|ADJF|6|2|4||1|1.0
5|совместный|совместное|совместное|ADJF|7|2|5||1|1.0
6|учение|учение|учение|NOUN|8|2|6||2|1.0
7|подразделение|подразделениями|подразделениями|NOUN|10|2|8||2|1.0
8|вд|воздушно-десантных|Воздушно-десантных|TITL|11|2|9|TITL|2|1.0
9|войско|войск|войск|NOUN|12|2|10||2|1.0
10|экипаж|экипажами|экипажами|NOUN|14|2|12||2|1.0
11|военно-транспортный|военно-транспортной|военно-транспортной|ADJF|15|2|13||2|1.0
12|авиация|авиации|авиации|NOUN|16|2|14|SPEC|2|1.0
13|самый|самый|Самый|ADJF|17|3|1||1|1.0
14|впечатляющий|впечатляющий|впечатляющий|ADJF|18|3|2||1|1.0
15|момент|момент|момент|NOUN|20|3|4||1|1.0
16|практический|практическое|практическое|ADJF|21|3|5||1|1.0
17|десантирование|десантирование|десантирование|NOUN|22|3|6||3|1.0
18|2400 военнослужащих|2400 военнослужащих|2400 военнослужащих|NUSR|24|3|8|NUSR|1|1.0
19|полигон|полигон|полигон|NOUN|26|3|10||1|1.0
20|чауда|чауда|Чауда|TITL|27|3|11|TITL|1|1.0
21|итог|итоги|Итоги|NOUN|28|4|1||1|1.0
22|учение|учения|учения|NOUN|29|4|2||2|1.0
23|прокомментировал|прокомментировал|прокомментировал|VERB|30|4|3||1|1.0
24|беседа|беседе|беседе|NOUN|32|4|5||1|1.0
25|журналист|журналистами|журналистами|NOUN|34|4|7||1|1.0
26|командующий|командующий|командующий|NOUN|35|4|8||1|1.0
27|военно-транспортный|военно-транспортной|военно-транспортной|ADJF|36|4|9||2|1.0
28|авиация|авиацией|авиацией|NOUN|37|4|10|SPEC|2|1.0
29|генерал-лейтенант|генерал-лейтенант|генерал-лейтенант|NOUN|38|4|11||1|1.0
30|вб|владимир бенедиктов|Владимир Бенедиктов|NAME|39|4|12|NAME|2|1.0
31|десантирование|десантировании|десантировании|NOUN|42|5|3||3|1.0
32|задействован|задействовано|задействовано|PRTS|44|5|5||1|1.0
33|40 самолетов|40 самолетов|40 самолетов|NUSR|46|5|7|NUSR|1|1.0
34|ил-76|ил-76|Ил-76|DSNU|47|5|8|DSNU|1|1.0
35|осуществляю|осуществляли|осуществляли|VERB|49|5|10||1|1.0
36|выброска|выброску|выброску|NOUN|50|5|11||1|1.0
37|подразделение|подразделений|подразделений|NOUN|51|5|12||2|1.0
38|вдв|вдв|ВДВ|ABVR|52|5|13|SPEC|1|1.0
39|малый|малых|малых|ADJF|54|5|15||1|1.0
40|высота|высот|высот|NOUN|55|5|16||1|1.0
41|от 600 до 900 м|от 600 до 900 м|от 600 до 900 м|NUSR|56|5|17|NUSR|1|1.0
42|два|двумя|двумя|NUMR|57|5|18||1|1.0
43|параллельный|параллельными|параллельными|ADJF|58|5|19||1|1.0
44|поток|потоками|потоками|NOUN|59|5|20||1|1.0
45|минимальный|минимальном|минимальном|ADJF|61|5|22||1|1.0
46|боковой|боковом|боковом|ADJF|62|5|23||1|1.0
47|эшелонирование|эшелонировании|эшелонировании|NOUN|63|5|24||1|1.0
