|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
0|пао|пао|ПАО|ABVR|1|1|1|SPEC|1|1.0|1
1|туполев|туполев|Туполев|NOUN|2|1|2|CLIV|1|1.0|1
5|военно-транспортный|военно-транспортного|военно-транспортного|ADJF|6|1|6|SPEC|3|1.0|3
6|самолет|самолета|самолета|NOUN|7|1|7|SPEC|7|1.0|7
7|вкс|вкс|ВКС|ABVR|9|1|9|SPEC|1|1.0|1
8|россия|россии|России|NOUN|10|1|10|SPEC|1|1.0|1
14|ан-12|ан-12|Ан-12|DSNU|17|1|17|DSNU|2|1.0|2
19|военно-транспортный|военно-транспортного|военно-транспортного|ADJF|24|2|7|SPEC|3|1.0|3
20|самолет|самолета|самолета|NOUN|25|2|8|SPEC|7|1.0|7
24|ак|александр конюхов|Александр Конюхов|NAME|29|2|12|NAME|1|1.0|1
27|70-летия|70-летия|70-летия|NUSR|34|2|17|NUSR|1|1.0|1
30|туполева|туполева|Туполева|NOUN|37|2|20|CLIV|2|1.0|2
31|жуковский|жуковском|Жуковском|NOUN|39|2|22|TITL|1|1.0|1
34|самолет|самолета|самолета|NOUN|42|3|3|SPEC|7|1.0|7
38|кб|кб|КБ|ABVR|48|4|4|SPEC|1|1.0|1
39|туполева|туполева|Туполева|NOUN|49|4|5|TITL|2|1.0|2
44|самолет|самолетов|самолетов|NOUN|55|4|11|SPEC|7|1.0|7
50|ту-75|ту-75|Ту-75|DSNU|63|4|19|DSNU|1|1.0|1
51|ту-107|ту-107|Ту-107|DSNU|65|4|21|DSNU|1|1.0|1
54|бомбардировщик|бомбардировщика|бомбардировщика|NOUN|68|4|24|SPEC|2|1.0|2
55|ту-4|ту-4|Ту-4|DSNU|69|4|25|DSNU|1|1.0|1
57|ту-104|ту-104|Ту-104|DSNU|72|4|28|DSNU|1|1.0|1
63|бомбардировщик|бомбардировщиков|бомбардировщиков|NOUN|81|5|8|SPEC|2|1.0|2
65|самолет|самолетов|самолетов|NOUN|84|5|11|SPEC|7|1.0|7
67|ан-12|ан-12|Ан-12|DSNU|88|6|1|DSNU|2|1.0|2
70|военно-транспортный|военно-транспортный|военно-транспортный|ADJF|91|6|4|SPEC|3|1.0|3
71|самолет|самолет|самолет|NOUN|92|6|5|SPEC|7|1.0|7
73|с 1959 года|с 1959 года|с 1959 года|NUSR|95|6|8|NUSR|1|1.0|1
79|судно|судно|судно|NOUN|106|7|11|SPEC|1|1.0|1
81|60 лет|60 лет|60 лет|NUSR|110|8|4|NUSR|1|1.0|1
82|самолет|самолет|самолет|NOUN|112|8|6|SPEC|7|1.0|7
