|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|пао|пао|ПАО|ABVR|1|1|1|SPEC|1|1.0
1|туполев|туполев|Туполев|NOUN|2|1|2|CLIV|1|1.0
2|занялся|займется|займется|VERB|3|1|3||1|1.0
3|создание|созданием|созданием|NOUN|4|1|4||3|1.0
4|среднее|среднего|среднего|NOUN|5|1|5||2|1.0
5|военно-транспортный|военно-транспортного|военно-транспортного|ADJF|6|1|6|SPEC|3|1.0
6|самолет|самолета|самолета|NOUN|7|1|7|SPEC|7|1.0
7|вкс|вкс|ВКС|ABVR|9|1|9|SPEC|1|1.0
8|россия|россии|России|NOUN|10|1|10|SPEC|1|1.0
9|призванный|призванного|призванного|ADJF|11|1|11||1|1.0
10|заменить|заменить|заменить|INFN|12|1|12||1|1.0
11|войско|войсках|войсках|NOUN|14|1|14||1|1.0
12|устаревший|устаревший|устаревший|ADJF|15|1|15||1|1.0
13|советский|советский|советский|ADJF|16|1|16||2|1.0
14|ан-12|ан-12|Ан-12|DSNU|17|1|17|DSNU|2|1.0
15|перспектива|перспективе|перспективе|NOUN|19|2|2||1|1.0
16|работа|работы|работы|NOUN|20|2|3||1|1.0
17|создание|созданию|созданию|NOUN|22|2|5||3|1.0
18|среднее|среднего|среднего|NOUN|23|2|6||2|1.0
19|военно-транспортный|военно-транспортного|военно-транспортного|ADJF|24|2|7|SPEC|3|1.0
20|самолет|самолета|самолета|NOUN|25|2|8|SPEC|7|1.0
21|рассказал|рассказал|рассказал|VERB|26|2|9||1|1.0
22|глава|глава|глава|NOUN|27|2|10||1|1.0
23|компания|компании|компании|NOUN|28|2|11||1|1.0
24|ак|александр конюхов|Александр Конюхов|NAME|29|2|12|NAME|1|1.0
25|праздник|празднике|празднике|NOUN|31|2|14||1|1.0
26|честь|честь|честь|NOUN|33|2|16||1|1.0
27|70-летия|70-летия|70-летия|NUSR|34|2|17|NUSR|1|1.0
28|летно-испытательной|летно-испытательной|летно-испытательной|UNKN|35|2|18|UNKN|1|1.0
29|баз|базы|базы|NOUN|36|2|19||2|1.0
30|туполева|туполева|Туполева|NOUN|37|2|20|CLIV|2|1.0
31|жуковский|жуковском|Жуковском|NOUN|39|2|22|TITL|1|1.0
32|характеристика|характеристики|Характеристики|NOUN|40|3|1||1|1.0
33|будущее|будущего|будущего|NOUN|41|3|2||1|1.0
