|values
keyscount|298.0
Ukeyscount|78.0
Skeyscount|5.0
USkeyscount|4.0
Nkeyscount|199.0
UNkeyscount|15.0
partlangkeys|['PRTF', 'NOUN', 'ADJF', 'LATN', 'ABVR', 'NAME', 'DSNU', 'TITL', 'WIQM']
typeskeys|['WIQM', None, 'LATN', 'SPEC', 'NAME', 'DSNU', 'ABVR', 'UPPR', 'TITL']
inwhatsents|[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 33, 35, 37, 39, 41, 43, 44, 45, 46, 47, 48, 49, 50, 52, 54, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 104, 105, 106, 107, 108, 109, 110]
minkeyssent|1.0
maxkeyssent|9.0
meankeyssent|3.14
minrepeatkey|1.0
maxrepeatkeys|34.0
meanrepeatkey|12.67
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'numexpress', 'rdeco', 'count_key_text', 'count_word_sent']
keys-%|23.61
Ukeys-%|6.18
KUkeys-%|26.17
Skeys-%|0.4
Skeysofkeys-%|1.68
USkeysofUkeys-%|5.13
Nkeys-%|15.77
Nkeysofkeys-%|66.78
UNkeysofUkeys-%|19.23
