|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
0|сеть|сети|Сети|NOUN|2|1|2|TITL|2|1.0|2
3|военный|военный|военный|NOUN|5|1|5||6|1.0|6
4|справочник|справочник|справочник|NOUN|6|1|6||4|1.0|4
5|сша|сша|США|NOUN|7|1|7|SPEC|4|1.0|4
9|россия|россию|Россию|NOUN|16|1|16|SPEC|3|1.0|3
14|сми|сми|СМИ|NOUN|22|1|22|UPPR|1|1.0|1
19|россия|россией|Россией|NOUN|29|2|7|SPEC|3|1.0|3
20|trngwh|the russian new generation warfare handbook|The Russian New Generation Warfare Handbook|NAME|30|2|8|NAME|1|1.0|1
23|2016 года|2016 года|2016 года|NUSR|35|2|13|NUSR|1|1.0|1
24|2019 году|2019 году|2019 году|NUSR|37|2|15|NUSR|1|1.0|1
27|сеть|сеть|Сеть|NOUN|41|2|19|TITL|2|1.0|2
29|tni|the national interest|The National Interest|NAME|43|2|21|NAME|1|1.0|1
33|68 страниц|68 страниц|68 страниц|NUSR|48|3|5|NUSR|1|1.0|1
36|российский|российской|российской|ADJF|53|3|10||5|2.0|5
37|техника|техники|техники|NOUN|54|3|11|SPEC|1|1.0|1
39|российский|российском|российском|ADJF|58|3|15||5|2.0|5
40|оборудование|оборудовании|оборудовании|NOUN|59|3|16|SPEC|2|1.0|2
45|россия|россия|Россия|NOUN|66|4|5|SPEC|3|1.0|3
48|сша|сша|США|NOUN|70|4|9|SPEC|4|1.0|4
60|справочник|справочнике|справочнике|NOUN|88|5|2||4|1.0|4
62|российский|российская|российская|ADJF|92|5|6||5|1.0|5
65|ср|смену режима|смену режима|WIQM|96|5|10|WIQM|1|1.0|1
72|военный|военную|военную|ADJF|106|5|20||6|1.0|6
79|военный|военным|военным|NOUN|113|6|6||6|1.0|6
85|справочник|справочник|справочник|NOUN|120|6|13||4|1.0|4
90|российский|российской|российской|ADJF|128|7|8||5|1.0|5
94|военный|военные|военные|NOUN|133|7|13||6|1.0|6
95|сша|сша|США|NOUN|134|7|14|SPEC|4|1.0|4
104|российский|российских|российских|ADJF|149|8|15||5|1.0|5
105|военный|военных|военных|NOUN|150|8|16||6|1.0|6
125|справочник|справочника|справочника|NOUN|178|9|24||4|1.0|4
127|военный|военным|военным|NOUN|182|10|3||6|1.0|6
128|сша|сша|США|NOUN|183|10|4|SPEC|4|1.0|4
135|gps|gps|GPS|UPPR|193|10|14|UPPR|1|1.0|1
137|оборудование|оборудование|оборудование|NOUN|196|10|17|SPEC|2|1.0|2
139|дегтярев|дегтярев|Дегтярев|NOUN|198|11|2|TITL|1|1.0|1
