|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
2|подлодка|подлодки|подлодки|NOUN|3|1|3|SPEC|1|1.0|1
3|апл|апл|АПЛ|ABVR|4|1|4|ABVR|1|1.0|1
10|лл|летающие лодки|летающие лодки|ABVR|12|1|12|ABVR|1|1.0|1
11|бе-12|бе-12|Бе-12|DSNU|13|1|13|DSNU|2|1.0|2
12|чайка|чайка|Чайка|NOUN|14|1|14|CLIV|2|1.0|2
14|известие|известия|Известия|NOUN|16|1|16|CLIV|2|1.0|2
18|самолет|самолеты|самолеты|NOUN|21|2|5|SPEC|4|1.0|4
22|оборудование|оборудование|оборудование|NOUN|25|2|9|SPEC|2|1.0|2
24|комплекс|комплекс|комплекс|NOUN|27|2|11|SPEC|1|1.0|1
25|датчик|датчики|датчики|NOUN|28|2|12|SPEC|1|1.0|1
33|торпеда|торпеды|торпеды|NOUN|40|2|24|SPEC|1|1.0|1
34|известие|известия|Известия|NOUN|41|3|1|CLIV|2|1.0|2
37|лодка|лодка|лодка|NOUN|45|3|5|SPEC|1|1.0|1
40|самолет|самолетом|самолетом|NOUN|48|3|8|SPEC|4|1.0|4
43|вм|военно-морского|Военно-морского|TITL|52|3|12|TITL|1|1.0|1
45|вмф|вмф|ВМФ|ABVR|54|3|14|ABVR|3|1.0|3
46|россия|россии|России|NOUN|55|3|15|SPEC|1|1.0|1
47|самолет|самолет|самолет|NOUN|57|4|2|SPEC|4|1.0|4
53|оборудование|оборудование|оборудование|NOUN|66|5|6|SPEC|2|1.0|2
64|главное|главного|Главного|NOUN|83|6|9|TITL|2|1.0|2
66|вмф|вмф|ВМФ|ABVR|85|6|11|SPEC|3|1.0|3
68|вс|валентин селиванов|Валентин Селиванов|NAME|87|6|13|NAME|1|1.0|1
76|сп|санкт-петербурге|Санкт-Петербурге|NAME|99|7|12|NAME|1|1.0|1
78|макет|макет|макет|NOUN|101|7|14|SPEC|1|1.0|1
81|мина|мины|мины|NOUN|104|7|17|SPEC|1|1.0|1
82|вмф|вмф|ВМФ|ABVR|106|7|19|SPEC|3|1.0|3
85|бе-12|бе-12|Бе-12|DSNU|110|8|1|DSNU|2|1.0|2
86|чайка|чайка|Чайка|NOUN|111|8|2|CLIV|2|1.0|2
90|1960 году|1960 году|1960 году|NUSR|116|8|7|NUSR|1|1.0|1
91|1959-1973 годы|1959-1973 годы|1959-1973 годы|NUSR|118|9|2|NUSR|1|1.0|1
93|143 таких|143 таких|143 таких|NUSR|121|9|5|NUSR|1|1.0|1
94|самолет|самолета|самолета|NOUN|122|9|6|SPEC|4|1.0|4
