|values
allwordscount|402.0
relwordscount|281.0
badwordscount|115.0
garbagewordscount|6.0
typeswords|['NOUN', 'VERB', 'ADJF', 'NUMR', 'INFN', 'NUSR', 'TITL', 'PRTF', 'PRCL', 'CLIV', 'UNKN', 'PRTS', 'NAME', 'ADJS', 'DSNU', 'COMP', 'WIQM', 'ABVR']
sentscount|28.0
minwordssent|3.0
maxwordssent|26.0
meanwordssent|14.36
minrepeatword|1.0
maxrepeatword|7.0
meanrepeatword|1.78
allcolumnsstat|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent']
garbage-%|1.49
bad-%|28.61
