|word|tword|pos|idsent|sentpos
60|военно-патриотического|военно-патриотического|90|6|2
63|массо-габаритный|массо-габаритный|93|6|5
100|шестиметровую|шестиметровую|153|10|4
102|транспортно-заряжающей|транспортно-заряжающей|157|10|8
119|шестиколесного|шестиколесного|191|13|2
120|вездехода-амфибии|вездехода-амфибии|192|13|3
