|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
2|боевой|боевую|боевую|ADJF|3|1|3||5|1.0|5
3|техника|технику|технику|NOUN|4|1|4|SPEC|1|1.0|1
4|установка|установки|установки|NOUN|6|1|6|SPEC|5|1.0|5
8|патриот|патриот|Патриот|NOUN|11|1|11|CLIV|2|1.0|2
9|курск|курске|Курске|NOUN|13|1|13|TITL|2|1.0|2
18|танк|танка|танка|NOUN|26|2|13|SPEC|2|1.0|2
19|60-х|60-х|60-х|NUSR|27|2|14|NUSR|2|1.0|2
23|град|град|Град|NOUN|31|2|18|CLIV|1|1.0|1
26|комплекс|комплексы|комплексы|NOUN|34|2|21|SPEC|3|1.0|3
27|гаубица|гаубица|гаубица|NOUN|36|2|23|SPEC|1|1.0|1
33|халино|халино|Халино|TITL|44|3|5|TITL|2|1.0|2
37|боевой|боевые|боевые|ADJF|49|3|10||5|1.0|5
38|вертолет|вертолеты|вертолеты|NOUN|50|3|11|SPEC|3|1.0|3
39|целик|целиком|целиком|NOUN|51|3|12|SPEC|1|1.0|1
44|бригада|бригаде|бригаде|NOUN|59|4|3||4|1.0|4
47|установка|установке|установке|NOUN|64|4|8|SPEC|5|1.0|5
49|комплекс|комплекс|комплекс|NOUN|67|4|11|SPEC|3|1.0|3
50|ту|точка-у|Точка-У|CLIV|68|4|12|CLIV|2|1.0|2
55|боевой|боевую|Боевую|ADJF|73|5|1||5|1.0|5
56|ракета|ракету|ракету|NOUN|74|5|2|SPEC|7|1.0|7
64|100 килотонн|100 килотонн|100 килотонн|NUSR|88|5|16|NUSR|1|1.0|1
70|макет|макет|макет|NOUN|94|6|6|SPEC|2|1.0|2
71|ракета|ракета|ракета|NOUN|97|6|9|SPEC|7|1.0|7
76|сопло|сопло|сопло|NOUN|104|7|4|SPEC|1|1.0|1
78|боевой|боевая|боевая|ADJF|107|7|7||5|1.0|5
82|точка|точки|Точки|NOUN|113|7|13|CLIV|4|1.0|4
83|двигатель|двигателя|двигателя|NOUN|115|7|15|SPEC|3|1.0|3
84|топливо|топлива|топлива|NOUN|116|7|16|SPEC|1|1.0|1
85|капсула|капсулы|капсулы|NOUN|118|7|18|SPEC|1|1.0|1
96|ракета|ракет|ракет|NOUN|134|8|9|SPEC|7|1.0|7
98|установка|установки|установки|NOUN|137|8|12|SPEC|5|1.0|5
100|30 у|30 у|30 у|NUSR|140|9|3|NUSR|1|1.0|1
106|бригада|бригады|бригады|NOUN|147|9|10||4|1.0|4
108|ая|алексей яровенко|Алексей Яровенко|NAME|149|9|12|NAME|1|1.0|1
113|ракета|ракету|ракету|NOUN|154|10|5|SPEC|7|1.0|7
116|машина|машины|машины|NOUN|158|10|9|SPEC|4|1.0|4
123|ракета|ракету|ракету|NOUN|172|11|5|SPEC|7|1.0|7
125|боевой|боевой|боевой|ADJF|175|11|8||5|1.0|5
129|установка|установку|установку|NOUN|180|12|2|SPEC|5|1.0|5
132|точка|точка|Точка|NOUN|187|12|9|CLIV|4|1.0|4
139|двигатель|двигатель|двигатель|NOUN|196|13|7|SPEC|3|1.0|3
146|ракета|ракеты|ракеты|NOUN|210|13|21|SPEC|7|1.0|7
148|точка|точку|Точку|NOUN|212|14|2|CLIV|4|1.0|4
152|патриот|патриот|Патриот|NOUN|219|15|3|CLIV|2|1.0|2
155|45 градусов|45 градусов|45 градусов|NUSR|224|15|8|NUSR|1|1.0|1
163|комплекс|комплекса|комплекса|NOUN|236|16|4|SPEC|3|1.0|3
164|ту|точка-у|Точка-У|CLIV|237|16|5|CLIV|2|1.0|2
166|сн|сергей непобедимый|Сергей Непобедимый|NAME|240|16|8|NAME|1|1.0|1
167|точка|точка|Точка|NOUN|241|17|1|CLIV|4|1.0|4
171|ракета|ракеты|ракеты|NOUN|246|17|6|SPEC|7|1.0|7
175|бригада|бригады|бригады|NOUN|252|18|6||4|1.0|4
181|халино|халино|Халино|TITL|259|18|13|TITL|2|1.0|2
186|вертолет|вертолетов|вертолетов|NOUN|264|18|18|SPEC|3|1.0|3
187|ми-8|ми-8|Ми-8|DSNU|265|18|19|DSNU|2|1.0|2
188|ми-24|ми-24|Ми-24|DSNU|267|18|21|DSNU|2|1.0|2
189|машина|машин|машин|NOUN|269|19|2|SPEC|4|1.0|4
192|шасси|шасси|шасси|NOUN|272|19|5|SPEC|1|1.0|1
198|двигатель|двигатели|Двигатели|NOUN|279|20|1|SPEC|3|1.0|3
201|оборудование|оборудование|оборудование|NOUN|283|20|5|SPEC|1|1.0|1
204|машина|машины|Машины|NOUN|287|21|1|SPEC|4|1.0|4
211|установка|установки|установки|NOUN|299|21|13|SPEC|5|1.0|5
212|бригада|бригада|бригада|NOUN|302|21|16||4|1.0|4
217|вертолет|вертолеты|вертолеты|NOUN|309|21|23|SPEC|3|1.0|3
225|ми-24|ми-24|Ми-24|DSNU|323|23|2|DSNU|2|1.0|2
226|лб|летающая бмп|летающая БМП|WIQM|325|23|4|WIQM|1|1.0|1
229|ми-8|ми-8|Ми-8|DSNU|329|23|8|DSNU|2|1.0|2
230|машина|машина|машина|NOUN|331|23|10|SPEC|4|1.0|4
235|ип|илья петров|Илья Петров|NAME|338|23|17|NAME|1|1.0|1
240|истребитель|истребители|истребители|NOUN|347|24|9|SPEC|1|1.0|1
241|сухой|сухого|Сухого|NOUN|348|24|10|TITL|1|1.0|1
244|60-х|60-х|60-х|NUSR|352|25|4|NUSR|2|1.0|2
246|танк|танки|танки|NOUN|354|25|6|SPEC|2|1.0|2
247|т-62|т-62|Т-62|DSNU|355|25|7|DSNU|2|1.0|2
248|и 64 установят|и 64 установят|и 64 установят|NUSR|356|25|8|NUSR|1|1.0|1
250|мж|маршала жукова|Маршала Жукова|NAME|359|25|11|NAME|1|1.0|1
256|пушка|пушки|пушки|NOUN|368|26|2|SPEC|1|1.0|1
261|пулемет|пулеметов|пулеметов|NOUN|375|26|9|SPEC|1|1.0|1
263|макет|макеты|макеты|NOUN|377|26|11|SPEC|2|1.0|2
265|броня|броню|броню|NOUN|380|26|14|SPEC|1|1.0|1
269|гусеница|гусеницы|гусеницы|NOUN|388|26|22|SPEC|1|1.0|1
271|т-62|т-62|Т-62|DSNU|391|27|3|DSNU|2|1.0|2
277|снаряд|снаряда|снаряда|NOUN|399|27|11|SPEC|1|1.0|1
279|валагин|валагин|Валагин|TITL|401|28|2|TITL|1|1.0|1
280|курск|курск|Курск|ABVR|402|28|3|ABVR|2|1.0|2
