|values
allwordscount|295.0
relwordscount|160.0
badwordscount|129.0
garbagewordscount|6.0
punctuationcount|61.0
typesrelwords|['ADJF', 'NOUN', 'VERB', 'LATN', 'INFN', 'NUMB', 'PRCL', 'NUMR', 'COMP', 'PRTF', 'DSNU', 'ADJS', 'PRED']
sentscount|20.0
minwordssent|1.0
maxwordssent|28.0
meanwordssent|16.8
minrepeatword|1.0
maxrepeatword|8.0
meanrepeatword|2.48
allcolumnsstat|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'numexpress', 'rdeco', 'count_word_text', 'count_word_sent']
garbage-%|2.03
bad-%|43.73
punct-%|20.68
