|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|москва|москва|Москва|NOUN|1|1|1||1|1.0
1|11 июля|11 июля|11 июля|NUSR|2|2|1|NUSR|1|1.0
2|интерфакс|интерфакс|ИНТЕРФАКС|NOUN|3|3|1|UPPR|1|1.0
3|лк|летно-конструкторские|Летно-конструкторские|TITL|4|3|2|TITL|1|1.0
4|испытание|испытания|испытания|NOUN|5|3|3||2|1.0
5|ракета-носитель|ракеты-носителя|ракеты-носителя|NOUN|6|3|4||3|1.0
6|с21|союз-2.1в|Союз-2.1в|WIQM|7|3|5|WIQM|3|1.0
7|завершён|завершены|завершены|PRTS|8|3|6||2|1.0
8|успешный|успешным|успешным|ADJF|9|3|7||1|1.0
9|пуск|пуском|пуском|NOUN|10|3|8||1|1.0
10|среда|среду|среду|NOUN|12|3|10||2|1.0
11|космодром|космодрома|космодрома|NOUN|14|3|12|SPEC|1|1.0
12|плесецк|плесецке|Плесецке|NOUN|16|3|14|TITL|2|1.0
13|сообщаю|сообщает|сообщает|VERB|17|3|15||1|1.0
14|ракетно-космический|ракетно-космический|ракетно-космический|ADJF|18|3|16||1|1.0
15|центр|центр|центр|NOUN|19|3|17||1|1.0
16|ркц|ркц|РКЦ|ABVR|20|3|18|ABVR|4|1.0
17|прогресс|прогресс|Прогресс|NOUN|21|3|19|CLIV|4|1.0
18|запуск|запуском|запуском|NOUN|23|4|2||4|1.0
19|завершён|завершена|завершена|PRTS|24|4|3||2|1.0
20|программа|программа|программа|NOUN|25|4|4||1|1.0
21|летно-конструкторский|летно-конструкторских|летно-конструкторских|ADJF|26|4|5||1|1.0
22|испытание|испытаний|испытаний|NOUN|27|4|6||2|1.0
23|сообщил|сообщили|сообщили|VERB|28|4|7||1|1.0
24|пресс-служба|пресс-службе|пресс-службе|NOUN|30|4|9||1|1.0
25|ркц|ркц|РКЦ|UPPR|31|4|10|UPPR|4|1.0
26|напомнил|напомнили|напомнили|VERB|33|5|2||2|1.0
27|среда|среду|среду|NOUN|36|5|5||2|1.0
28|20:14|20:14|20:14|NUSR|38|5|7|NUSR|1|1.0
29|мск|мск|мск|UNKN|39|5|8|UNKN|1|1.0
30|стартовый|стартового|стартового|ADJF|41|5|10||1|1.0
31|комплекс|комплекса|комплекса|NOUN|42|5|11|SPEC|1|1.0
32|площадка|площадки|площадки|NOUN|43|5|12||1|1.0
33|43 космодрома|43 космодрома|43 космодрома|NUSR|44|5|13|NUSR|1|1.0
34|плесецк|плесецк|Плесецк|NOUN|45|5|14|CLIV|2|1.0
35|состоялся|состоялся|состоялся|VERB|46|5|15||1|1.0
36|запуск|запуск|запуск|NOUN|47|5|16||4|1.0
37|ракета-носитель|ракеты-носителя|ракеты-носителя|NOUN|48|5|17||3|1.0
38|с2|союз-2|Союз-2|CLIV|49|5|18|CLIV|1|1.0
39|этап|этапа|этапа|NOUN|50|5|19||1|1.0
40|1в|1в|1в|NUSR|51|5|20|NUSR|1|1.0
41|блок|блоком|блоком|NOUN|53|5|22||3|1.0
42|выведение|выведения|выведения|NOUN|54|5|23||3|1.0
43|волга|волга|Волга|NOUN|55|5|24|CLIV|3|1.0
44|космический|космическими|космическими|ADJF|57|5|26||3|1.0
45|аппарат|аппаратами|аппаратами|NOUN|58|5|27|SPEC|2|1.0
46|интерес|интересах|интересах|NOUN|60|5|29||1|1.0
47|минобороны|минобороны|Минобороны|NOUN|61|5|30|TITL|1|1.0
48|рф|рф|РФ|NOUN|62|5|31|UPPR|1|1.0
49|двухступенчатый|двухступенчатая|Двухступенчатая|ADJF|63|6|1||1|1.0
50|ракета|ракета|ракета|NOUN|64|6|2|SPEC|2|1.0
51|легкое|легкого|легкого|NOUN|65|6|3||2|1.0
52|класс|класса|класса|NOUN|66|6|4||2|1.0
53|с21|союз-2.1в|Союз-2.1в|WIQM|67|6|5|WIQM|3|1.0
54|блок|блок|блок|NOUN|69|6|7||3|1.0
55|выведение|выведения|выведения|NOUN|70|6|8||3|1.0
56|волга|волга|Волга|NOUN|71|6|9|CLIV|3|1.0
57|разработан|разработаны|разработаны|PRTS|72|6|10||1|1.0
58|произведён|произведены|произведены|PRTS|74|6|12||1|1.0
59|ао|ао|АО|ABVR|76|6|14|SPEC|1|1.0
60|ркц|ркц|РКЦ|WIQM|77|6|15|WIQM|4|1.0
61|прогресс|прогресс|Прогресс|NOUN|78|6|16|CLIV|4|1.0
62|запуск|запуск|Запуск|NOUN|79|7|1||4|1.0
63|ракета|ракеты|ракеты|NOUN|80|7|2|SPEC|2|1.0
64|осуществлен|осуществлен|осуществлен|PRTS|82|7|4||1|1.0
65|боевы|боевым|боевым|NOUN|83|7|5||1|1.0
66|расчет|расчетом|расчетом|NOUN|84|7|6||1|1.0
67|космический|космических|Космических|ADJF|85|7|7|TITL|3|1.0
68|войско|войск|войск|NOUN|86|7|8||1|1.0
69|вкс|вкс|ВКС|ABVR|87|7|9|SPEC|1|1.0
70|участие|участием|участием|NOUN|89|7|11||1|1.0
71|специалист|специалистов|специалистов|NOUN|90|7|12||1|1.0
72|ркц|ркц|РКЦ|UPPR|91|7|13|UPPR|4|1.0
73|прогресс|прогресс|Прогресс|NOUN|92|7|14|CLIV|4|1.0
74|предприятие|предприятий|предприятий|NOUN|94|7|16|SPEC|1|1.0
75|кооперация|кооперации|кооперации|NOUN|95|7|17||1|1.0
76|прошел|прошел|прошел|VERB|97|7|19||1|1.0
77|штатный|штатном|штатном|ADJF|99|7|21||1|1.0
78|режим|режиме|режиме|NOUN|100|7|22||1|1.0
79|с21|союз-2.1в|Союз-2.1в|WIQM|101|8|1|WIQM|3|1.0
80|предназначен|предназначен|предназначен|PRTS|102|8|2||1|1.0
81|запуск|запуска|запуска|NOUN|104|8|4||4|1.0
