|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
1|11 июля|11 июля|11 июля|NUSR|2|2|1|NUSR|1.0|1|1
2|интерфакс|интерфакс|ИНТЕРФАКС|NOUN|3|3|1|UPPR|1.0|1|1
3|лк|летно-конструкторские|Летно-конструкторские|TITL|4|3|2|TITL|1.0|1|1
6|с21|союз-2.1в|Союз-2.1в|WIQM|7|3|5|WIQM|1.0|3|3
11|космодром|космодрома|космодрома|NOUN|14|3|12|SPEC|1.0|1|1
12|плесецк|плесецке|Плесецке|NOUN|16|3|14|TITL|1.0|2|2
16|ркц|ркц|РКЦ|ABVR|20|3|18|ABVR|1.0|4|4
17|прогресс|прогресс|Прогресс|NOUN|21|3|19|CLIV|1.0|4|4
18|запуск|запуском|запуском|NOUN|23|4|2||1.0|4|4
25|ркц|ркц|РКЦ|UPPR|31|4|10|UPPR|1.0|4|4
28|20:14|20:14|20:14|NUSR|38|5|7|NUSR|1.0|1|1
31|комплекс|комплекса|комплекса|NOUN|42|5|11|SPEC|1.0|1|1
33|43 космодрома|43 космодрома|43 космодрома|NUSR|44|5|13|NUSR|1.0|1|1
34|плесецк|плесецк|Плесецк|NOUN|45|5|14|CLIV|1.0|2|2
36|запуск|запуск|запуск|NOUN|47|5|16||1.0|4|4
38|с2|союз-2|Союз-2|CLIV|49|5|18|CLIV|1.0|1|1
40|1в|1в|1в|NUSR|51|5|20|NUSR|1.0|1|1
43|волга|волга|Волга|NOUN|55|5|24|CLIV|1.0|3|3
45|аппарат|аппаратами|аппаратами|NOUN|58|5|27|SPEC|1.0|2|2
47|минобороны|минобороны|Минобороны|NOUN|61|5|30|TITL|1.0|1|1
48|рф|рф|РФ|NOUN|62|5|31|UPPR|1.0|1|1
50|ракета|ракета|ракета|NOUN|64|6|2|SPEC|1.0|2|2
53|с21|союз-2.1в|Союз-2.1в|WIQM|67|6|5|WIQM|1.0|3|3
56|волга|волга|Волга|NOUN|71|6|9|CLIV|1.0|3|3
59|ао|ао|АО|ABVR|76|6|14|SPEC|1.0|1|1
60|ркц|ркц|РКЦ|WIQM|77|6|15|WIQM|1.0|4|4
61|прогресс|прогресс|Прогресс|NOUN|78|6|16|CLIV|1.0|4|4
62|запуск|запуск|Запуск|NOUN|79|7|1||1.0|4|4
63|ракета|ракеты|ракеты|NOUN|80|7|2|SPEC|1.0|2|2
67|космический|космических|Космических|ADJF|85|7|7|TITL|1.0|3|3
69|вкс|вкс|ВКС|ABVR|87|7|9|SPEC|1.0|1|1
72|ркц|ркц|РКЦ|UPPR|91|7|13|UPPR|1.0|4|4
73|прогресс|прогресс|Прогресс|NOUN|92|7|14|CLIV|1.0|4|4
74|предприятие|предприятий|предприятий|NOUN|94|7|16|SPEC|1.0|1|1
79|с21|союз-2.1в|Союз-2.1в|WIQM|101|8|1|WIQM|1.0|3|3
81|запуск|запуска|запуска|NOUN|104|8|4||1.0|4|4
83|аппарат|аппаратов|аппаратов|NOUN|106|8|6|SPEC|1.0|2|2
96|волга|волга|Волга|NOUN|124|8|24|CLIV|1.0|3|3
97|до 1,4 тонны|до 1,4 тонны|до 1,4 тонны|NUSR|125|8|25|NUSR|1.0|1|1
107|двигатель|двигателей|двигателей|NOUN|138|9|10|SPEC|1.0|1|1
110|россия|россии|России|NOUN|142|9|14|SPEC|1.0|1|1
112|прогресс|прогрессе|Прогрессе|NOUN|145|9|17|CLIV|1.0|4|4
