|values
allwordscount|145.0
relwordscount|113.0
badwordscount|30.0
garbagewordscount|2.0
typeswords|['NOUN', 'NUSR', 'TITL', 'WIQM', 'PRTS', 'ADJF', 'VERB', 'ABVR', 'UPPR', 'UNKN', 'CLIV', 'NUMR', 'PRTF']
sentscount|9.0
minwordssent|1.0
maxwordssent|31.0
meanwordssent|16.11
minrepeatword|1.0
maxrepeatword|4.0
meanrepeatword|1.83
allcolumnsstat|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent']
garbage-%|1.3793103448275863
bad-%|20.689655172413794
