|values
allwordscount|959.0
relwordscount|684.0
badwordscount|274.0
garbagewordscount|1.0
typeswords|['NOUN', 'VERB', 'ADJF', 'INFN', 'ADJS', 'NUSR', 'PRCL', 'NAME', 'PRTF', 'PRTS', 'NUMR', 'GRND', 'COMP', 'ABVR', 'ADVB', 'UPPR', 'UNKN', 'TITL']
sentscount|48.0
minwordssent|2.0
maxwordssent|56.0
meanwordssent|19.98
minrepeatword|1.0
maxrepeatword|19.0
meanrepeatword|3.56
allcolumnsstat|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent']
garbage-%|0.1
bad-%|28.57
