|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
0|сша|сша|США|NOUN|2|1|2|SPEC|1.0|15|15
2|военный|военное|военное|ADJF|4|1|4||1.0|19|19
4|тихий|тихом|Тихом|ADJF|7|1|7|TITL|1.0|5|5
5|океан|океане|океане|NOUN|8|1|8||1.0|5|5
6|сша|сша|США|NOUN|9|2|1|SPEC|1.0|15|15
8|военный|военное|военное|ADJF|11|2|3||1.0|19|19
10|тихий|тихом|Тихом|ADJF|14|2|6|TITL|1.0|5|5
11|океан|океане|океане|NOUN|15|2|7||1.0|5|5
12|способность|способность|способность|NOUN|17|2|9||1.0|4|4
16|сила|сил|сил|NOUN|21|2|13||1.0|9|9
17|регион|регионе|регионе|NOUN|23|2|15||1.0|10|10
20|эксперт|эксперты|эксперты|NOUN|28|3|5||1.0|6|6
21|центр|центра|Центра|NOUN|29|3|6|TITL|1.0|2|2
23|сша|сша|США|NOUN|31|3|8|SPEC|1.0|15|15
25|сидней|сиднея|Сиднея|NOUN|34|3|11|TITL|1.0|5|5
26|мнение|мнению|мнению|NOUN|36|4|2||1.0|4|4
31|бюджет|бюджета|бюджета|NOUN|43|4|9||1.0|9|9
32|20л|и 20 лет|и 20 лет|NUSR|44|4|10|NUSR|1.0|2|2
35|действие|действий|действий|NOUN|48|4|14||1.0|4|4
36|мнение|мнению|мнению|NOUN|50|5|2||1.0|4|4
37|военный|военных|военных|NOUN|51|5|3||1.0|19|19
38|эксперт|экспертов|экспертов|NOUN|52|5|4||1.0|6|6
39|америка|америка|Америка|NOUN|53|5|5|SPEC|1.0|7|7
43|ит|индо-тихоокеанском|Индо-Тихоокеанском|NAME|59|5|11|NAME|1.0|8|8
44|регион|регионе|регионе|NOUN|60|5|12||1.0|10|10
45|способность|способность|способность|NOUN|63|5|15||1.0|4|4
49|сила|сил|сил|NOUN|67|5|19||1.0|9|9
54|предотвращение|предотвращение|Предотвращение|NOUN|77|6|6|TITL|1.0|1|1
56|американский|американская|американская|ADJF|79|6|8||1.0|6|6
57|стратегия|стратегия|стратегия|NOUN|80|6|9||1.0|7|7
58|военный|военные|военные|NOUN|81|6|10||1.0|19|19
59|расход|расходы|расходы|NOUN|82|6|11||1.0|4|4
61|оборона|оборона|оборона|NOUN|85|6|14||1.0|10|10
62|ит|индо-тихоокеанском|Индо-Тихоокеанском|NAME|87|6|16|NAME|1.0|8|8
63|регион|регионе|регионе|NOUN|88|6|17||1.0|10|10
64|эксперт|экспертов|экспертов|NOUN|89|6|18||1.0|6|6
65|центр|центра|Центра|NOUN|90|6|19|TITL|1.0|2|2
67|сша|сша|США|NOUN|92|6|21|SPEC|1.0|15|15
69|сидней|сиднея|Сиднея|NOUN|95|6|24|TITL|1.0|5|5
74|бв|ближнем востоке|Ближнем Востоке|NAME|102|7|7|NAME|1.0|1|1
77|бюджет|бюджета|бюджета|NOUN|105|7|10||1.0|9|9
81|военный|военные|военные|NOUN|110|7|15||1.0|19|19
82|возможность|возможности|возможности|NOUN|111|7|16||1.0|5|5
87|америка|америке|Америке|NOUN|119|7|24|SPEC|1.0|7|7
89|вооруженный|вооруженные|вооруженные|ADJF|124|7|29||1.0|5|5
90|сила|силы|силы|NOUN|125|7|30||1.0|9|9
91|сша|сша|США|NOUN|126|7|31|SPEC|1.0|15|15
95|великий|великими|великими|ADJF|133|7|38||1.0|4|4
96|держава|державами|державами|NOUN|134|7|39||1.0|4|4
97|ит|индо-тихоокеанском|Индо-Тихоокеанском|NAME|136|7|41|NAME|1.0|8|8
98|регион|регионе|регионе|NOUN|137|7|42||1.0|10|10
100|американский|американская|американская|ADJF|139|8|2||1.0|6|6
101|стратегия|стратегия|стратегия|NOUN|140|8|3||1.0|7|7
102|национальный|национальной|национальной|ADJF|141|8|4||1.0|5|5
103|оборона|обороны|обороны|NOUN|142|8|5||1.0|10|10
110|сила|силами|силами|NOUN|153|9|4||1.0|9|9
111|объединенный|объединенного|Объединенного|PRTF|154|9|5|TITL|1.0|2|2
114|тихий|тихого|Тихого|ADJF|158|9|9|TITL|1.0|5|5
115|океан|океана|океана|NOUN|159|9|10||1.0|5|5
120|великий|великими|великими|ADJF|166|9|17||1.0|4|4
121|держава|державами|державами|NOUN|167|9|18||1.0|4|4
127|военный|военных|военных|NOUN|177|9|28||1.0|19|19
133|китай|китая|Китая|NOUN|185|9|36|SPEC|1.0|11|11
