|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
0|мс|мотор сич|Мотор Сич|CLIV|1|1|1|CLIV|1.0|5|5
5|двигатель|двигателей|двигателей|NOUN|7|1|7|SPEC|1.0|1|1
7|техника|техники|техники|NOUN|10|1|10|SPEC|1.0|1|1
10|установка|установок|установок|NOUN|15|1|15|SPEC|1.0|1|1
13|100с|100 стран|100 стран|NUSR|21|2|6|NUSR|1.0|1|1
16|2018г|2018 года|2018 года|NUSR|25|3|3|NUSR|1.0|1|1
17|предприятие|предприятие|предприятие|NOUN|26|3|4|SPEC|1.0|3|3
21|2,1р|2,1 раза|2,1 раза|NUSR|31|3|9|NUSR|1.0|1|1
22|китайский|китайские|Китайские|ADJF|32|4|1||1.0|4|4
23|компания|компании|компании|NOUN|33|4|2||1.0|4|4
24|sa|skyrizon aircraft|Skyrizon Aircraft|NAME|34|4|3|NAME|1.0|1|1
25|xtg|xinwei technology group|Xinwei Technology Group|NAME|36|4|5|NAME|1.0|1|1
29|антимонопольный|антимонопольного|Антимонопольного|ADJF|41|4|10|TITL|1.0|2|2
32|50%|50%|50%|NUSR|46|4|15|NUSR|1.0|1|1
34|мс|мотор сич|Мотор Сич|CLIV|48|4|17|CLIV|1.0|5|5
38|украина|украины|Украины|NOUN|52|4|21|SPEC|1.0|5|5
42|100м|100 миллионов|100 миллионов|NUSR|57|4|26|NUSR|1.0|2|2
46|иу|интерфакс-украина|Интерфакс-Украина|CLIV|63|5|5|CLIV|1.0|1|1
56|9-11з|9 статьи 11 закона|9 статьи 11 закона|NUSR|77|6|10|NUSR|1.0|1|1
58|украина|украины|Украины|NOUN|80|6|13|SPEC|1.0|5|5
59|2019г|2019 год|2019 год|NUSR|82|6|15|NUSR|1.0|1|1
60|2,8м|2,8 млрд|2,8 млрд|NUSR|83|6|16|NUSR|1.0|1|1
76|китайский|китайскими|китайскими|ADJF|108|7|15||1.0|4|4
78|укроборонпромом|укроборонпромом|Укроборонпромом|CLIV|111|7|18|CLIV|1.0|1|1
85|25%|25%|25%|NUSR|122|7|29|NUSR|1.0|1|1
90|мс|мотор сич|Мотор Сич|CLIV|128|7|35|CLIV|1.0|5|5
99|украина|украине|Украине|NOUN|140|8|12|SPEC|1.0|5|5
103|китайский|китайском|китайском|ADJF|146|8|18||1.0|4|4
104|г.ч|г. чунцин|г. Чунцин|ADDR|147|8|19|ADDR|1.0|1|1
106|2015г|2015 году|2015 году|NUSR|151|8|23|NUSR|1.0|1|1
110|мс|мотор-сич|Мотор-Сич|CLIV|158|8|30|CLIV|1.0|5|5
111|skyrizon|skyrizon|Skyrizon|TITL|159|8|31|TITL|1.0|3|3
112|xg|xinwei group|Xinwei Group|NAME|161|8|33|NAME|1.0|1|1
115|предприятие|предприятие|предприятие|NOUN|166|9|5|SPEC|1.0|3|3
116|2016г|2016 году|2016 году|NUSR|168|9|7|NUSR|1.0|1|1
122|100м|100 млн|100 млн|NUSR|176|9|15|NUSR|1.0|2|2
124|чунцине|чунцине|Чунцине|TITL|180|9|19|TITL|1.0|1|1
137|27.04.2018|от 27 апреля 2018 года|от 27 апреля 2018 года|NUSR|196|10|9|NUSR|1.0|1|1
138|украина|украиной|Украиной|NOUN|198|10|11|SPEC|1.0|5|5
140|укроборонпрома|укроборонпрома|Укроборонпрома|CLIV|201|10|14|CLIV|1.0|2|2
142|компания|компаний|компаний|NOUN|204|10|17||2.0|4|4
143|skyrizon|skyrizon|Skyrizon|TITL|205|10|18|TITL|1.0|3|3
144|xinwei|xinwei|Xinwei|TITL|207|10|20|TITL|1.0|2|2
148|британский|британскому|британскому|ADJF|212|10|25|SPEC|1.0|1|1
154|компания|компаний|компаний|NOUN|219|10|32||2.0|4|4
159|07.06.2019|7 июня 2019 глда|7 июня 2019 глда|NUSR|226|11|4|NUSR|1.0|1|1
160|амку|амку|АМКУ|UPPR|228|11|6|UPPR|1.0|1|1
166|украина|украина|Украина|NOUN|236|11|14|SPEC|1.0|5|5
168|укроборонпрома|укроборонпрома|Укроборонпрома|CLIV|239|11|17|CLIV|1.0|2|2
169|китайский|китайских|китайских|ADJF|241|11|19||1.0|4|4
170|компания|компаний|компаний|NOUN|242|11|20||1.0|4|4
171|skyrizon|skyrizon|Skyrizon|TITL|243|11|21|TITL|1.0|3|3
172|xinwei|xinwei|Xinwei|TITL|245|11|23|TITL|1.0|2|2
174|25%-50%|25% и 50%|25% и 50%|NUSR|250|11|28|NUSR|1.0|1|1
176|мс|мотор сичи|Мотор Сичи|CLIV|252|11|30|CLIV|1.0|5|5
181|предприятие|предприятием|предприятием|NOUN|260|11|38|SPEC|1.0|3|3
182|19.06|19 июня|19 июня|NUSR|262|12|2|NUSR|1.0|1|1
