|values
keyscount|164.0
Ukeyscount|79.0
Skeyscount|38.0
USkeyscount|16.0
Nkeyscount|49.0
UNkeyscount|10.0
partlangkeys|['NOUN', 'ABVR', 'ADJF', 'NAME', 'NUSR', 'DSNU', 'WIQM', 'TITL', 'CLIV']
typeskeys|[None, 'SPEC', 'UPPR', 'NAME', 'NUSR', 'TITL', 'DSNU', 'CLIV', 'ABVR', 'WIQM']
inwhatsents|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41]
minkeyssent|1.0
maxkeyssent|12.0
meankeyssent|4.21
minrepeatkey|1.0
maxrepeatkeys|8.0
meanrepeatkey|3.7
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_sent', 'count_word_text', 'count_key_text']
keys-%|25.67
Ukeys-%|12.36
KUkeys-%|48.17
Skeys-%|5.95
Skeysofkeys-%|23.17
USkeysofUkeys-%|20.25
Nkeys-%|7.67
Nkeysofkeys-%|29.88
UNkeysofUkeys-%|12.66
