|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|шойгу|шойгу|Шойгу|NOUN|1|1|1||5|1.0
1|готовлю|готовит|готовит|VERB|2|1|2||1|1.0
2|ответный|ответные|ответные|ADJF|3|1|3||1|1.0
3|мера|меры|меры|NOUN|4|1|4||2|1.0
4|развертывание|развертывание|развертывание|NOUN|6|1|6||1|1.0
5|про|про|ПРО|ABVR|7|1|7|SPEC|2|1.0
6|западный|западных|западных|ADJF|9|1|9||7|1.0
7|граница|границ|границ|NOUN|10|1|10||2|1.0
8|рф|рф|РФ|NOUN|11|1|11|UPPR|3|1.0
9|обстановка|обстановка|Обстановка|NOUN|12|2|1||3|1.0
10|западный|западном|западном|ADJF|14|2|3||7|1.0
11|стратегический|стратегическом|стратегическом|ADJF|15|2|4||3|1.0
12|направление|направлении|направлении|NOUN|16|2|5||3|1.0
13|продолжаю|продолжает|продолжает|VERB|17|2|6||2|1.0
14|ухудшаться|ухудшаться|ухудшаться|INFN|18|2|7||2|1.0
15|частность|частности|частности|NOUN|20|2|9||3|1.0
16|счет|счет|счет|NOUN|22|2|11||1|1.0
17|усиление|усиления|усиления|NOUN|23|2|12||1|1.0
18|военный|военного|военного|NOUN|24|2|13||8|1.0
19|присутствие|присутствия|присутствия|NOUN|25|2|14||2|1.0
20|нато|нато|НАТО|ABVR|26|2|15|SPEC|5|1.0
21|польша|польше|Польше|NOUN|30|2|19|SPEC|4|1.0
22|румыния|румынии|Румынии|NOUN|32|2|21|SPEC|5|1.0
23|заявил|заявил|заявил|VERB|33|2|22||2|1.0
24|министр|министр|министр|NOUN|34|2|23||5|1.0
25|оборона|обороны|обороны|NOUN|35|2|24||7|1.0
26|рсш|россии сергей шойгу|России Сергей Шойгу|NAME|36|2|25|NAME|1|1.0
27|слово|словам|словам|NOUN|39|3|3||3|1.0
28|обстоятельство|обстоятельств|обстоятельств|NOUN|42|3|6||1|1.0
29|российский|российская|российская|ADJF|43|3|7||3|1.0
30|сторона|сторона|сторона|NOUN|44|3|8||3|1.0
31|провел|проведет|проведет|VERB|45|3|9||1|1.0
32|20о|20 организационных|20 организационных|NUSR|46|3|10|NUSR|2|1.0
