|word|tword|pos|idsent|sentpos
89|ракетами-перехватчиками|ракетами-перехватчиками|141|8|19
225|военнослужащими-контрактниками|военнослужащими-контрактниками|360|22|5
246|двухгодичный|двухгодичный|390|25|3
