|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|минобороны|минобороны|Минобороны|NOUN|1|1|1||1|1.0
1|продолжаю|продолжает|продолжает|VERB|2|1|2||1|1.0
2|наводить|наводить|наводить|INFN|3|1|3||1|1.0
3|порядок|порядок|порядок|NOUN|4|1|4||1|1.0
4|регистрация|регистрации|регистрации|NOUN|6|1|6||5|1.0
5|российский|российских|российских|ADJF|7|1|7||1|1.0
6|призывник|призывников|призывников|NOUN|8|1|8||5|1.0
7|основа|основе|основе|NOUN|10|2|2||2|1.0
8|скорректированный|скорректированного|скорректированного|PRTF|11|2|3||1|1.0
9|год|году|году|NOUN|14|2|6||1|1.0
10|закон|закона|закона|NOUN|15|2|7||4|1.0
11|правило|правилах|правилах|NOUN|17|2|9||4|1.0
12|контроль|контроля|контроля|NOUN|18|2|10||1|1.0
13|будущий|будущими|будущими|ADJF|20|2|12||1|1.0
14|солдат|солдатами|солдатами|NOUN|21|2|13||1|1.0
15|ведомство|ведомстве|ведомстве|NOUN|23|2|15||1|1.0
16|разработал|разработали|разработали|VERB|24|2|16||1|1.0
17|проект|проект|проект|NOUN|25|2|17||1|1.0
18|постановление|постановления|постановления|NOUN|26|2|18||2|1.0
19|правительство|правительства|правительства|NOUN|27|2|19||1|1.0
20|рф|рф|РФ|NOUN|28|2|20|UPPR|1|1.0
21|вносящий|вносящего|вносящего|PRTF|29|2|21||1|1.0
22|изменение|изменения|изменения|NOUN|30|2|22||1|1.0
23|положение|положение|Положение|NOUN|32|2|24|TITL|2|1.0
24|воинский|воинском|воинском|ADJF|34|2|26||8|1.0
25|учет|учете|учете|NOUN|35|2|27||7|1.0
26|потенциальный|потенциальных|потенциальных|ADJF|36|2|28||1|1.0
27|новобранец|новобранцев|новобранцев|NOUN|37|2|29||1|1.0
28|документ|документ|документ|NOUN|39|3|2||1|1.0
29|разместил|разместили|разместили|VERB|40|3|3||1|1.0
30|портал|портале|портале|NOUN|42|3|5||1|1.0
31|нормативный|нормативных|нормативных|ADJF|43|3|6||1|1.0
32|правовой|правовых|правовых|ADJF|44|3|7||1|1.0
33|акт|актов|актов|NOUN|45|3|8||1|1.0
34|общественный|общественного|общественного|ADJF|47|3|10||1|1.0
35|обсуждение|обсуждения|обсуждения|NOUN|48|3|11||1|1.0
36|проходил|проходит|проходит|VERB|51|4|3||1|1.0
37|независимый|независимую|независимую|ADJF|52|4|4||1|1.0
38|антикоррупционный|антикоррупционную|антикоррупционную|ADJF|53|4|5||1|1.0
39|экспертиза|экспертизу|экспертизу|NOUN|54|4|6||1|1.0
40|напомнил|напомним|Напомним|VERB|55|5|1||1|1.0
41|иду|идет|идет|VERB|58|5|4||1|1.0
42|речь|речь|речь|NOUN|59|5|5||1|1.0
43|обновляемый|обновляемом|обновляемом|PRTF|61|5|7||1|1.0
44|закон|законе|законе|NOUN|62|5|8||4|1.0
45|предлагаюсь|предлагается|предлагается|VERB|65|5|11||1|1.0
46|утвердить|утвердить|утвердить|INFN|66|5|12||1|1.0
47|постановление|постановлением|постановлением|NOUN|67|5|13||2|1.0
48|кабинет|кабинета|кабинета|NOUN|68|5|14||1|1.0
49|министр|министров|министров|NOUN|69|5|15||1|1.0
50|новация|новаций|новаций|NOUN|72|6|3||1|1.0
51|таков|такова|такова|ADJS|73|6|4||1|1.0
52|молодые|молодых|молодых|NOUN|74|6|5||2|1.0
53|человек|людей|людей|NOUN|75|6|6||5|1.0
54|сило|силу|силу|NOUN|78|6|9||1|1.0
55|различный|различных|различных|ADJF|79|6|10||1|1.0
56|обстоятельство|обстоятельств|обстоятельств|NOUN|80|6|11||1|1.0
57|учеба|учебы|учебы|NOUN|82|6|13||1|1.0
58|вуз|вузе|вузе|NOUN|84|6|15||4|1.0
59|оказался|оказались|оказались|VERB|86|6|17||1|1.0
60|чужое|чужом|чужом|NOUN|88|6|19||3|1.0
61|город|городе|городе|NOUN|89|6|20||4|1.0
62|не|не|не|PRCL|91|6|22||7|1.0
63|имею|имеют|имеют|VERB|92|6|23||1|1.0
64|регистрация|регистрации|регистрации|NOUN|94|6|25||5|1.0
65|обязал|обяжут|обяжут|VERB|95|6|26||1|1.0
66|становиться|становиться|становиться|INFN|96|6|27||1|1.0
67|воинский|воинский|воинский|ADJF|98|6|29||8|1.0
68|учет|учет|учет|NOUN|99|6|30||7|1.0
69|военкомат|военкоматах|военкоматах|NOUN|101|6|32||2|1.0
70|место|месту|месту|NOUN|103|6|34||7|1.0
71|фактический|фактического|фактического|ADJF|105|6|36||2|1.0
72|проживание|проживания|проживания|NOUN|106|6|37||2|1.0
73|пребывание|пребывания|пребывания|NOUN|108|6|39||3|1.0
74|новый|новым|новым|ADJF|110|7|2||2|2.0
75|правило|правилам|правилам|NOUN|111|7|3||4|1.0
76|призывник|призывники|призывники|NOUN|112|7|4||5|1.0
77|покинувший|покинувшие|покинувшие|PRTF|113|7|5||1|1.0
78|родные|родные|родные|NOUN|114|7|6||1|1.0
79|место|места|места|NOUN|115|7|7||7|2.0
80|3м|3 месяца|3 месяца|NUSR|119|7|11|NUSR|1|1.0
81|должен|должны|должны|ADJS|120|7|12||2|1.0
82|течение|течение|течение|NOUN|123|7|15||1|1.0
83|два|двух|двух|NUMR|124|7|16||3|1.0
84|неделя|недель|недель|NOUN|125|7|17||1|1.0
85|приезд|приезда|приезда|NOUN|127|7|19||1|1.0
86|новый|новый|новый|ADJF|129|7|21||2|2.0
87|город|город|город|NOUN|130|7|22||4|1.0
88|принести|принести|принести|INFN|131|7|23||1|1.0
89|местный|местный|местный|ADJF|133|7|25||1|1.0
