|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
4|регистрация|регистрации|регистрации|NOUN|6|1|6||1.0|5|5
6|призывник|призывников|призывников|NOUN|8|1|8||1.0|5|5
10|закон|закона|закона|NOUN|15|2|7||1.0|4|4
11|правило|правилах|правилах|NOUN|17|2|9||1.0|4|4
20|рф|рф|РФ|NOUN|28|2|20|UPPR|1.0|1|1
23|положение|положение|Положение|NOUN|32|2|24|TITL|1.0|2|2
24|воинский|воинском|воинском|ADJF|34|2|26||1.0|8|8
25|учет|учете|учете|NOUN|35|2|27||1.0|7|7
44|закон|законе|законе|NOUN|62|5|8||1.0|4|4
53|человек|людей|людей|NOUN|75|6|6||1.0|5|5
58|вуз|вузе|вузе|NOUN|84|6|15||1.0|4|4
61|город|городе|городе|NOUN|89|6|20||1.0|4|4
64|регистрация|регистрации|регистрации|NOUN|94|6|25||1.0|5|5
67|воинский|воинский|воинский|ADJF|98|6|29||1.0|8|8
68|учет|учет|учет|NOUN|99|6|30||1.0|7|7
70|место|месту|месту|NOUN|103|6|34||1.0|7|7
75|правило|правилам|правилам|NOUN|111|7|3||1.0|4|4
76|призывник|призывники|призывники|NOUN|112|7|4||1.0|5|5
79|место|места|места|NOUN|115|7|7||2.0|7|7
80|3м|3 месяца|3 месяца|NUSR|119|7|11|NUSR|1.0|1|1
87|город|город|город|NOUN|130|7|22||1.0|4|4
90|комиссариат|комиссариат|комиссариат|NOUN|134|7|26||1.0|5|5
94|свой|своего|своего|ADJF|141|7|33||1.0|4|4
95|место|места|места|NOUN|142|7|34||2.0|7|7
98|регистрация|регистрации|регистрации|NOUN|148|8|5||1.0|5|5
99|место|места|места|NOUN|149|8|6||1.0|7|7
106|человек|человека|человека|NOUN|158|8|15||1.0|5|5
107|воинский|воинский|воинский|ADJF|160|8|17||1.0|8|8
108|учет|учет|учет|NOUN|161|8|18||1.0|7|7
110|правило|правил|правил|NOUN|163|9|2||1.0|4|4
111|воинский|воинского|воинского|ADJF|164|9|3||1.0|8|8
112|учет|учета|учета|NOUN|165|9|4||1.0|7|7
116|100-500р|от 100 до 500 рублей|от 100 до 500 рублей|NUSR|171|9|10|NUSR|1.0|2|2
119|призывник|призывники|призывники|NOUN|176|10|5||1.0|5|5
122|чужое|чужих|чужих|NOUN|183|10|12|WIQM|1.0|3|3
123|комиссариат|комиссариатах|комиссариатах|NOUN|184|10|13||1.0|5|5
126|90д|90 дней|90 дней|NUSR|193|10|22|NUSR|1.0|1|1
129|закон|закона|Закона|NOUN|196|11|3|TITL|1.0|4|4
130|воинский|воинской|воинской|ADJF|198|11|5||1.0|8|8
137|место|месте|месте|NOUN|209|11|16||1.0|7|7
138|свой|своего|своего|ADJF|210|11|17||1.0|4|4
142|комиссариат|комиссариаты|комиссариаты|NOUN|218|12|7||1.0|5|5
144|вуз|вуза|вуза|NOUN|221|12|10||1.0|4|4
146|образец|образца|образца|NOUN|223|12|12|SPEC|1.0|1|1
156|москва|москве|Москве|NOUN|241|13|10|TITL|1.0|1|1
157|сп|санкт-петербурге|Санкт-Петербурге|NAME|243|13|12|NAME|1.0|1|1
160|город|городах|городах|NOUN|249|13|18||1.0|4|4
161|регистрация|регистрации|регистрации|NOUN|252|13|21||1.0|5|5
164|воинский|воинский|воинский|ADJF|257|14|5||1.0|8|8
165|учет|учет|учет|NOUN|258|14|6||1.0|7|7
170|человек|люди|люди|NOUN|266|14|14||1.0|5|5
199|вуз|вуза|вуза|NOUN|306|15|35||1.0|4|4
208|закон|законе|законе|NOUN|324|17|5||1.0|4|4
209|положение|положении|Положении|NOUN|328|17|9|TITL|1.0|2|2
210|воинский|воинском|воинском|ADJF|330|17|11||1.0|8|8
211|учет|учете|учете|NOUN|331|17|12||1.0|7|7
215|призывник|призывника|призывника|NOUN|336|17|17||1.0|5|5
218|комиссариат|комиссариат|комиссариат|NOUN|342|17|23||1.0|5|5
219|место|месту|месту|NOUN|344|17|25||1.0|7|7
223|город|городе|городе|NOUN|349|17|30||1.0|4|4
225|свой|своего|своего|ADJF|351|18|2||2.0|4|4
227|свой|своего|своего|ADJF|355|18|6||2.0|4|4
231|человек|человек|человек|NOUN|359|18|10||1.0|5|5
234|комиссариат|комиссариат|комиссариат|NOUN|364|18|15||1.0|5|5
238|вуз|вузе|вузе|NOUN|371|19|7||1.0|4|4
239|место|месту|месту|NOUN|374|19|10||1.0|7|7
241|призывник|призывника|призывника|NOUN|376|19|12||1.0|5|5
248|жилищный|жилищной|жилищной|ADJF|387|19|23|WIQM|1.0|1|1
249|регистрация|регистрации|регистрации|NOUN|388|19|24||1.0|5|5
253|правило|правил|правил|NOUN|396|20|2||1.0|4|4
254|воинский|воинского|воинского|ADJF|397|20|3||1.0|8|8
255|учет|учета|учета|NOUN|398|20|4||1.0|7|7
259|100-500р|от 100 до 500 рублей|от 100 до 500 рублей|NUSR|405|20|11|NUSR|1.0|2|2
260|человек|человека|человека|NOUN|408|21|3||1.0|5|5
268|200т|до 200 тыс|до 200 тыс|NUSR|419|21|14|NUSR|1.0|1|1
277|18м|до 18 месяцев|до 18 месяцев|NUSR|432|21|27|NUSR|1.0|1|1
296|гаврилов|гаврилов|Гаврилов|NOUN|461|23|2|TITL|1.0|1|1
