|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
2|закон|закон|закон|NOUN|3|1|3||5|1.0|5
6|бал|белоруссии александр лукашенко|Белоруссии Александр Лукашенко|NAME|9|2|2|NAME|1|1.0|1
11|изменение|изменении|изменении|NOUN|15|2|8||4|1.0|4
12|закон|законов|законов|NOUN|16|2|9||5|1.0|5
16|военный|военной|военной|ADJF|21|2|14||6|1.0|6
18|государство|государства|государства|NOUN|23|2|16||4|1.0|4
30|военный|военной|военной|ADJF|37|3|14||6|1.0|6
33|европа|европе|Европе|NOUN|42|3|19|TITL|1|1.0|1
37|государство|государства|государства|NOUN|47|3|24||4|1.0|4
38|изменение|изменений|Изменений|NOUN|48|4|1||4|1.0|4
55|внв7п|в настоящее время 76 позиций|в настоящее время 76 позиций|ABVR|72|5|8|ABVR|1|1.0|1
60|военный|военную|военную|ADJF|80|5|16||6|1.0|6
61|служба|службу|службу|NOUN|81|5|17||6|1.0|6
72|лукашенко|лукашенко|Лукашенко|NOUN|99|6|2|TITL|1|1.0|1
75|комплекс|комплекс|комплекс|NOUN|102|6|5|SPEC|2|1.0|2
80|военный|военной|военной|ADJF|108|6|11||6|1.0|6
81|служба|службы|службы|NOUN|109|6|12||6|1.0|6
90|изменение|изменения|Изменения|NOUN|125|8|1||4|1.0|4
104|закон|закон|закон|NOUN|144|9|2||5|1.0|5
108|служба|службу|службу|NOUN|149|9|7||6|1.0|6
114|закон|законом|Законом|NOUN|158|10|1||5|1.0|5
116|изменение|изменение|изменение|NOUN|160|10|3||4|1.0|4
117|кодекс|кодекс|Кодекс|NOUN|162|10|5|TITL|1|1.0|1
139|военный|военную|военную|ADJF|196|11|32||6|1.0|6
140|служба|службу|службу|NOUN|197|11|33||6|1.0|6
153|государство|государством|государством|NOUN|216|11|52||4|1.0|4
161|закон|закона|закона|NOUN|229|12|11||5|1.0|5
167|государство|государства|государства|NOUN|241|13|3||4|1.0|4
171|комплекс|комплекс|комплекс|NOUN|245|13|7|SPEC|2|1.0|2
177|военный|военной|военной|ADJF|252|13|14||6|1.0|6
178|служба|службы|службы|NOUN|253|13|15||6|1.0|6
187|комитет|комитета|Комитета|NOUN|267|14|14|TITL|1|1.0|1
190|гч|галина чигринова|Галина Чигринова|NAME|270|14|17|NAME|1|1.0|1
239|отечество|отечеству|Отечеству|NOUN|352|17|22|TITL|1|1.0|1
244|служба|служба|служба|NOUN|362|18|10||6|1.0|6
247|напольский|напольский|Напольский|TITL|365|19|2|TITL|1|1.0|1
249|впк|впк|ВПК|ABVR|367|19|4|SPEC|2|1.0|2
250|минск|минск|Минск|ABVR|368|19|5|ABVR|1|1.0|1
252|впк|военно-промышленный курьер|Военно-промышленный курьер|WIQM|370|20|2|WIQM|2|1.0|2
255|№30|№30|№30|ABVR|374|20|6|ABVR|1|1.0|1
256|793|793|793|NUMB|375|20|7|NUMB|1|1.0|1
257|6 августа 2019 года|6 августа 2019 года|6 августа 2019 года|NUSR|377|20|9|NUSR|1|1.0|1
