|values
allwordscount|152.0
relwordscount|109.0
badwordscount|41.0
garbagewordscount|2.0
typeswords|['NOUN', 'NUSR', 'PRTF', 'ADJF', 'ADJS', 'INFN', 'NUMR', 'VERB', 'CLIV', 'NAME', 'PRTS', 'UNKN', 'ABVR', 'UPPR']
sentscount|10.0
minwordssent|1.0
maxwordssent|29.0
meanwordssent|15.2
minrepeatword|1.0
maxrepeatword|4.0
meanrepeatword|1.44
allcolumnsstat|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent']
garbage-%|1.3157894736842106
bad-%|26.973684210526315
