|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
0|гонконг|гонконг|Гонконг|NOUN|1|1|1|SPEC|1.0|1|1
1|31 июля|31 июля|31 июля|NUSR|2|2|1|NUSR|1.0|1|1
2|интерфакс|интерфакс|ИНТЕРФАКС|NOUN|3|3|1|UPPR|1.0|1|1
6|лодка|лодка|лодка|NOUN|8|3|6|SPEC|1.0|4|4
11|ракета|ракеты|ракеты|NOUN|13|3|11|SPEC|1.0|2|2
13|ренхап|ренхап|Ренхап|CLIV|15|3|13|CLIV|1.0|1|1
17|юк|южной кореи|Южной Кореи|NAME|21|3|19|NAME|1.0|1|1
22|подлодка|подлодки|подлодки|NOUN|28|4|7|SPEC|1.0|2|2
25|сми|сми|СМИ|NOUN|31|4|10|UPPR|1.0|1|1
37|ракета|ракет|ракет|NOUN|48|5|14|SPEC|1.0|2|2
42|лхх|ли хе хун|Ли Хе Хун|NAME|54|6|6|NAME|1.0|1|1
45|минобороны|минобороны|Минобороны|NOUN|58|6|10|TITL|1.0|1|1
48|подлодка|подлодка|подлодка|NOUN|63|6|15|SPEC|1.0|2|2
56|cs|choson sinbo|Choson Sinbo|NAME|76|7|5|NAME|1.0|1|1
60|сша|сша|США|NOUN|82|7|11|SPEC|1.0|3|3
64|ск|северная корея|Северная Корея|NAME|87|7|16|NAME|1.0|1|1
71|лодка|лодки|лодки|NOUN|95|7|24|SPEC|1.0|4|4
72|японский|японским|Японским|ADJF|96|7|25|TITL|1.0|1|1
78|лодка|лодку|лодку|NOUN|107|8|10|SPEC|1.0|4|4
79|сша|сша|США|NOUN|108|8|11|SPEC|1.0|3|3
86|восточный|восточное|Восточное|ADJF|121|8|24|TITL|1.0|1|1
88|ями|японское море иф|Японское море ИФ|ABVR|123|8|26|ABVR|1.0|1|1
95|кндр|кндр|КНДР|NOUN|134|9|8|UPPR|1.0|1|1
98|сша|сша|США|NOUN|138|9|12|SPEC|1.0|3|3
100|цтак|цтак|ЦТАК|UPPR|142|10|2|UPPR|1.0|1|1
104|кчы|ким чен ын|Ким Чен Ын|NAME|147|10|7|NAME|1.0|1|1
108|лодка|лодку|лодку|NOUN|152|10|12|SPEC|1.0|4|4
