|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|военный|военный|Военный|NOUN|1|1|1||2|1.0
1|эксперт|эксперт|эксперт|NOUN|2|1|2||2|1.0
2|ал|антон лавров|Антон Лавров|NAME|3|1|3|NAME|1|1.0
3|приобретение|приобретение|приобретение|NOUN|7|1|7||2|1.0
4|украина|украиной|Украиной|NOUN|8|1|8|SPEC|8|1.0
5|штурмовик|штурмовиков|штурмовиков|NOUN|9|1|9|SPEC|5|1.0
6|st|super tucano|Super Tucano|NAME|10|1|10|NAME|8|1.0
7|оказался|окажется|окажется|VERB|11|1|11||2|1.0
8|ошибка|ошибкой|ошибкой|NOUN|12|1|12||2|1.0
9|украина|украина|Украина|NOUN|13|2|1|SPEC|8|1.0
10|рассматриваю|рассматривает|рассматривает|VERB|14|2|2||1|1.0
11|вопрос|вопрос|вопрос|NOUN|15|2|3||3|1.0
12|закупка|закупки|закупки|NOUN|16|2|4||3|1.0
13|бразилия|бразилии|Бразилии|NOUN|18|2|6|SPEC|1|1.0
14|турбовинтовой|турбовинтовых|турбовинтовых|ADJF|19|2|7||3|1.0
15|учебно-боевых|учебно-боевых|учебно-боевых|UNKN|20|2|8|UNKN|1|1.0
16|самолет|самолетов|самолетов|NOUN|21|2|9|SPEC|14|1.0
17|a-29|a-29|A-29|DSNU|22|2|10|DSNU|2|1.0
18|st|super tucano|Super Tucano|NAME|23|2|11|NAME|8|1.0
19|делегация|делегация|Делегация|NOUN|24|3|1||1|1.0
20|ввс|ввс|ВВС|ABVR|25|3|2|SPEC|7|1.0
21|страна|страны|страны|NOUN|27|3|4||6|1.0
22|глава|главе|главе|NOUN|29|3|6||1|1.0
23|командующий|командующим|командующим|NOUN|31|3|8||2|1.0
24|генерал-полковник|генерал-полковником|генерал-полковником|NOUN|32|3|9||1|1.0
25|сд|сергеем дроздовым|Сергеем Дроздовым|NAME|33|3|10|NAME|1|1.0
26|прибыл|прибыла|прибыла|VERB|34|3|11||1|1.0
27|сп|сан-паулу|Сан-Паулу|NAME|36|3|13|NAME|1|1.0
28|провёл|провела|провела|VERB|39|3|16||1|1.0
29|переговоры|переговоры|переговоры|NOUN|40|3|17||1|1.0
30|руководство|руководством|руководством|NOUN|42|3|19||1|1.0
31|бразильский|бразильской|бразильской|ADJF|43|3|20||2|1.0
32|компания|компании|компании|NOUN|44|3|21||1|1.0
33|embraer|embraer|Embraer|TITL|45|3|22|TITL|1|1.0
34|производящий|производящей|производящей|PRTF|46|3|23||1|1.0
35|самолет|самолет|самолет|NOUN|47|3|24|SPEC|14|1.0
36|главком|главком|главком|NOUN|49|4|2||1|1.0
37|ввс|ввс|ВВС|ABVR|50|4|3|SPEC|7|1.0
38|обкатал|обкатал|обкатал|VERB|52|4|5||1|1.0
39|турбовинтовой|турбовинтовую|турбовинтовую|ADJF|53|4|6||3|1.0
40|машина|машину|машину|NOUN|54|4|7|SPEC|3|1.0
41|поднялся|поднялся|поднялся|VERB|56|4|9||1|1.0
42|небо|небо|небо|NOUN|60|4|13||1|1.0
43|контракт|контракты|контракты|NOUN|63|5|3||1|1.0
44|не|не|не|PRCL|64|5|4||19|1.0
45|заключаюсь|заключаются|заключаются|VERB|65|5|5||1|1.0
46|один|одного|одного|ADJF|68|5|8||3|1.0
47|визит|визита|визита|NOUN|69|5|9||1|1.0
48|командующий|командующего|командующего|NOUN|70|5|10||2|1.0
49|ввс|ввс|ВВС|ABVR|71|5|11|SPEC|7|1.0
50|принятие|принятия|принятия|NOUN|73|5|13||2|1.0
51|решение|решения|решения|NOUN|74|5|14||1|1.0
52|сша|сша|США|NOUN|79|6|3|SPEC|6|1.0
53|испытываю|испытывают|испытывают|VERB|80|6|4||1|1.0
54|a-29|a-29|A-29|DSNU|81|6|5|DSNU|2|1.0
55|st|super tucano|Super Tucano|NAME|82|6|6|NAME|8|1.0
56|не|не|не|PRCL|83|6|7||19|2.0
57|первый|первый|первый|ADJF|84|6|8||2|1.0
58|год|год|год|NOUN|85|6|9||4|1.0
59|не|не|не|PRCL|89|6|13||19|2.0
60|могу|могут|могут|VERB|90|6|14||3|1.0
61|решиться|решиться|решиться|INFN|91|6|15||1|1.0
62|приобретение|приобретение|приобретение|NOUN|94|6|18||2|1.0
63|программа|программе|программе|NOUN|96|6|20||1|1.0
64|lca|light combat aircraft|Light Combat Aircraft|NAME|97|6|21|NAME|1|1.0
65|желание|желание|желание|NOUN|99|7|2||1|1.0
66|киев|киева|Киева|NOUN|100|7|3|TITL|1|1.0
67|объясним|объяснимо|объяснимо|ADJS|101|7|4||1|1.0
68|замена|замену|Замену|NOUN|102|8|1||1|1.0
69|советский|советскому|советскому|ADJF|103|8|2||3|1.0
70|парк|парку|парку|NOUN|104|8|3||1|1.0
71|боевы|боевых|боевых|NOUN|105|8|4||4|1.0
72|самолет|самолетов|самолетов|NOUN|106|8|5|SPEC|14|1.0
73|украина|украина|Украина|NOUN|107|8|6|SPEC|8|1.0
74|начал|начала|начала|VERB|109|8|8||2|1.0
75|искать|искать|искать|INFN|110|8|9||1|1.0
76|2015 году|2015 году|2015 году|NUSR|113|8|12|NUSR|1|1.0
77|потеряв|потеряв|потеряв|GRND|114|8|13||1|1.0
78|изрядный|изрядную|изрядную|ADJF|115|8|14||1|1.0
79|часть|часть|часть|NOUN|116|8|15||1|1.0
80|ввс|ввс|ВВС|ABVR|117|8|16|SPEC|7|1.0
81|бой|боях|боях|NOUN|119|8|18||1|1.0
82|восток|востоке|востоке|NOUN|121|8|20||3|1.0
83|страна|страны|страны|NOUN|122|8|21||6|1.0
84|полк-другой|полк-другой|полк-другой|UNKN|125|9|3|UNKN|1|1.0
85|современный|современных|современных|ADJF|126|9|4||2|1.0
86|многоцелевой|многоцелевых|многоцелевых|ADJF|127|9|5||1|1.0
87|истребитель|истребителей|истребителей|NOUN|128|9|6|SPEC|1|1.0
88|подарить|подарить|подарить|INFN|130|9|8||1|1.0
89|не|не|не|PRCL|132|9|10||19|2.0
90|спешил|спешит|спешит|VERB|133|9|11||1|1.0
91|самостоятельно|самостоятельно|самостоятельно|ADVB|135|9|13||1|1.0
92|приобрести|приобрести|приобрести|INFN|137|9|15||1|1.0
93|не|не|не|PRCL|139|9|17||19|2.0
94|цена|цены|Цены|NOUN|141|10|1||2|1.0
95|новое|новые|новые|NOUN|143|10|3||1|1.0
96|боевой|боевые|боевые|ADJF|144|10|4||3|1.0
97|самолет|самолеты|самолеты|NOUN|145|10|5|SPEC|14|1.0
98|вырос|выросли|выросли|VERB|147|10|7||1|1.0
99|позволить|позволить|позволить|INFN|149|10|9||1|1.0
100|роскошь|роскошь|роскошь|NOUN|152|10|12||1|1.0
101|не|не|не|PRCL|154|10|14||19|1.0
102|могу|могут|могут|VERB|155|10|15||3|1.0
103|экономика|экономики|экономики|NOUN|156|10|16||1|1.0
104|крупнее|покрупнее|покрупнее|COMP|158|10|18||1|1.0
105|украинский|украинской|украинской|ADJF|159|10|19||3|1.0
106|объясняюсь|объясняется|объясняется|VERB|162|11|3||1|1.0
107|внимание|внимание|внимание|NOUN|163|11|4||1|1.0
108|альтернативный|альтернативной|альтернативной|ADJF|165|11|6||1|1.0
109|легкий|легкой|легкой|ADJF|166|11|7||3|1.0
110|боевой|боевой|боевой|ADJF|167|11|8||3|1.0
111|авиация|авиации|авиации|NOUN|168|11|9|SPEC|3|1.0
112|недооценивать|недооценивать|недооценивать|INFN|172|12|4||1|1.0
113|небольшой|небольшой|небольшой|ADJF|174|12|6||1|1.0
114|турбовинтовой|турбовинтовой|турбовинтовой|ADJF|175|12|7||3|1.0
115|самолетик|самолетик|самолетик|NOUN|176|12|8||1|1.0
116|летный|летными|летными|ADJF|178|12|10||1|1.0
117|характеристика|характеристиками|характеристиками|NOUN|179|12|11||3|1.0
118|штурмовик|штурмовика|штурмовика|NOUN|180|12|12|SPEC|5|1.0
119|время|времен|времен|NOUN|181|12|13||2|1.0
120|второй|второй|Второй|ADJF|182|12|14|TITL|1|1.0
121|мировой|мировой|мировой|NOUN|183|12|15||1|1.0
122|война|войны|войны|NOUN|184|12|16||1|1.0
123|не|не|не|PRCL|185|12|17||19|1.0
124|стоило|стоит|стоит|VERB|186|12|18||1|1.0
125|случай|случае|случае|NOUN|190|13|4||1|1.0
126|современный|современными|современными|ADJF|192|13|6||2|1.0
127|беспилотник|беспилотниками|беспилотниками|NOUN|193|13|7|SPEC|3|1.0
128|боевой|боевые|боевые|ADJF|194|13|8||3|1.0
129|возможность|возможности|возможности|NOUN|195|13|9||2|1.0
130|завишу|зависят|зависят|VERB|197|13|11||1|1.0
131|не|не|не|PRCL|198|13|12||19|1.0
132|тактико-технический|тактико-технических|тактико-технических|ADJF|201|13|15||1|1.0
133|характеристика|характеристик|характеристик|NOUN|202|13|16||3|1.0
134|самолет|самолета|самолета|NOUN|203|13|17|SPEC|14|1.0
135|оружие|оружия|оружия|NOUN|206|13|20||3|1.0
136|прибор|приборов|приборов|NOUN|208|13|22|SPEC|1|1.0
137|наблюдение|наблюдения|наблюдения|NOUN|209|13|23||1|1.0
138|несу|несет|несет|VERB|212|13|26||1|1.0
139|реальный|реальный|Реальный|ADJF|213|14|1||2|1.0
140|выбор|выбор|выбор|NOUN|214|14|2||1|1.0
141|ниша|нише|нише|NOUN|216|14|4||1|1.0
142|эрзац-штурмовиков|эрзац-штурмовиков|эрзац-штурмовиков|UNKN|217|14|5|UNKN|2|1.0
143|не|не|не|PRCL|218|14|6||19|1.0
144|велик|велик|велик|NOUN|221|14|9||1|1.0
145|а-29|а-29|А-29|DSNU|223|14|11|DSNU|2|1.0
