|word|tword|pos|idsent|sentpos
10|учебно-боевых|учебно-боевых|20|2|8
70|полк-другой|полк-другой|125|9|3
128|эрзац-штурмовиков|эрзац-штурмовиков|217|14|5
183|стокилограммовые|стокилограммовые|308|21|8
246|душманов|душманов|411|29|12
259|крошки-вертолеты|крошки-вертолеты|439|32|7
387|дозаказывать|Дозаказывать|654|47|1
394|самолетов-платформ|самолетов-платформ|666|47|13
424|обзорно-прицельная|обзорно-прицельная|716|51|14
463|эрзац-штурмовиков|эрзац-штурмовиков|774|55|14
