|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
2|ал|антон лавров|Антон Лавров|NAME|3|1|3|NAME|1|1.0|1
4|украина|украиной|Украиной|NOUN|8|1|8|SPEC|8|1.0|8
5|штурмовик|штурмовиков|штурмовиков|NOUN|9|1|9|SPEC|5|1.0|5
6|st|super tucano|Super Tucano|NAME|10|1|10|NAME|8|1.0|8
9|украина|украина|Украина|NOUN|13|2|1|SPEC|8|1.0|8
13|бразилия|бразилии|Бразилии|NOUN|18|2|6|SPEC|1|1.0|1
16|самолет|самолетов|самолетов|NOUN|21|2|9|SPEC|14|1.0|14
17|a-29|a-29|A-29|DSNU|22|2|10|DSNU|2|1.0|2
18|st|super tucano|Super Tucano|NAME|23|2|11|NAME|8|1.0|8
20|ввс|ввс|ВВС|ABVR|25|3|2|SPEC|7|1.0|7
21|страна|страны|страны|NOUN|27|3|4||6|1.0|6
25|сд|сергеем дроздовым|Сергеем Дроздовым|NAME|33|3|10|NAME|1|1.0|1
27|сп|сан-паулу|Сан-Паулу|NAME|36|3|13|NAME|1|1.0|1
33|embraer|embraer|Embraer|TITL|45|3|22|TITL|1|1.0|1
35|самолет|самолет|самолет|NOUN|47|3|24|SPEC|14|1.0|14
37|ввс|ввс|ВВС|ABVR|50|4|3|SPEC|7|1.0|7
40|машина|машину|машину|NOUN|54|4|7|SPEC|3|1.0|3
49|ввс|ввс|ВВС|ABVR|71|5|11|SPEC|7|1.0|7
52|сша|сша|США|NOUN|79|6|3|SPEC|6|1.0|6
54|a-29|a-29|A-29|DSNU|81|6|5|DSNU|2|1.0|2
55|st|super tucano|Super Tucano|NAME|82|6|6|NAME|8|1.0|8
58|год|год|год|NOUN|85|6|9||4|1.0|4
64|lca|light combat aircraft|Light Combat Aircraft|NAME|97|6|21|NAME|1|1.0|1
66|киев|киева|Киева|NOUN|100|7|3|TITL|1|1.0|1
71|боевы|боевых|боевых|NOUN|105|8|4||4|1.0|4
72|самолет|самолетов|самолетов|NOUN|106|8|5|SPEC|14|1.0|14
73|украина|украина|Украина|NOUN|107|8|6|SPEC|8|1.0|8
76|2015 году|2015 году|2015 году|NUSR|113|8|12|NUSR|1|1.0|1
80|ввс|ввс|ВВС|ABVR|117|8|16|SPEC|7|1.0|7
83|страна|страны|страны|NOUN|122|8|21||6|1.0|6
87|истребитель|истребителей|истребителей|NOUN|128|9|6|SPEC|1|1.0|1
97|самолет|самолеты|самолеты|NOUN|145|10|5|SPEC|14|1.0|14
111|авиация|авиации|авиации|NOUN|168|11|9|SPEC|3|1.0|3
118|штурмовик|штурмовика|штурмовика|NOUN|180|12|12|SPEC|5|1.0|5
120|второй|второй|Второй|ADJF|182|12|14|TITL|1|1.0|1
127|беспилотник|беспилотниками|беспилотниками|NOUN|193|13|7|SPEC|3|1.0|3
134|самолет|самолета|самолета|NOUN|203|13|17|SPEC|14|1.0|14
136|прибор|приборов|приборов|NOUN|208|13|22|SPEC|1|1.0|1
145|а-29|а-29|А-29|DSNU|223|14|11|DSNU|2|1.0|2
146|st|super tucano|Super Tucano|NAME|224|14|12|NAME|8|1.0|8
152|машина|машине|машине|NOUN|234|15|5|SPEC|3|1.0|3
154|сша|сша|США|NOUN|236|15|7|SPEC|6|1.0|6
157|страна|страны|страны|NOUN|241|15|12||6|1.0|6
161|st|super tucano|Super Tucano|NAME|246|16|3|NAME|8|1.0|8
169|применение|применением|применением|NOUN|258|17|3||6|1.0|6
172|штурмовик|штурмовиков|штурмовиков|NOUN|261|17|6|SPEC|5|1.0|5
175|ввс|ввс|ВВС|ABVR|264|17|9|SPEC|7|1.0|7
176|афганистан|афганистана|Афганистана|NOUN|265|17|10|SPEC|3|1.0|3
179|самолет|самолетов|самолетов|NOUN|269|18|4|SPEC|14|1.0|14
186|сша|сша|США|NOUN|281|19|10|SPEC|6|1.0|6
189|год|года|года|NOUN|284|19|13||4|1.0|4
191|год|года|года|NOUN|287|20|3||4|1.0|4
198|пушка|пушку|пушку|NOUN|298|20|14|SPEC|1|1.0|1
199|пулемет|пулеметы|пулеметы|NOUN|300|20|16|SPEC|2|1.0|2
204|авиабомба|авиабомбы|авиабомбы|NOUN|309|21|9|SPEC|3|1.0|3
211|самолет|самолета|самолета|NOUN|318|22|6|SPEC|14|1.0|14
