|values
allwordscount|858.0
relwordscount|563.0
badwordscount|285.0
garbagewordscount|10.0
typeswords|['NOUN', 'NAME', 'VERB', 'ADJF', 'UNKN', 'DSNU', 'ABVR', 'TITL', 'PRTF', 'PRCL', 'INFN', 'ADJS', 'NUSR', 'GRND', 'ADVB', 'COMP', 'NUMR', 'UPPR', 'CLIV', 'WIQM', 'PRED']
sentscount|63.0
minwordssent|2.0
maxwordssent|26.0
meanwordssent|13.44
minrepeatword|1.0
maxrepeatword|19.0
meanrepeatword|2.9
allcolumnsstat|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent']
garbage-%|1.17
bad-%|33.22
