|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|индийский|индийские|Индийские|ADJF|1|1|1||2|1.0
1|ввс|ввс|ВВС|ABVR|2|1|2|SPEC|3|1.0
2|переплачиваю|переплачивают|переплачивают|VERB|3|1|3||1|1.0
3|$28м|$28 млн|$28 млн|NUSR|4|1|4|NUSR|1|1.0
4|отечественный|отечественную|отечественную|ADJF|6|1|6||1|1.0
5|сборка|сборку|сборку|NOUN|7|1|7||4|1.0
6|каждый|каждого|каждого|ADJF|8|1|8||2|1.0
7|су-30мки|су-30мки|Су-30МКИ|DSNU|9|1|9|DSNU|6|1.0
8|данные|данные|данные|NOUN|11|2|2||1|1.0
9|следую|следуют|следуют|VERB|12|2|3||1|1.0
10|цифра|цифр|цифр|NOUN|14|2|5||1|1.0
11|обнародованный|обнародованных|обнародованных|PRTF|15|2|6||1|1.0
12|ми|минобороны индии|Минобороны Индии|NAME|16|2|7|NAME|2|1.0
13|ответ|ответ|ответ|NOUN|18|2|9||1|1.0
14|запрос|запрос|запрос|NOUN|20|2|11||1|1.0
15|компания|компании|компании|NOUN|21|2|12||3|1.0
16|hal|hal|HAL|UPPR|22|2|13|UPPR|6|1.0
17|дополнительный|дополнительном|дополнительном|ADJF|24|2|15||1|1.0
18|заказ|заказе|заказе|NOUN|25|2|16||1|1.0
19|сборка|сборку|сборку|NOUN|27|2|18||4|1.0
20|российский|российских|российских|ADJF|28|2|19||3|1.0
21|истребитель|истребителей|истребителей|NOUN|29|2|20|SPEC|5|1.0
22|16.08|16 августа|16 августа|NUSR|31|3|2|NUSR|1|1.0
23|портал|портал|портал|NOUN|32|3|3||1|1.0
24|defensenews.com|defensenews.com|defensenews.com|UNKN|33|3|4|UNKN|1|1.0
25|сообщил|сообщил|сообщил|VERB|34|3|5||2|1.0
26|компания|компания|компания|NOUN|38|3|9||3|1.0
27|hal|hindustan aeronautics ltd|Hindustan Aeronautics Ltd|NAME|39|3|10|NAME|6|2.0
28|hal|hal|HAL|ABVR|40|3|11|ABVR|6|2.0
