|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
1|ввс|ввс|ВВС|ABVR|2|1|2|SPEC|1.0|3|3
3|$28м|$28 млн|$28 млн|NUSR|4|1|4|NUSR|1.0|1|1
5|сборка|сборку|сборку|NOUN|7|1|7||1.0|4|4
7|су-30мки|су-30мки|Су-30МКИ|DSNU|9|1|9|DSNU|1.0|6|6
12|ми|минобороны индии|Минобороны Индии|NAME|16|2|7|NAME|1.0|2|2
16|hal|hal|HAL|UPPR|22|2|13|UPPR|1.0|6|6
19|сборка|сборку|сборку|NOUN|27|2|18||1.0|4|4
21|истребитель|истребителей|истребителей|NOUN|29|2|20|SPEC|1.0|5|5
22|16.08|16 августа|16 августа|NUSR|31|3|2|NUSR|1.0|1|1
27|hal|hindustan aeronautics ltd|Hindustan Aeronautics Ltd|NAME|39|3|10|NAME|2.0|6|6
28|hal|hal|HAL|ABVR|40|3|11|ABVR|2.0|6|6
31|завод|завод|завод|NOUN|43|3|14|SPEC|1.0|2|2
32|насике|насике|Насике|TITL|45|3|16|TITL|1.0|2|2
33|шм|штат махараштра|штат Махараштра|ABVR|46|3|17|ABVR|1.0|1|1
36|2020г|2020 года|2020 года|NUSR|54|4|8|NUSR|1.0|1|1
39|272и|272 истребителей|272 истребителей|NUSR|59|4|13|NUSR|1.0|1|1
40|су-30мки|су-30мки|Су-30МКИ|DSNU|60|4|14|DSNU|1.0|6|6
43|пао|пао|ПАО|ABVR|64|4|18|SPEC|1.0|1|1
44|оак|объединённая авиастроительная корпорация|Объединённая авиастроительная корпорация|WIQM|65|4|19|WIQM|1.0|1|1
54|400м|400 местных|400 местных|NUSR|78|5|13|NUSR|1.0|2|2
55|предприятие|предприятий|предприятий|NOUN|79|5|14|SPEC|1.0|1|1
57|hal|hal|HAL|UPPR|81|5|16|UPPR|1.0|6|6
59|ввс|ввс|ВВС|ABVR|83|5|18|SPEC|1.0|3|3
60|индия|индии|Индии|NOUN|84|5|19|SPEC|1.0|4|4
62|72и|72 истребителя|72 истребителя|NUSR|87|5|22|NUSR|1.0|1|1
63|су-30мки|су-30мки|Су-30МКИ|DSNU|88|5|23|DSNU|1.0|6|6
68|$5м|$5 млрд|$5 млрд|NUSR|93|6|5|NUSR|1.0|1|1
69|ми|минобороны индии|Минобороны Индии|NAME|95|7|2|NAME|1.0|2|2
71|ввс|ввс|ВВС|ABVR|99|7|6|SPEC|1.0|3|3
74|д18|до 18|до 18|NUSR|103|7|10|NUSR|1.0|1|1
75|су-30мки|су-30мки|Су-30МКИ|DSNU|104|7|11|DSNU|1.0|6|6
76|самолёт|самолётов|самолётов|NOUN|106|7|13|SPEC|1.0|2|2
90|истребитель|истребитель|истребитель|NOUN|124|8|10|SPEC|1.0|5|5
92|индия|индии|Индии|NOUN|127|8|13|SPEC|1.0|4|4
94|$70,3м|$70,3 млн|$70,3 млн|NUSR|130|8|16|NUSR|1.0|1|1
95|самолёт|самолёт|самолёт|NOUN|133|8|19|SPEC|1.0|2|2
97|сборка|сборки|сборки|NOUN|135|8|21||1.0|4|4
99|$42,15м|$42,15 млн|$42,15 млн|NUSR|137|8|23|NUSR|1.0|1|1
103|индия|индии|Индии|NOUN|142|9|5|SPEC|1.0|4|4
107|су-30мки|су-30мки|Су-30МКИ|DSNU|146|9|9|DSNU|1.0|6|6
108|hal|hal|HAL|UPPR|148|9|11|UPPR|1.0|6|6
109|истребитель|истребитель|истребитель|NOUN|149|9|12|SPEC|1.0|5|5
111|сборка|сборки|сборки|NOUN|151|9|14||1.0|4|4
112|нс|не самодостаточен|не самодостаточен|WIQM|152|9|15|WIQM|1.0|1|1
113|51%|51%|51%|NUSR|154|10|2|NUSR|1.0|1|1
116|индия|индии|Индии|NOUN|158|10|6|SPEC|1.0|4|4
117|49%|49%|49%|NUSR|161|10|9|NUSR|1.0|1|1
121|россия|россии|России|NOUN|166|10|14|SPEC|1.0|2|2
122|завод|завод|завод|NOUN|168|11|2|SPEC|1.0|2|2
123|hal|hal|HAL|UPPR|169|11|3|UPPR|1.0|6|6
124|насике|насике|Насике|TITL|171|11|5|TITL|1.0|2|2
126|12и|12 истребителей|12 истребителей|NUSR|173|11|7|NUSR|1.0|1|1
127|су-30мки|су-30мки|Су-30МКИ|DSNU|174|11|8|DSNU|1.0|6|6
129|истребитель|истребителя|истребителя|NOUN|177|12|3|SPEC|2.0|5|5
132|400м|400 местных|400 местных|NUSR|180|12|6|NUSR|1.0|2|2
135|6000д|6000 деталей|6000 деталей|NUSR|184|12|10|NUSR|1.0|1|1
137|$12,5м|$12,5 млн|$12,5 млн|NUSR|187|12|13|NUSR|1.0|1|1
139|истребитель|истребителей|истребителей|NOUN|191|12|17|SPEC|2.0|5|5
142|россия|россии|России|NOUN|196|13|5|SPEC|1.0|2|2
