|values
allwordscount|208.0
relwordscount|151.0
badwordscount|56.0
garbagewordscount|1.0
typeswords|['ADJF', 'ABVR', 'VERB', 'NUSR', 'NOUN', 'DSNU', 'PRTF', 'NAME', 'UPPR', 'UNKN', 'INFN', 'TITL', 'PRTS', 'ADJS', 'WIQM', 'PRCL', 'NUMR']
sentscount|13.0
minwordssent|5.0
maxwordssent|23.0
meanwordssent|16.0
minrepeatword|1.0
maxrepeatword|6.0
meanrepeatword|1.98
allcolumnsstat|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent']
garbage-%|0.48
bad-%|26.92
