|values
keyscount|188.0
Ukeyscount|83.0
Skeyscount|53.0
USkeyscount|21.0
Nkeyscount|55.0
UNkeyscount|10.0
partlangkeys|['NOUN', 'ADJF', 'NAME', 'UPPR', 'NUSR', 'WIQM', 'ABVR', 'GRND', 'TITL', 'DSNU', 'NUMB']
typeskeys|[None, 'SPEC', 'NAME', 'TITL', 'UPPR', 'NUSR', 'WIQM', 'CLIV', 'DSNU', 'ABVR', 'NUMB']
inwhatsents|[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]
minkeyssent|1.0
maxkeyssent|14.0
meankeyssent|6.06
minrepeatkey|1.0
maxrepeatkeys|14.0
meanrepeatkey|4.82
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent', 'count_key_text']
keys-%|32.36
Ukeys-%|14.29
KUkeys-%|44.15
Skeys-%|9.12
Skeysofkeys-%|28.19
USkeysofUkeys-%|25.3
Nkeys-%|9.47
Nkeysofkeys-%|29.26
UNkeysofUkeys-%|12.05
