|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
0|военный|военный|Военный|NOUN|1|1|1||6|1.0|6
4|война|войны|войны|NOUN|5|1|5||5|1.0|5
5|сша|сша|США|NOUN|6|1|6|SPEC|9|1.0|9
6|россия|россии|России|NOUN|8|1|8|SPEC|5|1.0|5
7|море|море|море|NOUN|10|1|10||11|1.0|11
8|черный|черное|Черное|ADJF|11|2|1||14|1.0|14
9|море|море|море|NOUN|12|2|2||11|1.0|11
14|россия|россии|России|NOUN|17|2|7|SPEC|5|1.0|5
15|сша|сша|США|NOUN|19|2|9|SPEC|9|1.0|9
18|военный|военный|военный|NOUN|23|2|13||6|1.0|6
20|лг|лайл голдштейн|Лайл Голдштейн|NAME|25|2|15|NAME|2|1.0|2
23|tni|the national interest|The National Interest|NAME|30|2|20|NAME|2|1.0|2
25|американский|американские|американские|ADJF|36|3|6||8|1.0|8
26|авианосец|авианосцы|авианосцы|NOUN|37|3|7|SPEC|4|1.0|4
31|война|войне|войне|NOUN|43|3|13||5|1.0|5
33|украина|украины|Украины|NOUN|46|3|16|SPEC|4|1.0|4
35|пентагон|пентагон|Пентагон|NOUN|49|3|19|TITL|1|1.0|1
38|черный|черном|Черном|NOUN|54|3|24|TITL|14|1.0|14
39|море|море|море|NOUN|55|3|25||11|1.0|11
40|черный|черное|Черное|ADJF|56|4|1||14|1.0|14
41|море|море|море|NOUN|57|4|2||11|1.0|11
47|россия|россии|России|NOUN|65|4|10|SPEC|5|1.0|5
48|сша|сша|США|NOUN|67|4|12|SPEC|9|1.0|9
50|керченский|керченском|Керченском|ADJF|71|4|16|TITL|1|1.0|1
58|фр|фсб рф|ФСБ РФ|UPPR|80|4|25|UPPR|1|1.0|1
59|12 украинских|12 украинских|12 украинских|NUSR|81|4|26|NUSR|1|1.0|1
62|судно|судах|судах|NOUN|85|4|30|SPEC|3|1.0|3
67|военный|военный|военный|NOUN|91|4|36||6|1.0|6
69|лг|лайл голдштейн|Лайл Голдштейн|NAME|93|4|38|NAME|2|1.0|2
72|американский|американского|американского|ADJF|98|4|43||8|1.0|8
75|tni|the national interest|The National Interest|NAME|101|4|46|NAME|2|1.0|2
77|вашингтон|вашингтон|Вашингтон|NOUN|107|5|6|TITL|2|1.0|2
82|пс|подняв ставку|подняв ставку|WIQM|112|5|11|WIQM|1|1.0|1
84|москва|москвой|Москвой|NOUN|116|5|15|TITL|2|1.0|2
85|военный|военными|военными|NOUN|117|5|16||6|1.0|6
86|учение|учениями|учениями|NOUN|118|5|17||5|1.0|5
87|нато|нато|НАТО|ABVR|119|5|18|SPEC|2|1.0|2
88|sb|sea breeze|Sea Breeze|NAME|120|5|19|NAME|2|1.0|2
90|украина|украиной|Украиной|NOUN|124|5|23|SPEC|4|1.0|4
91|19 странами|19 странами|19 странами|NUSR|127|5|26|NUSR|1|1.0|1
92|одесса|одессе|Одессе|NOUN|129|5|28|TITL|1|1.0|1
94|американский|американская|американская|ADJF|133|6|4||8|1.0|8
99|упр|у порога россии|у порога России|WIQM|138|6|9|WIQM|1|1.0|1
108|киев|киеву|Киеву|NOUN|152|7|12|TITL|1|1.0|1
111|москва|москвой|Москвой|NOUN|157|7|17|TITL|2|1.0|2
117|вашингтон|вашингтоне|Вашингтоне|NOUN|169|8|12|TITL|2|1.0|2
119|азовский|азовского|Азовского|ADJF|172|9|3|TITL|1|1.0|1
120|моря|моря|моря|GRND|173|9|4||5|2.0|5
122|черный|черного|Черного|NOUN|178|9|9|TITL|14|1.0|14
123|моря|моря|моря|GRND|179|9|10||5|2.0|5
126|18 тысяч|18 тысяч|18 тысяч|NUSR|184|9|15|NUSR|1|1.0|1
127|мина|мин|мин|NOUN|185|9|16|SPEC|2|1.0|2
128|второй|второй|Второй|ADJF|187|9|18|TITL|1|1.0|1
130|война|войны|войны|NOUN|189|9|20||5|1.0|5
137|война|войну|войну|NOUN|201|11|3||5|1.0|5
138|сша|сша|США|NOUN|203|11|5|SPEC|9|1.0|9
139|россия|россией|Россией|NOUN|205|11|7|SPEC|5|1.0|5
140|учение|учениях|учениях|NOUN|208|11|10||5|1.0|5
143|американский|американских|американских|ADJF|212|11|14||8|1.0|8
144|судно|судов|судов|NOUN|213|11|15|SPEC|3|1.0|3
146|мина|мине|мине|NOUN|217|11|19|SPEC|2|1.0|2
150|голдштейн|голдштейн|Голдштейн|TITL|222|12|3|TITL|1|1.0|1
154|сша|сша|США|NOUN|228|12|9|SPEC|9|1.0|9
157|авианосец|авианосцы|авианосцы|NOUN|231|12|12|SPEC|4|1.0|4
161|км|конвенцией монтрё|Конвенцией Монтрё|NAME|238|12|19|NAME|1|1.0|1
165|авианосец|авианосцы|авианосцы|NOUN|244|13|6|SPEC|4|1.0|4
172|лодка|лодок|лодок|NOUN|255|13|17|SPEC|1|1.0|1
176|комплекс|комплексов|комплексов|NOUN|259|13|21|SPEC|2|1.0|2
177|смертоносный|смертоносных|смертоносных|ADJF|261|13|23|WIQM|1|1.0|1
180|катер|катеров|катеров|NOUN|264|13|26|SPEC|1|1.0|1
181|кинжал|кинжал|Кинжал|NOUN|265|14|1|SPEC|1|1.0|1
182|авианосец|авианосцы|авианосцы|NOUN|267|15|2|SPEC|4|1.0|4
187|война|войне|войне|NOUN|273|15|8||5|1.0|5
189|украина|украины|Украины|NOUN|276|15|11|SPEC|4|1.0|4
192|корабль|корабли|корабли|NOUN|283|15|18|SPEC|7|1.0|7
193|вс|вмс сша|ВМС США|UPPR|284|15|19|UPPR|6|1.0|6
195|россия|россией|Россией|NOUN|288|15|23|SPEC|5|1.0|5
201|корабль|корабль|корабль|NOUN|296|17|5|SPEC|7|1.0|7
202|сметливый|сметливый|Сметливый|ADJF|297|17|6|CLIV|1|1.0|1
203|черноморский|черноморского|Черноморского|ADJF|298|17|7|TITL|2|1.0|2
204|флот|флота|флота|NOUN|299|17|8||5|1.0|5
206|эсминец|эсминец|эсминец|NOUN|301|17|10|SPEC|4|1.0|4
207|вс|вмс сша|ВМС США|UPPR|302|17|11|UPPR|6|1.0|6
