|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|цамто|цамто|ЦАМТО|UPPR|1|1|1|UPPR|1|1.0
1|2 августа|2 августа|2 августа|NUSR|2|1|2|NUSR|1|1.0
2|ремонтно-восстановительный|ремонтно-восстановительные|Ремонтно-восстановительные|ADJF|3|2|1||5|1.0
3|батальон|батальоны|батальоны|NOUN|4|2|2||5|1.0
4|цво|цво|ЦВО|UPPR|5|2|3|UPPR|2|1.0
5|дислоцированный|дислоцированные|дислоцированные|ADJF|6|2|4||1|1.0
6|территория|территории|территории|NOUN|8|2|6||1|1.0
7|сибирь|сибири|Сибири|NOUN|9|2|7|TITL|1|1.0
8|поволжье|поволжья|Поволжья|NOUN|11|2|9|TITL|1|1.0
9|передан|переданы|переданы|PRTS|12|2|10||1|1.0
10|состав|состав|состав|NOUN|14|2|12||3|1.0
11|армия|армий|армий|NOUN|15|2|13||4|1.0
12|формирование|формирование|Формирование|NOUN|16|3|1||1|1.0
13|подразделение|подразделений|подразделений|NOUN|18|3|3||1|1.0
14|позволил|позволит|позволит|VERB|19|3|4||1|1.0
15|ускорить|ускорить|ускорить|INFN|20|3|5||1|1.0
16|восстановление|восстановление|восстановление|NOUN|21|3|6||1|1.0
17|военный|военной|военной|ADJF|22|3|7||2|1.0
18|техника|техники|техники|NOUN|23|3|8|SPEC|1|1.0
19|2,5 раза|2,5 раза|2,5 раза|NUSR|25|3|10|NUSR|2|1.0
20|цель|целью|целью|NOUN|27|4|2||1|1.0
21|обеспечение|обеспечения|обеспечения|NOUN|28|4|3||4|2.0
22|автономность|автономности|автономности|NOUN|29|4|4||1|1.0
23|вопрос|вопросах|вопросах|NOUN|31|4|6||1|1.0
24|технический|технического|технического|ADJF|32|4|7||1|1.0
25|обеспечение|обеспечения|обеспечения|NOUN|33|4|8||4|2.0
26|армия|армий|армий|NOUN|34|4|9||4|1.0
27|принят|принято|принято|ADJS|35|4|10||1|1.0
28|решение|решение|решение|NOUN|36|4|11||2|1.0
29|переподчинение|переподчинение|переподчинение|NOUN|38|4|13||1|1.0
30|отдельный|отдельных|отдельных|ADJF|39|4|14||3|1.0
