|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
0|цамто|цамто|ЦАМТО|UPPR|1|1|1|UPPR|1.0|1|1
1|2 августа|2 августа|2 августа|NUSR|2|1|2|NUSR|1.0|1|1
2|ремонтно-восстановительный|ремонтно-восстановительные|Ремонтно-восстановительные|ADJF|3|2|1||1.0|5|5
3|батальон|батальоны|батальоны|NOUN|4|2|2||1.0|5|5
4|цво|цво|ЦВО|UPPR|5|2|3|UPPR|1.0|2|2
7|сибирь|сибири|Сибири|NOUN|9|2|7|TITL|1.0|1|1
8|поволжье|поволжья|Поволжья|NOUN|11|2|9|TITL|1.0|1|1
11|армия|армий|армий|NOUN|15|2|13||1.0|4|4
18|техника|техники|техники|NOUN|23|3|8|SPEC|1.0|1|1
19|2,5 раза|2,5 раза|2,5 раза|NUSR|25|3|10|NUSR|1.0|2|2
21|обеспечение|обеспечения|обеспечения|NOUN|28|4|3||2.0|4|4
25|обеспечение|обеспечения|обеспечения|NOUN|33|4|8||2.0|4|4
26|армия|армий|армий|NOUN|34|4|9||1.0|4|4
31|ремонтно-восстановительный|ремонтно-восстановительных|ремонтно-восстановительных|ADJF|40|4|15||1.0|5|5
32|батальон|батальонов|батальонов|NOUN|41|4|16||1.0|5|5
34|ремонтно-восстановительный|ремонтно-восстановительных|ремонтно-восстановительных|ADJF|43|5|2||1.0|5|5
35|батальон|батальонов|батальонов|NOUN|44|5|3||1.0|5|5
37|армия|армий|армий|NOUN|47|5|6||2.0|4|4
42|образец|образцов|образцов|NOUN|53|5|12|SPEC|1.0|1|1
44|2,5 раза|2,5 раза|2,5 раза|NUSR|59|5|18|NUSR|1.0|2|2
52|обеспечение|обеспечения|обеспечения|NOUN|68|5|27||2.0|4|4
53|армия|армии|армии|NOUN|69|5|28||2.0|4|4
58|цво|цво|ЦВО|UPPR|74|5|33|UPPR|1.0|2|2
60|обеспечение|обеспечению|обеспечению|NOUN|77|5|36||2.0|4|4
62|ал|алексей лемякин|Алексей Лемякин|NAME|79|5|38|NAME|1.0|1|1
64|ремонтно-восстановительный|ремонтно-восстановительные|ремонтно-восстановительные|ADJF|83|6|4||1.0|5|5
65|батальон|батальоны|батальоны|NOUN|84|6|5||1.0|5|5
67|кемеровский|кемеровской|Кемеровской|ADJF|87|6|8|TITL|1.0|1|1
68|самарский|самарской|Самарской|ADJF|89|6|10|TITL|1.0|1|1
70|челябинский|челябинской|Челябинской|ADJF|93|7|3|TITL|1.0|1|1
72|с 1 декабря 2018 года|с 1 декабря 2018 года|с 1 декабря 2018 года|NUSR|95|7|5|NUSR|1.0|1|1
79|ремонтно-восстановительный|ремонтно-восстановительные|ремонтно-восстановительные|ADJF|104|8|5||1.0|5|5
80|батальон|батальоны|батальоны|NOUN|105|8|6||1.0|5|5
82|2008 году|2008 году|2008 году|NUSR|110|8|11|NUSR|1.0|1|1
87|россия|россии|России|NOUN|116|8|17|SPEC|1.0|1|1
90|центральный|центрального|Центрального|ADJF|119|8|20|TITL|1.0|1|1
