|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
3|тикси|тикси|Тикси|NOUN|6|1|6|TITL|5|1.0|5
7|вв|валерий васильев|Валерий Васильев|CLIV|10|1|10|CLIV|2|1.0|2
9|2,5 тыс.т|2,5 тыс.т|2,5 тыс.т|NUSR|13|1|13|NUSR|2|1.0|2
12|москва|москва|МОСКВА|NOUN|16|2|1|UPPR|1|1.0|1
13|31 июля|31 июля|31 июля|NUSR|17|2|2|NUSR|1|1.0|1
14|тасс|тасс|ТАСС|NOUN|18|3|1|WIQM|1|1.0|1
15|170 единиц|170 единиц|170 единиц|NUSR|20|4|2|NUSR|2|1.0|2
16|военный|военной|военной|ADJF|21|4|3||6|1.0|6
17|техника|техники|техники|NOUN|22|4|4|SPEC|4|1.0|4
23|пво|пво|ПВО|ABVR|29|4|11|SPEC|3|1.0|3
24|северный|северного|Северного|ADJF|30|4|12|TITL|6|1.0|6
25|флот|флота|флота|NOUN|31|4|13||6|1.0|6
26|тикси|тикси|Тикси|NOUN|32|4|14|TITL|5|1.0|5
32|флот|флота|флота|NOUN|42|5|10||6|1.0|6
35|военный|военной|военной|ADJF|46|6|4||6|2.0|6
37|северный|северного|Северного|ADJF|48|6|6|TITL|6|1.0|6
38|флот|флота|флота|NOUN|49|6|7||6|1.0|6
40|тикси|тикси|Тикси|NOUN|52|6|10|TITL|5|1.0|5
46|лаптевы|лаптевых|Лаптевых|NOUN|59|6|17|TITL|1|1.0|1
47|рс|республике саха|Республике Саха|NAME|61|6|19|NAME|1|1.0|1
48|якутия|якутия|Якутия|ABVR|62|6|20|ABVR|1|1.0|1
54|170 единиц|170 единиц|170 единиц|NUSR|70|6|28|NUSR|2|1.0|2
55|вооружение|вооружения|вооружения|NOUN|71|6|29||4|1.0|4
56|военный|военной|военной|ADJF|72|6|30||6|2.0|6
58|техника|техники|техники|NOUN|75|6|33|SPEC|4|1.0|4
65|северный|северным|Северным|ADJF|85|7|7|TITL|6|2.0|6
69|судно|судами|судами|NOUN|90|7|12|SPEC|1|1.0|1
72|северный|северного|Северного|ADJF|94|7|16|TITL|6|2.0|6
73|флот|флота|флота|NOUN|95|7|17||6|1.0|6
75|севморпуть|севморпуть|Севморпуть|CLIV|97|8|2|CLIV|1|1.0|1
77|тикси|тикси|Тикси|NOUN|100|8|5|TITL|5|1.0|5
78|архангельск|архангельска|Архангельска|NOUN|102|8|7|TITL|1|1.0|1
79|85 единиц|85 единиц|85 единиц|NUSR|103|8|8|NUSR|1|1.0|1
80|военный|военной|военной|ADJF|104|8|9||6|1.0|6
81|техника|техники|техники|NOUN|105|8|10|SPEC|4|1.0|4
83|вооружение|вооружение|вооружение|NOUN|108|8|13||4|1.0|4
86|пво|пво|ПВО|ABVR|111|8|16|SPEC|3|1.0|3
87|северный|северного|Северного|ADJF|112|8|17|TITL|6|1.0|6
88|флот|флота|флота|NOUN|113|8|18||6|1.0|6
93|россия|россии|России|NOUN|119|8|24|SPEC|1|1.0|1
94|арктика|арктике|Арктике|NOUN|121|8|26|TITL|1|1.0|1
98|тикси|тикси|Тикси|NOUN|127|9|6|TITL|5|1.0|5
102|вв|валерий васильев|Валерий Васильев|CLIV|131|9|10|CLIV|2|1.0|2
104|2,5 тыс.т|2,5 тыс.т|2,5 тыс.т|NUSR|134|9|13|NUSR|2|1.0|2
117|военный|военного|военного|NOUN|152|10|16||6|1.0|6
122|90 единиц|90 единиц|90 единиц|NUSR|160|11|7|NUSR|1|1.0|1
123|вооружение|вооружения|вооружения|NOUN|161|11|8||4|1.0|4
124|военный|военной|военной|ADJF|162|11|9||6|1.0|6
126|техника|техники|техники|NOUN|165|11|12|SPEC|4|1.0|4
135|пво|пво|ПВО|ABVR|179|12|7|SPEC|3|1.0|3
136|северный|северного|Северного|ADJF|180|12|8|TITL|6|1.0|6
137|флот|флота|флота|NOUN|181|12|9||6|1.0|6
140|2019 году|2019 году|2019 году|NUSR|186|12|14|NUSR|1|1.0|1
146|вооружение|вооружение|вооружение|NOUN|195|13|9||4|1.0|4
