|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|настоящее|настоящее|настоящее|NOUN|2|1|2||2|1.0
1|время|время|время|NOUN|3|1|3||2|1.0
2|бухта|бухте|бухте|NOUN|5|1|5||3|1.0
3|тикси|тикси|Тикси|NOUN|6|1|6|TITL|5|1.0
4|иду|идет|идет|VERB|7|1|7||2|1.0
5|разгрузка|разгрузка|разгрузка|NOUN|8|1|8||3|1.0
6|теплоход|теплохода|теплохода|NOUN|9|1|9||3|1.0
7|вв|валерий васильев|Валерий Васильев|CLIV|10|1|10|CLIV|2|1.0
8|доставил|доставил|доставил|VERB|12|1|12||2|1.0
9|2,5 тыс.т|2,5 тыс.т|2,5 тыс.т|NUSR|13|1|13|NUSR|2|1.0
10|строительный|строительных|строительных|ADJF|14|1|14||3|1.0
11|груз|грузов|грузов|NOUN|15|1|15||3|1.0
12|москва|москва|МОСКВА|NOUN|16|2|1|UPPR|1|1.0
13|31 июля|31 июля|31 июля|NUSR|17|2|2|NUSR|1|1.0
14|тасс|тасс|ТАСС|NOUN|18|3|1|WIQM|1|1.0
15|170 единиц|170 единиц|170 единиц|NUSR|20|4|2|NUSR|2|1.0
16|военный|военной|военной|ADJF|21|4|3||6|1.0
17|техника|техники|техники|NOUN|22|4|4|SPEC|4|1.0
18|доставлен|доставлены|доставлены|PRTS|23|4|5||3|1.0
19|дальний|дальний|дальний|ADJF|25|4|7||1|1.0
20|гарнизон|гарнизон|гарнизон|NOUN|26|4|8||2|1.0
21|новое|нового|нового|NOUN|27|4|9||3|1.0
22|соединение|соединения|соединения|NOUN|28|4|10||3|1.0
23|пво|пво|ПВО|ABVR|29|4|11|SPEC|3|1.0
24|северный|северного|Северного|ADJF|30|4|12|TITL|6|1.0
25|флот|флота|флота|NOUN|31|4|13||6|1.0
26|тикси|тикси|Тикси|NOUN|32|4|14|TITL|5|1.0
27|говорюсь|говорится|говорится|VERB|35|5|3||2|1.0
28|сообщение|сообщении|сообщении|NOUN|37|5|5||2|1.0
29|распространенный|распространенном|распространенном|PRTF|38|5|6||1|1.0
30|среда|среду|среду|NOUN|40|5|8||1|1.0
31|пресс-служба|пресс-службой|пресс-службой|NOUN|41|5|9||2|1.0
32|флот|флота|флота|NOUN|42|5|10||6|1.0
33|рамка|рамках|рамках|NOUN|44|6|2||1|1.0
34|развитие|развития|развития|NOUN|45|6|3||1|1.0
35|военный|военной|военной|ADJF|46|6|4||6|2.0
36|инфраструктура|инфраструктуры|инфраструктуры|NOUN|47|6|5||1|1.0
37|северный|северного|Северного|ADJF|48|6|6|TITL|6|1.0
38|флот|флота|флота|NOUN|49|6|7||6|1.0
39|гарнизон|гарнизон|гарнизон|NOUN|51|6|9||2|1.0
40|тикси|тикси|Тикси|NOUN|52|6|10|TITL|5|1.0
41|дислоцированный|дислоцированный|дислоцированный|ADJF|53|6|11||1|1.0
42|берегу|берегу|берегу|VERB|55|6|13||1|1.0
43|одноименный|одноименной|одноименной|ADJF|56|6|14||1|1.0
44|бухта|бухты|бухты|NOUN|57|6|15||3|1.0
45|моря|моря|моря|GRND|58|6|16||1|1.0
46|лаптевы|лаптевых|Лаптевых|NOUN|59|6|17|TITL|1|1.0
47|рс|республике саха|Республике Саха|NAME|61|6|19|NAME|1|1.0
48|якутия|якутия|Якутия|ABVR|62|6|20|ABVR|1|1.0
49|доставлен|доставлена|доставлена|PRTS|63|6|21||3|1.0
50|очередной|очередная|очередная|ADJF|64|6|22||1|1.0
