|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
1|часть|частям|частям|NOUN|6|1|6||6|1.0|6
3|блог|блоге|блоге|NOUN|11|1|11||6|1.0|6
4|от 200 до 1500 просмотров|от 200 до 1500 просмотров|от 200 до 1500 просмотров|NUSR|12|1|12|NUSR|1|1.0|1
10|цена|цены|цены|NOUN|23|2|7||6|1.0|6
14|15/7/19|15/7/19|15/7/19|NUSR|28|3|3|NUSR|1|1.0|1
15|всн|в самый низ|в самый низ|ABVR|29|3|4|ABVR|1|1.0|1
16|ходовой|ходовая|Ходовая|ADJF|30|4|1||16|1.0|16
17|вид|виде|виде|NOUN|32|4|3||4|1.0|4
18|полный|полного|полного|ADJF|33|4|4||9|1.0|9
19|привод|привода|привода|NOUN|34|4|5||4|1.0|4
20|колесо|колёса|колёса|NOUN|36|4|7||9|1.0|9
22|каток|катки|катки|NOUN|40|4|11||16|1.0|16
23|танк|танка|танка|NOUN|42|4|13|SPEC|20|1.0|20
26|вечный|вечные|вечные|ADJF|49|4|20||4|1.0|4
27|гусеница|гусеницу|гусеницу|NOUN|50|4|21|SPEC|5|1.0|5
30|шина|шину|шину|NOUN|54|4|25||16|1.0|16
34|каток|катков|катков|NOUN|60|5|4||16|1.0|16
35|ширин|ширине|ширине|NOUN|62|5|6||7|1.0|7
37|б3ш|бмп-3 шире|БМП-3 шире|ABVR|65|5|9|ABVR|1|1.0|1
38|давление|давление|давление|NOUN|67|5|11||4|1.0|4
39|грунт|грунт|грунт|NOUN|69|5|13||4|1.0|4
44|привод|привода|привода|NOUN|76|6|4||4|1.0|4
47|25т и 15 чел|25т и 15 чел|25т и 15 чел|NUSR|81|7|4|NUSR|1|1.0|1
49|крыша|крыша|крыша|NOUN|83|7|6||11|1.0|11
50|дно|дно|дно|NOUN|85|7|8||5|1.0|5
51|по 27 мм|по 27 мм|по 27 мм|NUSR|86|7|9|NUSR|1|1.0|1
52|броня|брони|брони|NOUN|87|7|10|SPEC|28|3.0|28
53|борт|борта|борта|NOUN|88|7|11||10|1.0|10
54|по 40 мм|по 40 мм|по 40 мм|NUSR|89|7|12|NUSR|1|1.0|1
55|броня|брони|брони|NOUN|91|7|14|SPEC|28|3.0|28
56|3 раза|3 раза|3 раза|NUSR|95|7|18|NUSR|3|1.0|3
57|масса|массе|массе|NOUN|98|7|21||11|1.0|11
59|свшп|свшп|СВШП|UPPR|103|7|26|UPPR|3|1.0|3
62|15%|15%|15%|NUSR|110|7|33|NUSR|4|1.0|4
64|часть|части|части|NOUN|113|7|36||6|1.0|6
65|вид|виде|виде|NOUN|115|7|38||4|1.0|4
69|10%|10%|10%|NUSR|121|7|44|NUSR|2|1.0|2
71|лист|лист|лист|NOUN|127|7|50||4|1.0|4
75|броня|брони|брони|NOUN|131|7|54|SPEC|28|3.0|28
81|ходовой|ходовой|ходовой|ADJF|143|9|4||16|1.0|16
86|2|2|2|NUMB|150|9|11|NUMB|3|1.0|3
87|ходовой|ходовая|Ходовая|ADJF|151|10|1||16|1.0|16
88|вид|виде|виде|NOUN|153|10|3||4|1.0|4
