|values
keyscount|706.0
Ukeyscount|318.0
Skeyscount|139.0
USkeyscount|39.0
partlangkeys|['NOUN', 'NUSR', 'ABVR', 'ADJF', 'UPPR', 'NUMB', 'DSNU', 'TITL', 'PRED', 'NAME', 'WIQM', 'MATH', 'DSNL']
typeskeys|[None, 'NUSR', 'ABVR', 'SPEC', 'UPPR', 'NUMB', 'DSNU', 'TITL', 'NAME', 'WIQM', 'MATH', 'DSNL']
inwhatsents|[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 38, 39, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 61, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 112, 114, 115, 116, 117, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 132, 133, 134, 135, 136, 138, 139, 140, 141, 142, 143, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156]
minkeyssent|1.0
maxkeyssent|26.0
meankeyssent|5.08
minrepeatkey|1.0
maxrepeatkeys|28.0
meanrepeatkey|6.46
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent', 'count_key_text']
keys-%|27.3
Ukeys-%|12.3
KUkeys-%|45.04
Skeys-%|5.38
Skeysofkeys-%|19.69
USkeysofUkeys-%|12.26
