|word|tword|pos|idsent|sentpos
131|парашютист-испытатель|парашютист-испытатель|205|10|26
188|аэроупругий|аэроупругий|294|15|5
209|аэроупругими|аэроупругими|328|16|34
283|кв.м|кв.м|430|22|14
287|кв.м|кв.м|439|22|23
470|парашютист-испытатель|парашютист-испытатель|732|43|14
474|парашютист-испытатель|парашютист-испытатель|735|44|3
478|парашютистов-испытателей|парашютистов-испытателей|743|45|6
493|переукладку|переукладку|764|46|12
641|парашютист-испытатель|парашютист-испытатель|1020|62|3
822|патиссонообразный|патиссонообразный|1314|76|16
1076|эскизно-технического|эскизно-технического|1720|98|11
1192|лидерная|лидерная|1901|109|6
1222|спортсменов-любителей|спортсменов-любителей|1939|111|21
1244|безранцевый|безранцевый|1970|113|6
1293|безранцевой|безранцевой|2047|117|2
