|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|парашютный|парашютных|парашютных|ADJF|2|1|2||14|1.0
1|система|системах|системах|NOUN|3|1|3||49|1.0
2|эксплуатируюсь|эксплуатируются|эксплуатируются|VERB|6|1|6||2|1.0
3|военный|военными|военными|NOUN|7|1|7||3|1.0
4|новый|новых|новых|ADJF|11|1|11||6|1.0
5|парашют|парашютах|парашютах|NOUN|12|1|12|SPEC|23|1.0
6|армия|армии|армии|NOUN|14|1|14||2|1.0
7|уникальный|уникальных|уникальных|ADJF|16|1|16||2|1.0
8|гражданский|гражданских|гражданских|ADJF|17|1|17||3|1.0
9|разработка|разработках|разработках|NOUN|18|1|18||4|1.0
10|один|одного|одного|ADJF|19|1|19||6|1.0
11|ведущий|ведущих|ведущих|ADJF|21|1|21||1|1.0
12|предприятие|предприятий|предприятий|NOUN|22|1|22|SPEC|2|1.0
13|ростеха|ростеха|Ростеха|TITL|23|1|23|TITL|1|1.0
14|нии|нии|НИИ|ABVR|24|1|24|SPEC|17|1.0
15|парашютостроение|парашютостроения|парашютостроения|NOUN|25|1|25||7|1.0
16|оружие|оружие|оружие|NOUN|27|2|2|WIQM|1|1.0
17|российский|российского|российского|ADJF|28|2|3||1|1.0
18|десантник|десантника|десантника|NOUN|29|2|4||9|1.0
19|парашют|парашют|парашют|NOUN|32|2|7|SPEC|23|1.0
20|ведусь|ведутся|ведутся|VERB|34|3|2||4|1.0
21|работа|работы|работы|NOUN|35|3|3||10|1.0
22|модернизация|модернизации|модернизации|NOUN|37|3|5||1|1.0
23|стоящий|стоящих|стоящих|ADJF|38|3|6||1|1.0
24|снабжение|снабжении|снабжении|NOUN|40|3|8||3|1.0
25|вд|воздушно-десантных|Воздушно-десантных|TITL|41|3|9|TITL|2|1.0
26|войско|войск|войск|NOUN|42|3|10||7|1.0
27|вдв|вдв|ВДВ|ABVR|43|3|11|ABVR|6|1.0
28|россия|россии|России|NOUN|44|3|12|SPEC|1|1.0
29|образец|образцов|образцов|NOUN|45|3|13|SPEC|4|1.0
30|создание|созданию|созданию|NOUN|47|3|15||4|1.0
31|новый|новых|новых|ADJF|48|3|16||6|1.0
