|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
0|парашютный|парашютных|парашютных|ADJF|2|1|2||1.0|14|14
1|система|системах|системах|NOUN|3|1|3||1.0|49|49
4|новый|новых|новых|ADJF|11|1|11||1.0|6|6
5|парашют|парашютах|парашютах|NOUN|12|1|12|SPEC|1.0|23|23
9|разработка|разработках|разработках|NOUN|18|1|18||1.0|4|4
10|один|одного|одного|ADJF|19|1|19||1.0|6|6
12|предприятие|предприятий|предприятий|NOUN|22|1|22|SPEC|1.0|2|2
13|ростеха|ростеха|Ростеха|TITL|23|1|23|TITL|1.0|1|1
14|нии|нии|НИИ|ABVR|24|1|24|SPEC|1.0|17|17
15|парашютостроение|парашютостроения|парашютостроения|NOUN|25|1|25||1.0|7|7
16|оружие|оружие|оружие|NOUN|27|2|2|WIQM|1.0|1|1
18|десантник|десантника|десантника|NOUN|29|2|4||1.0|9|9
19|парашют|парашют|парашют|NOUN|32|2|7|SPEC|1.0|23|23
21|работа|работы|работы|NOUN|35|3|3||1.0|10|10
25|вд|воздушно-десантных|Воздушно-десантных|TITL|41|3|9|TITL|1.0|2|2
26|войско|войск|войск|NOUN|42|3|10||1.0|7|7
27|вдв|вдв|ВДВ|ABVR|43|3|11|ABVR|1.0|6|6
28|россия|россии|России|NOUN|44|3|12|SPEC|1.0|1|1
29|образец|образцов|образцов|NOUN|45|3|13|SPEC|1.0|4|4
30|создание|созданию|созданию|NOUN|47|3|15||1.0|4|4
31|новый|новых|новых|ADJF|48|3|16||1.0|6|6
33|система|систем|систем|NOUN|50|3|18||1.0|49|49
35|год|годы|годы|NOUN|54|3|22||1.0|8|8
36|кп|крылатая пехота|крылатая пехота|WIQM|55|3|23|WIQM|1.0|1|1
39|весь|всю|всю|ADJF|60|4|2||1.0|4|4
42|нии|нии|НИИ|ABVR|63|4|5|SPEC|1.0|17|17
43|парашютостроение|парашютостроения|парашютостроения|NOUN|64|4|6||1.0|7|7
45|5 тыс.парашютных|5 тыс.парашютных|5 тыс.парашютных|NUSR|67|4|9|NUSR|1.0|1|1
46|система|систем|систем|NOUN|68|4|10||1.0|49|49
47|различный|различного|различного|ADJF|69|4|11||1.0|4|4
48|назначение|назначения|назначения|NOUN|70|4|12||1.0|4|4
49|момент|момента|момента|NOUN|72|5|2||1.0|6|6
50|создание|создания|создания|NOUN|73|5|3||1.0|4|4
51|система|системы|системы|NOUN|74|5|4||1.0|49|49
57|применение|применения|применения|NOUN|81|5|11||1.0|5|5
59|настоящее|настоящее|настоящее|NOUN|85|6|2||1.0|5|5
60|время|время|время|NOUN|86|6|3||1.0|8|8
63|институт|института|института|NOUN|90|6|7||1.0|5|5
64|парашют|парашюты|парашюты|NOUN|91|6|8|SPEC|1.0|23|23
66|спасение|спасения|спасения|NOUN|94|6|11||1.0|4|4
68|различный|различных|различных|ADJF|96|6|13||2.0|4|4
70|аппарат|аппаратов|аппаратов|NOUN|98|6|15|SPEC|2.0|3|3
72|самолет|самолетов|самолетов|NOUN|100|6|17|SPEC|2.0|5|5
76|приземление|приземления|приземления|NOUN|107|6|24||2.0|4|4
77|беспилотник|беспилотников|беспилотников|NOUN|108|6|25|SPEC|1.0|1|1
78|десантирование|десантирования|десантирования|NOUN|109|6|26||1.0|11|11
79|самолет|самолетов|самолетов|NOUN|111|6|28|SPEC|2.0|5|5
83|техника|техники|техники|NOUN|116|6|33|SPEC|1.0|4|4
84|ибрк|и боеприпасов различного калибра|и боеприпасов различного калибра|ABVR|117|6|34|ABVR|1.0|1|1
87|приземление|приземления|приземления|NOUN|121|6|38||2.0|4|4
88|часть|частей|частей|NOUN|122|6|39||1.0|5|5
89|ракета|ракет|ракет|NOUN|123|6|40|SPEC|1.0|1|1
90|ракетоплан|ракетопланов|ракетопланов|NOUN|124|6|41|SPEC|1.0|1|1
93|земля|земли|Земли|NOUN|128|6|45|TITL|1.0|2|2
95|аппаратура|аппаратуры|аппаратуры|NOUN|130|6|47|SPEC|1.0|1|1
97|аэростат|аэростатов|аэростатов|NOUN|132|6|49|SPEC|1.0|1|1
99|аппарат|аппаратов|аппаратов|NOUN|134|6|51|SPEC|2.0|3|3
100|различный|различного|различного|ADJF|135|6|52||2.0|4|4
101|назначение|назначения|назначения|NOUN|136|6|53||1.0|4|4
102|число|числе|числе|NOUN|139|6|56||1.0|5|5
103|другой|другие|другие|ADJF|142|6|59||1.0|6|6
107|нии|нии|НИИ|ABVR|152|7|4|SPEC|1.0|17|17
108|разработка|разработки|разработки|NOUN|154|7|6||1.0|4|4
115|газа|газа|газа|ABVR|164|7|16|ABVR|1.0|1|1
119|парашютный|парашютные|парашютные|ADJF|169|8|5||1.0|14|14
120|система|системы|системы|NOUN|170|8|6||1.0|49|49
122|момент|момент|момент|NOUN|173|9|3||1.0|6|6
123|институт|институте|институте|NOUN|175|9|5||1.0|5|5
125|порядок|порядка|порядка|NOUN|177|9|7||1.0|7|7
130|применение|применения|применения|NOUN|183|10|4||1.0|5|5
131|парашютный|парашютной|парашютной|ADJF|184|10|5||1.0|14|14
132|система|системы|системы|NOUN|185|10|6||1.0|49|49
133|назначение|назначения|назначения|NOUN|187|10|8||1.0|4|4
138|тасс|тасс|ТАСС|NOUN|200|10|21|UPPR|1.0|2|2
140|испытательный|испытательной|испытательной|ADJF|202|10|23||1.0|5|5
142|предприятие|предприятия|предприятия|NOUN|204|10|25|SPEC|1.0|2|2
144|1-го|1-го|1-го|NUSR|206|10|27|NUSR|1.0|3|3
