|values
keyscount|618.0
Ukeyscount|157.0
Skeyscount|91.0
USkeyscount|23.0
partlangkeys|['ADJF', 'NOUN', 'TITL', 'ABVR', 'WIQM', 'NUSR', 'NAME', 'DSNU', 'NUMB', 'GRND']
typeskeys|[None, 'SPEC', 'TITL', 'WIQM', 'ABVR', 'NUSR', 'UPPR', 'NAME', 'CLIV', 'DSNU', 'NUMB']
inwhatsents|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124]
minkeyssent|1.0
maxkeyssent|26.0
meankeyssent|5.11
minrepeatkey|1.0
maxrepeatkeys|49.0
meanrepeatkey|10.65
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_sent', 'count_word_text', 'count_key_text']
keys-%|28.62
Ukeys-%|7.27
KUkeys-%|25.4
Skeys-%|4.21
Skeysofkeys-%|14.72
USkeysofUkeys-%|14.65
