|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|москва|москва|МОСКВА|NOUN|1|1|1|UPPR|1|1.0
1|31 июл|31 июл|31 июл|NUSR|2|1|2|NUSR|1|1.0
2|риа|риа|РИА|NOUN|3|1|3|UPPR|1|1.0
3|новость|новости|Новости|NOUN|4|1|4|TITL|1|1.0
4|350 десантников|350 десантников|350 десантников|NUSR|6|2|2|NUSR|1|1.0
5|совершил|совершили|совершили|VERB|7|2|3||2|1.0
6|тренировочный|тренировочные|тренировочные|ADJF|8|2|4||2|1.0
7|прыжок|прыжки|прыжки|NOUN|9|2|5||2|1.0
8|готовясь|готовясь|готовясь|GRND|10|2|6||1|1.0
9|конкурс|конкурсу|конкурсу|NOUN|12|2|8||5|1.0
10|дв|десантный взвод|Десантный взвод|WIQM|13|2|9|WIQM|1|1.0
11|рамка|рамках|рамках|NOUN|15|2|11||2|1.0
12|арми-2019|арми-2019|АрМИ-2019|DSNU|16|2|12|DSNU|2|1.0
13|сообщил|сообщили|сообщили|VERB|17|2|13||1|1.0
14|пресс-служба|пресс-службе|пресс-службе|NOUN|19|2|15||1|1.0
15|департамент|департамента|департамента|NOUN|20|2|16||1|1.0
16|информация|информации|информации|NOUN|21|2|17||1|1.0
17|массовый|массовых|массовых|ADJF|23|2|19||1|1.0
18|коммуникация|коммуникаций|коммуникаций|NOUN|24|2|20||1|1.0
19|минобороны|минобороны|Минобороны|NOUN|25|2|21|TITL|1|1.0
20|рф|рф|РФ|NOUN|26|2|22|UPPR|1|1.0
21|рамка|рамках|рамках|NOUN|28|3|2||2|1.0
22|подготовка|подготовки|подготовки|NOUN|29|3|3||1|1.0
23|первое|первому|первому|NOUN|31|3|5||1|1.0
24|этап|этапу|этапу|NOUN|32|3|6||1|1.0
25|конкурс|конкурса|конкурса|NOUN|33|3|7||5|3.0
26|участник|участники|участники|NOUN|34|3|8||1|1.0
27|конкурс|конкурса|конкурса|NOUN|35|3|9||5|3.0
