|values
allwordscount|358.0
relwordscount|259.0
badwordscount|98.0
garbagewordscount|1.0
typeswords|['NOUN', 'PRTS', 'ADJF', 'ABVR', 'NUSR', 'VERB', 'INFN', 'UPPR', 'NAME', 'ADVB', 'ADJS', 'PRTF', 'WIQM', 'PRCL', 'NUMR', 'PRED', 'CLIV', 'GRND', 'UNKN']
sentscount|19.0
minwordssent|1.0
maxwordssent|47.0
meanwordssent|18.74
minrepeatword|1.0
maxrepeatword|10.0
meanrepeatword|2.81
allcolumnsstat|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent']
garbage-%|0.28
bad-%|27.37
