|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
0|россия|россии|России|NOUN|2|1|2|SPEC|7|1.0|7
4|ниокр|ниокр|НИОКР|ABVR|6|1|6|SPEC|2|1.0|2
6|31 июля|31 июля|31 июля|NUSR|8|3|1|NUSR|1|1.0|1
7|интерфакс|интерфакс|ИНТЕРФАКС|NOUN|9|4|1|UPPR|2|2.0|2
8|сша|сша|США|NOUN|10|4|2|SPEC|10|1.0|10
15|система|систем|систем|NOUN|19|4|11||4|1.0|4
16|средний|средней|средней|ADJF|20|4|12||4|1.0|4
17|дальность|дальности|дальности|NOUN|21|4|13||7|1.0|7
18|наземный|наземного|наземного|ADJF|22|4|14||4|1.0|4
21|интерфакс|интерфаксу|Интерфаксу|NOUN|25|4|17|CLIV|2|2.0|2
23|мр|мид рф|МИД РФ|UPPR|27|4|19|UPPR|1|1.0|1
24|ср|сергей рябков|Сергей Рябков|NAME|28|4|20|NAME|1|1.0|1
32|американский|американские|американские|ADJF|43|6|4||4|1.0|4
38|система|систем|систем|NOUN|50|6|11||4|3.0|4
39|средний|средней|средней|ADJF|51|6|12||4|1.0|4
40|дальность|дальности|дальности|NOUN|52|6|13||7|1.0|7
46|система|систем|систем|NOUN|62|6|23||4|3.0|4
47|сша|сша|США|NOUN|64|6|25|SPEC|10|1.0|10
54|система|системам|системам|NOUN|74|6|35||4|3.0|4
60|сз|сказал замминистра|сказал замминистра|WIQM|86|6|47|WIQM|1|1.0|1
69|рябок|рябков|Рябков|NOUN|101|7|15|TITL|1|1.0|1
70|3 июля|3 июля|3 июля|NUSR|102|8|1|NUSR|1|1.0|1
72|рф|рф|РФ|NOUN|104|8|3|UPPR|2|1.0|2
73|вп|владимир путин|Владимир Путин|NAME|105|8|4|NAME|1|1.0|1
77|россия|россией|Россией|NOUN|110|8|9|SPEC|7|1.0|7
79|дрсмд|дрсмд|ДРСМД|UPPR|112|8|11|UPPR|5|1.0|5
80|договор|договор|Договор|NOUN|113|9|1||6|1.0|6
81|рсмд|рсмд|РСМД|ABVR|115|9|3|SPEC|1|1.0|1
84|1 июня 1988 г|1 июня 1988 г|1 июня 1988 г|NUSR|119|9|7|NUSR|1|1.0|1
85|договор|договор|Договор|NOUN|120|10|1||6|1.0|6
90|европа|европе|Европе|NOUN|126|10|7|TITL|2|2.0|2
94|европа|европе|Европе|NOUN|133|10|14|TITL|2|2.0|2
96|ракета|ракет|ракет|NOUN|135|10|16|SPEC|10|1.0|10
97|американский|американских|американских|ADJF|137|10|18||4|1.0|4
98|першингов|першингов|Першингов|CLIV|138|10|19|CLIV|1|1.0|1
104|ракета|ракет|ракет|NOUN|144|11|6|SPEC|10|2.0|10
106|сторона|сторонам|сторонам|NOUN|147|11|9||4|1.0|4
112|ракета|ракеты|ракеты|NOUN|155|11|17|SPEC|10|2.0|10
113|наземный|наземного|наземного|ADJF|156|11|18||4|1.0|4
115|средний|средней|средней|ADJF|158|11|20||4|1.0|4
116|дальность|дальности|дальности|NOUN|159|11|21||7|2.0|7
117|о1д5к|от 1000 до 5500 км|от 1000 до 5500 км|ABVR|160|11|22|ABVR|1|1.0|1
119|дальность|дальности|дальности|NOUN|163|11|25||7|2.0|7
120|о5д1к|от 500 до 1000 км|от 500 до 1000 км|ABVR|164|11|26|ABVR|1|1.0|1
122|установка|установки|установки|NOUN|168|11|30|SPEC|1|1.0|1
123|20 октября 2018 года|20 октября 2018 года|20 октября 2018 года|NUSR|171|12|1|NUSR|1|1.0|1
125|сша|сша|США|NOUN|173|12|3|SPEC|10|1.0|10
126|дт|дональд трамп|Дональд Трамп|NAME|174|12|4|NAME|1|1.0|1
130|дрсмд|дрсмд|ДРСМД|UPPR|180|12|10|UPPR|5|1.0|5
133|сторона|сторона|сторона|NOUN|187|12|17||4|1.0|4
136|4 декабря|4 декабря|4 декабря|NUSR|191|13|1|NUSR|1|1.0|1
138|сша|сша|США|NOUN|193|13|3|SPEC|10|1.0|10
139|мп|майк помпео|Майк Помпео|NAME|194|13|4|NAME|1|1.0|1
141|россия|россии|России|NOUN|197|13|7|SPEC|7|1.0|7
143|60 дней|60 дней|60 дней|NUSR|200|13|10|NUSR|1|1.0|1
146|ракета|ракету|ракету|NOUN|204|13|14|SPEC|10|1.0|10
147|9м729|9м729|9М729|ABVR|205|13|15|ABVR|1|1.0|1
151|вашингтон|вашингтоне|Вашингтоне|NOUN|213|13|23|TITL|1|1.0|1
153|договор|договор|договор|NOUN|215|13|25||6|1.0|6
154|американский|американская|американская|ADJF|217|14|2||4|1.0|4
155|сторона|сторона|сторона|NOUN|218|14|3||4|1.0|4
161|ракета|ракеты|ракеты|NOUN|226|14|11|SPEC|10|1.0|10
162|россия|россия|Россия|NOUN|227|15|1|SPEC|7|1.0|7
165|американский|американской|американской|ADJF|230|15|4||4|1.0|4
166|сторона|стороны|стороны|NOUN|231|15|5||4|1.0|4
168|ракета|ракете|ракете|NOUN|234|15|8|SPEC|10|1.0|10
172|сша|сша|США|NOUN|239|15|13|SPEC|10|1.0|10
174|сша|сша|США|NOUN|241|16|2|SPEC|10|1.0|10
178|дрсмд|дрсмд|ДРСМД|UPPR|247|16|8|UPPR|5|1.0|5
179|2 февраля|2 февраля|2 февраля|NUSR|248|16|9|NUSR|2|1.0|2
183|договор|договора|договора|NOUN|255|16|16||6|1.0|6
184|россия|россия|Россия|NOUN|257|16|18|SPEC|7|1.0|7
188|2 февраля|2 февраля|2 февраля|NUSR|263|17|1|NUSR|2|1.0|2
189|путин|путин|Путин|NOUN|264|17|2|TITL|1|1.0|1
192|россия|россии|России|NOUN|268|17|6|SPEC|7|1.0|7
194|сша|сша|США|NOUN|271|17|9|SPEC|10|1.0|10
195|дрсмд|дрсмд|ДРСМД|UPPR|273|17|11|UPPR|5|1.0|5
197|москва|москва|Москва|NOUN|276|17|14|TITL|2|1.0|2
200|договор|договоре|договоре|NOUN|280|17|18||6|1.0|6
202|ниокр|ниокр|НИОКР|ABVR|283|17|21|SPEC|2|1.0|2
206|ракета|ракет|ракет|NOUN|288|17|26|SPEC|10|1.0|10
207|5 февраля|5 февраля|5 февраля|NUSR|289|18|1|NUSR|1|1.0|1
210|рф|рф|РФ|NOUN|292|18|4|UPPR|2|1.0|2
211|сш|сергей шойгу|Сергей Шойгу|NAME|293|18|5|NAME|1|1.0|1
215|сша|сша|США|NOUN|300|18|12|SPEC|10|1.0|10
218|дрсмд|дрсмд|ДРСМД|UPPR|304|18|16|UPPR|5|1.0|5
219|россия|россия|Россия|NOUN|305|18|17|SPEC|7|1.0|7
220|2019-2020 годах|2019-2020 годах|2019-2020 годах|NUSR|307|18|19|NUSR|1|1.0|1
222|наземный|наземный|наземный|ADJF|309|18|21||4|2.0|4
224|комплекс|комплекса|комплекса|NOUN|311|18|23|SPEC|2|2.0|2
225|калибр|калибр|Калибр|NOUN|312|18|24|SPEC|1|1.0|1
227|ракета|ракетой|ракетой|NOUN|315|18|27|SPEC|10|2.0|10
229|дальность|дальности|дальности|NOUN|317|18|29||7|2.0|7
230|наземный|наземный|наземный|ADJF|320|18|32||4|2.0|4
231|комплекс|комплекс|комплекс|NOUN|321|18|33|SPEC|2|2.0|2
233|ракета|ракетой|ракетой|NOUN|324|18|36|SPEC|10|2.0|10
235|дальность|дальности|дальности|NOUN|326|18|38||7|2.0|7
240|сша|сша|США|NOUN|334|19|8|SPEC|10|2.0|10
241|дб|джон болтон|Джон Болтон|NAME|335|19|9|NAME|1|1.0|1
247|ма|молодая америка|Молодая Америка|CLIV|343|19|17|CLIV|1|1.0|1
249|сша|сша|США|NOUN|346|19|20|SPEC|10|2.0|10
252|договор|договора|Договора|NOUN|350|19|24|TITL|6|1.0|6
254|ракета|ракет|ракет|NOUN|353|19|27|SPEC|10|1.0|10
255|средний|средней|средней|ADJF|354|19|28||4|1.0|4
257|дальность|дальности|дальности|NOUN|357|19|31||7|1.0|7
258|2 августа|2 августа|2 августа|NUSR|358|19|32|NUSR|1|1.0|1
