|values
allwordscount|1089.0
relwordscount|786.0
badwordscount|292.0
garbagewordscount|11.0
typeswords|['ADJF', 'NOUN', 'UNKN', 'DSNU', 'VERB', 'PRTF', 'ABVR', 'WIQM', 'CLIV', 'NAME', 'FLNM', 'PRTS', 'UPPR', 'NUMR', 'ADJS', 'INFN', 'NUSR', 'TITL', 'COMP']
sentscount|62.0
minwordssent|4.0
maxwordssent|43.0
meanwordssent|17.52
minrepeatword|1.0
maxrepeatword|34.0
meanrepeatword|4.59
allcolumnsstat|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent']
garbage-%|1.01
bad-%|26.81
