|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
5|ка-62|ка-62|Ка-62|DSNU|8|1|8|DSNU|21|1.0|21
7|макс|макс|МАКС|NOUN|11|1|11|UPPR|2|1.0|2
10|завод|завода|завода|NOUN|14|2|3|SPEC|1|1.0|1
11|прогресс|прогресс|Прогресс|NOUN|15|2|4|CLIV|6|1.0|6
14|новое|нового|нового|NOUN|19|2|8||4|1.0|4
20|пао|пао|ПАО|ABVR|25|2|14|SPEC|1|1.0|1
21|аакп|арсеньевская авиационная компания прогресс имени н. и. сазыкина|Арсеньевская авиационная компания Прогресс имени Н. И. Сазыкина|WIQM|26|2|15|WIQM|1|1.0|1
25|вр|вертолеты россии|Вертолеты России|CLIV|31|2|20|CLIV|3|1.0|3
26|госкорпорация|госкорпорации|Госкорпорации|NOUN|32|2|21|TITL|1|1.0|1
27|ростех|ростех|Ростех|CLIV|33|2|22|CLIV|1|1.0|1
28|юд|юрия денисенко|Юрия Денисенко|NAME|34|2|23|NAME|2|1.0|2
33|программа|программы|программы|NOUN|40|2|29||8|1.0|8
34|вертолет|вертолета|вертолета|NOUN|41|2|30|SPEC|34|1.0|34
35|ка-62|ка-62|Ка-62|DSNU|42|2|31|DSNU|21|1.0|21
38|производство|производства|производства|NOUN|47|2|36||18|1.0|18
39|гражданский|гражданский|Гражданский|ADJF|48|3|1||4|1.0|4
41|вертолет|вертолет|вертолет|NOUN|50|3|3|SPEC|34|1.0|34
42|ка-62|ка-62|Ка-62|DSNU|51|3|4|DSNU|21|1.0|21
43|производство|производства|производства|NOUN|52|3|5||18|1.0|18
44|арсеньевский|арсеньевской|Арсеньевской|ADJF|53|3|6|TITL|1|1.0|1
47|прогресс|прогресс|Прогресс|NOUN|56|3|9|CLIV|6|1.0|6
48|нис|н. и. сазыкина|Н. И. Сазыкина|FLNM|58|4|1|FLNM|1|1.0|1
50|вр|вертолеты россии|Вертолеты России|CLIV|60|4|3|CLIV|3|1.0|3
51|ввгр|входит в госкорпорацию ростех|входит в Госкорпорацию Ростех|ABVR|61|4|4|ABVR|1|1.0|1
53|летный|летной|летной|ADJF|64|4|7||10|1.0|10
54|программа|программе|программе|NOUN|65|4|8||8|1.0|8
57|международный|международного|Международного|ADJF|70|4|13|TITL|2|1.0|2
60|макс-2019|макс-2019|МАКС-2019|DSNU|73|4|16|DSNU|2|1.0|2
63|жуковский|жуковском|Жуковском|NOUN|78|4|21|TITL|1|1.0|1
65|вертолет|вертолета|вертолета|NOUN|80|5|2|SPEC|34|1.0|34
66|ка-62|ка-62|Ка-62|DSNU|81|5|3|DSNU|21|1.0|21
71|вэф|восточного экономического форума|Восточного Экономического Форума|NAME|91|5|13|NAME|1|1.0|1
74|испытание|испытаний|испытаний|NOUN|95|6|4||9|1.0|9
76|производство|производства|производства|NOUN|98|6|7||18|1.0|18
77|вертолет|вертолета|вертолета|NOUN|99|6|8|SPEC|34|1.0|34
78|ка-62|ка-62|Ка-62|DSNU|100|6|9|DSNU|21|1.0|21
82|аак|аак|ААК|UPPR|104|6|13|UPPR|3|1.0|3
83|прогресс|прогресс|Прогресс|NOUN|105|6|14|CLIV|6|1.0|6
84|юд|юрий денисенко|Юрий Денисенко|NAME|106|6|15|NAME|2|1.0|2
