|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
4|выуживающий|выуживающая|выуживающая|PRTF|8|2|2|WIQM|1.0|1|1
6|текст|текста|текста|NOUN|11|2|5||1.0|28|28
15|текст|текст|текст|NOUN|22|3|2||2.0|28|28
16|текст|текст|текст|NOUN|23|3|3||2.0|28|28
26|список|списка|списка|NOUN|39|3|19||1.0|14|14
27|слово|слов|слов|NOUN|40|3|20||1.0|33|33
30|список|список|список|NOUN|43|4|3||1.0|14|14
31|слово|слов|слов|NOUN|44|4|4||1.0|33|33
37|список|списка|списка|NOUN|52|5|8||1.0|14|14
40|ключевой|ключевых|ключевых|ADJF|57|5|13||1.0|11|11
41|слово|слов|слов|NOUN|58|5|14||1.0|33|33
42|текст|тексту|тексту|NOUN|60|5|16||1.0|28|28
47|анализ|анализа|анализа|NOUN|72|6|12||1.0|8|8
48|статья|статьи|статьи|NOUN|73|6|13||1.0|13|13
65|лень|лень|лень|NOUN|104|8|9|WIQM|1.0|1|1
68|слово|слова|слова|NOUN|109|8|14||1.0|33|33
70|статья|статью|статью|NOUN|115|9|6||1.0|13|13
74|данные|данных|данных|NOUN|120|9|11||1.0|11|11
80|слово|слова|слова|NOUN|127|10|3||2.0|33|33
81|ключевой|ключевые|ключевые|ADJF|129|10|5||1.0|11|11
82|выражение|выражения|выражения|NOUN|130|10|6||1.0|12|12
83|число|числе|числе|NOUN|134|10|10||1.0|11|11
84|слово|слова|слова|NOUN|135|10|11||2.0|33|33
85|список|список|список|NOUN|136|11|1||1.0|14|14
86|ключевой|ключевых|ключевых|ADJF|137|11|2||1.0|11|11
87|выражение|выражений|выражений|NOUN|138|11|3||1.0|12|12
91|маркер|маркерами|маркерами|NOUN|142|11|7||1.0|8|8
92|слово|слова|слова|NOUN|144|12|2||1.0|33|33
93|текст|текста|текста|NOUN|145|12|3||1.0|28|28
94|число|числе|числе|NOUN|148|12|6||1.0|11|11
96|ключевой|ключевые|ключевые|ADJF|151|12|9||1.0|11|11
105|слово|слово|слово|NOUN|163|13|2||1.0|33|33
106|текст|тексте|тексте|NOUN|165|13|4||2.0|28|28
112|текст|тексту|тексту|NOUN|173|13|12||2.0|28|28
113|число|числу|числу|NOUN|175|13|14||1.0|11|11
118|nrlp|natural russian language processing|Natural Russian Language Processing|NAME|181|14|5|NAME|1.0|1|1
121|keys|keys|Keys|TITL|184|14|8|TITL|1.0|1|1
123|данные|данные|данные|NOUN|186|14|10||1.0|11|11
124|анализ|анализа|анализа|NOUN|188|15|1||1.0|8|8
125|текст|текстов|текстов|NOUN|189|15|2||1.0|28|28
136|впк|впк|ВПК|ABVR|204|15|17|SPEC|2.0|3|3
137|впк|военно-промышленного комплекса|Военно-Промышленного Комплекса|NAME|205|15|18|NAME|2.0|3|3
144|online|online|online|ABVR|212|16|7|ABVR|1.0|2|2
145|площадки|площадки|площадки|ABVR|213|16|8|ABVR|1.0|1|1
160|текст|текстов|текстов|NOUN|234|18|3||1.0|28|28
161|ии|ии|ИИ|ABVR|235|18|4|ABVR|1.0|1|1
162|качество|качество|Качество|NOUN|236|19|1||1.0|13|13
166|статья|статью|статью|NOUN|242|20|6||1.0|13|13
170|слово|словам|словам|NOUN|250|20|14||1.0|33|33
173|качество|качества|качества|NOUN|256|20|20||1.0|13|13
177|качество|качество|Качество|NOUN|261|21|1||1.0|13|13
182|статья|статьях|статьях|NOUN|268|21|8||1.0|13|13
189|качество|качеством|качеством|NOUN|276|22|4||1.0|13|13
194|статья|статей|статей|NOUN|284|23|5||1.0|13|13
199|анализ|анализа|анализа|NOUN|293|23|14||1.0|8|8
202|качество|качества|качества|NOUN|297|24|4||2.0|13|13
209|качество|качества|качества|NOUN|305|24|12||2.0|13|13
217|данные|данным|данным|NOUN|321|26|8||1.0|11|11
229|статья|статье|статье|NOUN|345|27|11||2.0|13|13
231|ключ|ключом|ключом|NOUN|348|27|14||3.0|10|10
238|ключ|ключ|ключ|NOUN|360|27|26||3.0|10|10
239|ключ|ключу|ключу|NOUN|362|27|28||3.0|10|10
242|статья|статей|статей|NOUN|366|27|32||2.0|13|13
