|values
keyscount|257.0
Ukeyscount|66.0
Skeyscount|4.0
USkeyscount|3.0
Nkeyscount|181.0
UNkeyscount|13.0
partlangkeys|['PRTF', 'NOUN', 'ADJF', 'NAME', 'TITL', 'ABVR', 'UPPR', 'WIQM']
typeskeys|['WIQM', None, 'NAME', 'TITL', 'SPEC', 'ABVR', 'UPPR']
inwhatsents|[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 31, 33, 35, 37, 39, 41, 43, 44, 45, 46, 47, 48, 49, 52, 54, 56, 58, 60, 61, 62, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 106, 107, 108, 110, 111, 112]
minkeyssent|1.0
maxkeyssent|9.0
meankeyssent|2.82
minrepeatkey|1.0
maxrepeatkeys|33.0
meanrepeatkey|13.21
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_sent', 'count_word_text', 'count_key_text']
keys-%|21.12
Ukeys-%|5.42
KUkeys-%|25.68
Skeys-%|0.33
Skeysofkeys-%|1.56
USkeysofUkeys-%|4.55
Nkeys-%|14.87
Nkeysofkeys-%|70.43
UNkeysofUkeys-%|19.7
