|word|tword|pos|idsent|sentpos
45|хештегов|хештегов|55|5|11
108|лемматизированы|лемматизированы|152|12|10
129|nrlpk|nrlpk|180|14|4
130|by|by|182|14|6
131|the|the|183|14|7
153|предметизации|предметизации|210|16|5
169|online|online|231|17|18
187|приемлет|приемлет|260|20|24
290|юникоде|юникоде|415|31|15
291|words.csv|words.csv|417|33|1
296|неидентифицированных|неидентифицированных|423|33|7
297|keys.csv|keys.csv|425|35|1
316|garbage.csv|garbage.csv|453|37|1
318|неидентифицированных|неидентифицированных|455|37|3
320|descr_words.csv|descr_words.csv|458|39|1
326|descr_keys.csv|descr_keys.csv|467|41|1
331|reasons_quality.txt|reasons_quality.txt|475|43|1
346|nrlpk|nrlpk|504|45|1
395|nrlpk|nrlpk|570|58|1
402|nrlpk|nrlpk|582|59|8
442|агрегатора|агрегатора|632|63|16
458|токенизации|токенизации|649|65|9
462|токенизации|токенизации|656|66|5
586|юникоде|юникоде|837|78|3
598|nrlpk|nrlpk|855|80|6
635|токен|токен|909|85|2
646|nrlpk|nrlpk|921|86|9
708|describe|describe|1021|96|4
716|nrlpk|nrlpk|1034|97|9
737|nrlpk|nrlpk|1065|98|15
749|bad-%|bad-%|1079|100|6
753|skeys-%|skeys-%|1087|101|6
762|skeys-%|skeys-%|1099|102|8
773|keys-%|keys-%|1114|104|4
774|ukeys-%|ukeys-%|1117|104|7
776|keys-%|keys-%|1120|104|10
778|nrlpk|nrlpk|1126|106|1
818|p.s|P.S|1179|109|1
819|хештеги|Хештеги|1180|110|1
823|nrlpk|nrlpk|1187|110|8
842|nrlpk|nrlpk|1207|111|6
