|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|россия|россия|Россия|NOUN|1|1|1|SPEC|8|1.0
1|противодействовать|противодействовать|противодействовать|INFN|3|1|3||4|1.0
2|давление|давлению|давлению|NOUN|4|1|4||4|1.0
3|каракас|каракас|Каракас|NOUN|6|1|6|TITL|5|1.0
4|вице-президент|вице-президент|Вице-президент|NOUN|7|2|1||4|1.0
5|вдр|венесуэлы делси родригес|Венесуэлы Делси Родригес|NAME|8|2|2|NAME|2|1.0
6|встреча|встрече|встрече|NOUN|10|2|4||2|1.0
7|главый|главой|главой|ADJF|12|2|6||2|1.0
8|мр|мид рф|МИД РФ|UPPR|13|2|7|UPPR|2|1.0
9|сл|сергеем лавровым|Сергеем Лавровым|NAME|14|2|8|NAME|2|1.0
10|сообщил|сообщила|сообщила|VERB|15|2|9||3|1.0
11|привёз|привезла|привезла|VERB|17|2|11||3|1.0
12|личный|личную|личную|ADJF|18|2|12||3|1.0
13|благодарность|благодарность|благодарность|NOUN|19|2|13||3|1.0
14|президент|президента|президента|NOUN|20|2|14||9|1.0
15|внмвп|венесуэлы николаса мадуро владимиру путину|Венесуэлы Николаса Мадуро Владимиру Путину|NAME|21|2|15|NAME|1|1.0
16|лавров|лавров|Лавров|NOUN|22|3|1||2|1.0
17|подчеркнул|подчеркнул|подчеркнул|VERB|24|3|3||2|1.0
18|россия|россия|Россия|NOUN|26|3|5|SPEC|8|1.0
19|солидарен|солидарна|солидарна|ADJS|29|3|8||3|1.0
20|венесуэла|венесуэлой|Венесуэлой|NOUN|31|3|10|SPEC|13|1.0
21|намерен|намерена|намерена|ADJS|33|3|12||2|1.0
22|противодействовать|противодействовать|противодействовать|INFN|34|3|13||4|1.0
23|давление|давлению|давлению|NOUN|35|3|14||4|1.0
24|каракас|каракас|Каракас|NOUN|37|3|16|TITL|5|1.0
25|вс|вс сша|ВС США|UPPR|41|4|4|UPPR|5|1.0
26|подверг|подвергли|подвергли|VERB|42|4|5||2|1.0
27|критик|критике|критике|NOUN|43|4|6||2|1.0
