|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
0|минобрнауки|минобрнауки|Минобрнауки|NOUN|1|1|1||1.0|5|5
4|российский|российских|российских|ADJF|5|1|5||1.0|4|4
5|ученый|ученых|ученых|NOUN|6|1|6||1.0|6|6
6|зарубежный|зарубежными|зарубежными|ADJF|8|1|8||1.0|5|5
7|коллега|коллегами|коллегами|NOUN|9|1|9||1.0|4|4
11|встреча|встречи|встречи|NOUN|15|2|6||1.0|4|4
20|россия|россии|России|NOUN|29|3|11|SPEC|1.0|3|3
21|минобрнауки|минобрнауки|Минобрнауки|NOUN|30|4|1||1.0|5|5
24|организация|организации|организации|NOUN|34|4|5||2.0|4|4
27|иностранный|иностранными|иностранными|ADJF|39|4|10||2.0|5|5
29|организация|организациями|организациями|NOUN|42|4|13||2.0|4|4
31|иностранный|иностранных|иностранных|ADJF|45|4|16||2.0|5|5
34|мк|московский комсомолец|Московский комсомолец|WIQM|48|4|19|WIQM|1.0|1|1
39|российский|российских|российских|ADJF|53|5|5||1.0|4|4
40|ученый|ученых|ученых|NOUN|54|5|6||1.0|6|6
43|организация|организации|организации|NOUN|58|6|2||1.0|4|4
44|россия|россии|России|NOUN|60|6|4|SPEC|1.0|3|3
46|5д|5 дней|5 дней|NUSR|64|6|8|NUSR|1.0|1|1
50|встреча|встрече|встрече|NOUN|69|6|13||1.0|4|4
51|зарубежный|зарубежными|зарубежными|ADJF|71|6|15||1.0|5|5
52|коллега|коллегами|коллегами|NOUN|72|6|16||1.0|4|4
57|встреча|встрече|встрече|NOUN|79|7|3||1.0|4|4
60|2р|2 российских|2 российских|NUSR|84|7|8|NUSR|1.0|1|1
61|ученый|ученых|ученых|NOUN|85|7|9||1.0|6|6
65|зарубежный|зарубежными|зарубежными|ADJF|93|8|5||1.0|5|5
66|коллега|коллегами|коллегами|NOUN|94|8|6||1.0|4|4
69|российский|российские|российские|ADJF|98|8|10||1.0|4|4
70|ученый|ученые|ученые|NOUN|99|8|11||1.0|6|6
76|встреча|встреч|встреч|NOUN|108|9|4||1.0|4|4
89|минобрнауки|минобрнауки|Минобрнауки|NOUN|126|10|3|TITL|1.0|5|5
91|иностранный|иностранные|иностранные|ADJF|130|10|7||1.0|5|5
92|ученый|ученые|ученые|NOUN|131|10|8||1.0|6|6
96|организация|организаций|организаций|NOUN|136|10|13||1.0|4|4
97|россия|россии|России|NOUN|138|10|15|SPEC|1.0|3|3
103|устройство|устройства|устройства|NOUN|145|10|22|SPEC|1.0|1|1
108|рф|рф|РФ|NOUN|152|10|29|UPPR|1.0|1|1
113|иностранный|иностранных|иностранных|ADJF|160|12|5||1.0|5|5
115|ученый|ученые|Ученые|NOUN|162|13|1||1.0|6|6
117|зарубежный|зарубежными|зарубежными|ADJF|165|13|4||1.0|5|5
130|inc|inc|Inc|TITL|186|14|15|TITL|1.0|1|1
133|спг|спг|СПГ|ABVR|189|14|18|SPEC|1.0|1|1
134|гкл|горская кирилл лятс|Горская Кирилл Лятс|NAME|190|14|19|NAME|1.0|1|1
138|минобрнауки|минобрнауки|Минобрнауки|NOUN|195|15|5|TITL|1.0|5|5
140|российский|российские|российские|ADJF|197|15|7||1.0|4|4
161|иностранный|иностранными|иностранными|ADJF|229|18|3||1.0|5|5
162|коллега|коллегами|коллегами|NOUN|230|18|4||1.0|4|4
168|лятс|лятс|Лятс|TITL|242|18|16|TITL|1.0|1|1
173|зарубежный|зарубежные|зарубежные|ADJF|250|19|8||1.0|5|5
187|минобрнауки|минобрнауки|Минобрнауки|NOUN|279|19|37|TITL|1.0|5|5
190|дп|дмитрий песков|Дмитрий Песков|NAME|282|19|40|NAME|1.0|1|1
