|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|минобрнауки|минобрнауки|Минобрнауки|NOUN|1|1|1||5|1.0
1|ужесточил|ужесточило|ужесточило|VERB|2|1|2||1|1.0
2|правило|правила|правила|NOUN|3|1|3||3|1.0
3|контакт|контактов|контактов|NOUN|4|1|4||3|1.0
4|российский|российских|российских|ADJF|5|1|5||4|1.0
5|ученый|ученых|ученых|NOUN|6|1|6||6|1.0
6|зарубежный|зарубежными|зарубежными|ADJF|8|1|8||5|1.0
7|коллега|коллегами|коллегами|NOUN|9|1|9||4|1.0
8|заставил|заставят|заставят|VERB|11|2|2||1|1.0
9|получать|получать|получать|INFN|12|2|3||1|1.0
10|разрешение|разрешения|разрешения|NOUN|13|2|4||2|1.0
11|встреча|встречи|встречи|NOUN|15|2|6||4|1.0
12|писать|писать|писать|INFN|17|2|8||1|1.0
13|отчет|отчеты|отчеты|NOUN|18|2|9||2|1.0
14|эксперт|эксперты|Эксперты|NOUN|19|3|1||2|1.0
15|считаю|считают|считают|VERB|20|3|2||1|1.0
16|требование|требования|требования|NOUN|23|3|5||2|1.0
17|привёл|приведут|приведут|VERB|24|3|6||2|1.0
18|вымирание|вымиранию|вымиранию|NOUN|26|3|8||1|1.0
19|itech-стартапов|itech-стартапов|iTech-стартапов|UNKN|27|3|9|UNKN|1|1.0
20|россия|россии|России|NOUN|29|3|11|SPEC|3|1.0
21|минобрнауки|минобрнауки|Минобрнауки|NOUN|30|4|1||5|1.0
22|направил|направило|направило|VERB|31|4|2||1|1.0
23|подведомственный|подведомственные|подведомственные|ADJF|33|4|4||1|1.0
24|организация|организации|организации|NOUN|34|4|5||4|2.0
25|рекомендация|рекомендации|рекомендации|NOUN|35|4|6||2|1.0
26|контакт|контактам|контактам|NOUN|37|4|8||3|1.0
27|иностранный|иностранными|иностранными|ADJF|39|4|10||5|2.0
28|международный|международными|международными|ADJF|41|4|12||2|1.0
29|организация|организациями|организациями|NOUN|42|4|13||4|2.0
30|прием|приему|приему|NOUN|44|4|15||1|1.0
31|иностранный|иностранных|иностранных|ADJF|45|4|16||5|2.0
32|гражданин|граждан|граждан|NOUN|46|4|17||1|1.0
33|сообщаю|сообщает|сообщает|VERB|47|4|18||1|1.0
34|мк|московский комсомолец|Московский комсомолец|WIQM|48|4|19|WIQM|1|1.0
35|приказ|приказ|Приказ|NOUN|49|5|1||3|1.0
36|ужесточаю|ужесточает|ужесточает|VERB|50|5|2||1|1.0
37|правило|правила|правила|NOUN|51|5|3||3|1.0
38|контакт|контактов|контактов|NOUN|52|5|4||3|1.0
39|российский|российских|российских|ADJF|53|5|5||4|1.0
40|ученый|ученых|ученых|NOUN|54|5|6||6|1.0
41|иностранец|иностранцами|иностранцами|NOUN|56|5|8||1|1.0
42|научный|научные|Научные|ADJF|57|6|1||2|1.0
43|организация|организации|организации|NOUN|58|6|2||4|1.0
44|россия|россии|России|NOUN|60|6|4|SPEC|3|1.0
45|должен|должны|должны|ADJS|61|6|5||4|1.0
46|5д|5 дней|5 дней|NUSR|64|6|8|NUSR|1|1.0
47|уведомить|уведомить|уведомить|INFN|65|6|9||1|1.0
48|министерство|министерство|министерство|NOUN|66|6|10||1|1.0
49|планируемый|планируемой|планируемой|PRTF|68|6|12||1|1.0
50|встреча|встрече|встрече|NOUN|69|6|13||4|1.0
51|зарубежный|зарубежными|зарубежными|ADJF|71|6|15||5|1.0
52|коллега|коллегами|коллегами|NOUN|72|6|16||4|1.0
53|представить|представить|представить|INFN|74|6|18||1|1.0
54|список|список|список|NOUN|75|6|19||1|1.0
55|участник|участников|участников|NOUN|76|6|20||2|1.0
56|самый|самой|самой|ADJF|78|7|2||1|1.0
57|встреча|встрече|встрече|NOUN|79|7|3||4|1.0
58|должен|должны|должны|ADJS|80|7|4||4|1.0
59|присутствовать|присутствовать|присутствовать|INFN|81|7|5||1|1.0
60|2р|2 российских|2 российских|NUSR|84|7|8|NUSR|1|1.0
61|ученый|ученых|ученых|NOUN|85|7|9||6|1.0
62|уточняюсь|уточняется|уточняется|VERB|86|7|10||1|1.0
63|приказ|приказе|приказе|NOUN|88|7|12||3|1.0
64|общаться|общаться|общаться|INFN|91|8|3||1|1.0
65|зарубежный|зарубежными|зарубежными|ADJF|93|8|5||5|1.0
66|коллега|коллегами|коллегами|NOUN|94|8|6||4|1.0
67|нерабочее|нерабочее|нерабочее|COMP|96|8|8||1|1.0
68|время|время|время|NOUN|97|8|9||2|1.0
69|российский|российские|российские|ADJF|98|8|10||4|1.0
70|ученый|ученые|ученые|NOUN|99|8|11||6|1.0
71|смог|смогут|смогут|VERB|100|8|12||1|1.0
72|разрешение|разрешения|разрешения|NOUN|103|8|15||2|1.0
73|руководство|руководства|руководства|NOUN|104|8|16||1|1.0
74|итог|итогам|итогам|NOUN|106|9|2||2|1.0
75|проведенный|проведенных|проведенных|PRTF|107|9|3||1|1.0
76|встреча|встреч|встреч|NOUN|108|9|4||4|1.0
77|специалист|специалисты|специалисты|NOUN|109|9|5||2|1.0
78|обязан|обязаны|обязаны|ADJS|110|9|6||1|1.0
79|составить|составить|составить|INFN|111|9|7||1|1.0
80|отчет|отчет|отчет|NOUN|112|9|8||2|1.0
81|краткий|кратким|кратким|ADJF|114|9|10||1|1.0
82|описание|описанием|описанием|NOUN|115|9|11||1|1.0
83|обсуждение|обсуждения|обсуждения|NOUN|116|9|12||1|1.0
84|приложить|приложить|приложить|INFN|118|9|14||1|1.0
85|скан|сканы|сканы|NOUN|121|9|17||1|1.0
86|паспорт|паспортов|паспортов|NOUN|122|9|18||1|1.0
87|участник|участников|участников|NOUN|123|9|19||2|1.0
88|рекомендация|рекомендациях|рекомендациях|NOUN|125|10|2||2|1.0
89|минобрнауки|минобрнауки|Минобрнауки|NOUN|126|10|3|TITL|5|1.0
90|сообщаюсь|сообщается|сообщается|VERB|128|10|5||1|1.0
91|иностранный|иностранные|иностранные|ADJF|130|10|7||5|1.0
92|ученый|ученые|ученые|NOUN|131|10|8||6|1.0
93|время|время|время|NOUN|133|10|10||2|1.0
94|посещение|посещения|посещения|NOUN|134|10|11||1|1.0
95|научный|научных|научных|ADJF|135|10|12||2|1.0
96|организация|организаций|организаций|NOUN|136|10|13||4|1.0
97|россия|россии|России|NOUN|138|10|15|SPEC|3|1.0
98|могу|могут|могут|VERB|139|10|16||2|1.0
99|использовать|использовать|использовать|INFN|140|10|17||1|1.0
100|записывающий|записывающие|записывающие|PRTF|141|10|18||1|1.0
101|копирующий|копирующие|копирующие|PRTF|143|10|20||1|1.0
102|информация|информацию|информацию|NOUN|144|10|21||1|1.0
103|устройство|устройства|устройства|NOUN|145|10|22|SPEC|1|1.0
104|случай|случаях|случаях|NOUN|148|10|25||1|1.0
105|предусмотренный|предусмотренных|предусмотренных|ADJF|149|10|26||1|1.0
106|международный|международными|международными|ADJF|150|10|27||2|1.0
107|договор|договорами|договорами|NOUN|151|10|28||1|1.0
108|рф|рф|РФ|NOUN|152|10|29|UPPR|1|1.0
109|itech-стартапы|itech-стартапы|iTech-стартапы|UNKN|153|11|1|UNKN|1|1.0
110|могу|могут|могут|VERB|154|11|2||2|1.0
111|умереть|умереть|умереть|INFN|155|11|3||1|1.0
112|привлекать|привлекать|привлекать|INFN|159|12|4||1|1.0
113|иностранный|иностранных|иностранных|ADJF|160|12|5||5|1.0
114|инвестор|инвесторов|инвесторов|NOUN|161|12|6||1|1.0
115|ученый|ученые|Ученые|NOUN|162|13|1||6|1.0
116|сотрудничающий|сотрудничающие|сотрудничающие|PRTF|163|13|2||1|1.0
117|зарубежный|зарубежными|зарубежными|ADJF|165|13|4||5|1.0
118|специалист|специалистами|специалистами|NOUN|166|13|5||2|1.0
119|должен|должны|должны|ADJS|167|13|6||4|1.0
120|соскочить|соскочить|соскочить|INFN|169|13|8|WIQM|1|1.0
121|проект|проектов|проектов|NOUN|171|13|10||1|1.0
122|выжил|выживут|Выживут|VERB|172|14|1||1|1.0
123|стартап|стартапы|стартапы|NOUN|174|14|3||2|1.0
124|внутренний|внутреннего|внутреннего|ADJF|175|14|4||1|1.0
125|пользование|пользования|пользования|NOUN|176|14|5||1|1.0
126|вариант|вариантов|вариантов|NOUN|180|14|9||2|1.0
127|экспорт|экспорта|экспорта|NOUN|181|14|10||1|1.0
128|рассуждаю|рассуждает|рассуждает|VERB|182|14|11||1|1.0
129|разговор|разговоре|разговоре|NOUN|184|14|13||1|1.0
130|inc|inc|Inc|TITL|186|14|15|TITL|1|1.0
131|гендиректор|гендиректор|гендиректор|NOUN|187|14|16||1|1.0
132|компания|компании|компании|NOUN|188|14|17||1|1.0
133|спг|спг|СПГ|ABVR|189|14|18|SPEC|1|1.0
134|гкл|горская кирилл лятс|Горская Кирилл Лятс|NAME|190|14|19|NAME|1|1.0
135|мнение|мнению|мнению|NOUN|192|15|2||1|1.0
136|эксперт|эксперта|эксперта|NOUN|193|15|3||2|1.0
137|требование|требования|требования|NOUN|194|15|4||2|1.0
138|минобрнауки|минобрнауки|Минобрнауки|NOUN|195|15|5|TITL|5|1.0
139|делаю|делают|делают|VERB|196|15|6||1|1.0
140|российский|российские|российские|ADJF|197|15|7||4|1.0
141|стартап|стартапы|стартапы|NOUN|198|15|8||2|1.0
142|весь|всю|всю|ADJF|200|15|10||1|1.0
143|наука|науку|науку|NOUN|201|15|11||2|1.0
144|целое|целом|целом|NOUN|203|15|13||1|1.0
145|токсичный|токсичными|токсичными|ADJF|204|15|14||1|1.0
146|излучающий|излучающими|излучающими|ADJF|205|15|15||1|1.0
147|негатив|негатив|негатив|NOUN|206|15|16||1|1.0
148|болезнь|болезнь|болезнь|NOUN|207|15|17||1|1.0
149|не|не|не|PRCL|209|16|2||5|1.0
150|захотел|захочет|захочет|VERB|210|16|3||1|1.0
151|условие|условиях|условиях|NOUN|213|16|6||1|1.0
152|работать|работать|работать|INFN|214|16|7||1|1.0
153|выраженный|выраженный|выраженный|ADJF|217|17|3||1|1.0
154|вариант|вариант|вариант|NOUN|218|17|4||2|1.0
155|железный|железного|железного|ADJF|219|17|5||1|1.0
