|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
1|клепач|клепач|Клепач|TITL|2|1|2|TITL|1.0|2|2
5|опк|опк|ОПК|ABVR|8|1|8|SPEC|1.0|4|4
14|москва|москва|МОСКВА|NOUN|25|1|25|UPPR|1.0|1|1
15|12 июля|12 июля|12 июля|NUSR|26|1|26|NUSR|1.0|1|1
16|тасс|тасс|ТАСС|NOUN|27|2|1|WIQM|1.0|2|2
17|30 до 40%|30 до 40%|30 до 40%|NUSR|29|3|2|NUSR|1.0|1|1
24|комплекс|комплексе|комплексе|NOUN|39|3|12|SPEC|1.0|3|3
27|тасс|тасс|ТАСС|NOUN|43|3|16|UPPR|1.0|2|2
29|бр|будущее россии|Будущее России|NAME|46|3|19|NAME|1.0|1|1
34|вр|вэб.рф|ВЭБ.РФ|ABVR|51|4|5|ABVR|1.0|2|2
35|ак|андрей клепач|Андрей Клепач|NAME|52|4|6|NAME|1.0|1|1
38|до 30-40%|до 30-40%|до 30-40%|NUSR|58|5|6|NUSR|1.0|1|1
45|комплекс|комплексе|комплексе|NOUN|71|5|19|SPEC|1.0|3|3
50|самолет|самолеты|самолеты|NOUN|80|6|9|SPEC|1.0|1|1
51|мс-21|мс-21|МС-21|DSNU|81|6|10|DSNU|1.0|1|1
52|superjet|superjet|Superjet|TITL|85|6|14|TITL|1.0|1|1
55|уг|умного города|умного города|WIQM|90|7|5|WIQM|1.0|2|2
61|жкх|жкх|ЖКХ|NOUN|97|7|12|UPPR|1.0|1|1
63|прибор|приборов|приборов|NOUN|99|7|14|SPEC|1.0|1|1
74|предприятие|предприятия|предприятия|NOUN|114|8|6|SPEC|1.0|2|2
75|опк|опк|ОПК|ABVR|115|8|7|SPEC|1.0|4|4
79|вр|вэб.рф|ВЭБ.РФ|ABVR|122|9|5|ABVR|1.0|2|2
80|роскосмос|роскосмоса|Роскосмоса|NOUN|124|9|7|TITL|1.0|1|1
83|уг|умного города|умного города|WIQM|129|9|12|WIQM|1.0|2|2
88|опк|опк|ОПК|ABVR|136|10|7|SPEC|1.0|4|4
98|умный|умной|умной|ADJF|158|11|6|WIQM|1.0|1|1
104|предприятие|предприятия|предприятия|NOUN|170|11|18|SPEC|1.0|2|2
106|комплекс|комплекса|комплекса|NOUN|172|11|20|SPEC|1.0|3|3
110|опк|опк|ОПК|ABVR|179|12|4|SPEC|1.0|4|4
115|ввп|ввп|ВВП|NOUN|188|12|13|UPPR|1.0|1|1
