|values
allwordscount|357.0
relwordscount|250.0
badwordscount|105.0
garbagewordscount|2.0
typeswords|['NOUN', 'VERB', 'INFN', 'ADJF', 'NAME', 'NUSR', 'PRTS', 'UPPR', 'ADJS', 'PRTF', 'PRCL', 'UNKN', 'ABVR', 'NUMR', 'TITL', 'GRND']
sentscount|17.0
minwordssent|1.0
maxwordssent|66.0
meanwordssent|21.0
minrepeatword|1.0
maxrepeatword|8.0
meanrepeatword|2.3
allcolumnsstat|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent']
garbage-%|0.56
bad-%|29.41
