|values
keyscount|81.0
Ukeyscount|36.0
Skeyscount|10.0
USkeyscount|4.0
Nkeyscount|24.0
UNkeyscount|6.0
partlangkeys|['NOUN', 'NAME', 'NUSR', 'ADJF', 'UPPR', 'ABVR', 'TITL']
typeskeys|[None, 'SPEC', 'NAME', 'NUSR', 'UPPR', 'TITL']
inwhatsents|[1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17]
minkeyssent|1.0
maxkeyssent|11.0
meankeyssent|5.4
minrepeatkey|1.0
maxrepeatkeys|8.0
meanrepeatkey|3.85
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent', 'count_key_text']
keys-%|22.69
Ukeys-%|10.08
KUkeys-%|44.44
Skeys-%|2.8
Skeysofkeys-%|12.35
USkeysofUkeys-%|11.11
Nkeys-%|6.72
Nkeysofkeys-%|29.63
UNkeysofUkeys-%|16.67
