|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
0|токио|токио|Токио|NOUN|1|1|1||7|1.0|7
5|россия|россии|России|NOUN|7|1|7|SPEC|6|1.0|6
6|юк|южными курилами|Южными Курилами|NAME|9|1|9|NAME|4|1.0|4
8|9 августа|9 августа|9 августа|NUSR|11|3|1|NUSR|1|1.0|1
9|интерфакс|интерфакс|ИНТЕРФАКС|NOUN|12|4|1|UPPR|1|1.0|1
11|токио|токио|Токио|NOUN|16|4|5|TITL|7|1.0|7
13|официальный|официальных|официальных|ADJF|18|4|7||6|2.0|6
15|российский|российские|российские|ADJF|21|4|10||8|1.0|8
16|курилы|курилы|Курилы|NOUN|22|4|11|TITL|1|1.0|1
25|официальный|официальный|официальный|ADJF|36|4|25||6|2.0|6
26|представитель|представитель|представитель|NOUN|37|4|26||4|1.0|4
27|мр|мид рф|МИД РФ|UPPR|38|4|27|UPPR|3|1.0|3
28|мз|мария захарова|Мария Захарова|NAME|39|4|28|NAME|1|1.0|1
29|токио|токио|Токио|NOUN|41|5|2|TITL|7|1.0|7
41|курильский|курильских|Курильских|ADJF|57|5|18|TITL|2|1.0|2
42|остров|островов|островов|NOUN|58|5|19||4|1.0|4
43|сахалинский|сахалинской|Сахалинской|ADJF|60|5|21|TITL|3|1.0|3
45|2016-2025 годах|2016-2025 годах|2016-2025 годах|NUSR|63|5|24|NUSR|1|1.0|1
47|российский|российский|российский|ADJF|68|5|29||8|2.0|8
49|официальный|официальных|официальных|ADJF|70|5|31||6|1.0|6
52|представитель|представителей|представителей|NOUN|74|5|35||4|1.0|4
53|российский|российского|российского|ADJF|75|5|36||8|2.0|8
67|тихий|тихого|Тихого|ADJF|96|5|57|TITL|1|1.0|1
71|захарова|захарова|Захарова|NOUN|101|5|62|TITL|4|1.0|4
74|захарова|захарова|Захарова|NOUN|106|6|1||4|1.0|4
76|россия|россии|России|NOUN|110|6|5|SPEC|6|1.0|6
81|официальный|официальных|официальных|ADJF|116|6|11||6|1.0|6
83|российский|российские|российские|ADJF|119|6|14||8|1.0|8
86|остров|острове|острове|NOUN|123|6|18||4|1.0|4
87|кунашир|кунашир|Кунашир|NOUN|124|6|19|TITL|2|1.0|2
88|5-10 августа|5-10 августа|5-10 августа|NUSR|125|6|20|NUSR|1|1.0|1
91|россия|россией|Россией|NOUN|130|7|3|SPEC|6|1.0|6
92|япония|японией|Японией|NOUN|132|7|5|SPEC|2|1.0|2
106|официальный|официальный|официальный|ADJF|154|9|5||6|1.0|6
107|представитель|представитель|представитель|NOUN|155|9|6||4|1.0|4
108|мр|мид рф|МИД РФ|UPPR|156|9|7|UPPR|3|1.0|3
109|захарова|захарова|Захарова|NOUN|159|10|3|TITL|4|1.0|4
112|токио|токио|Токио|NOUN|163|10|7|TITL|7|1.0|7
118|рф|рф|РФ|NOUN|174|10|18|UPPR|2|1.0|2
119|юк|южными курилами|Южными Курилами|NAME|176|10|20|NAME|4|1.0|4
121|второй|второй|Второй|ADJF|179|10|23|TITL|2|1.0|2
131|сахалинский|сахалинской|Сахалинской|ADJF|194|11|13|TITL|3|1.0|3
148|захарова|захарова|Захарова|NOUN|217|11|36|TITL|4|1.0|4
149|6 августа|6 августа|6 августа|NUSR|218|12|1|NUSR|1|1.0|1
151|ятк|японии тоёхиса кодзуки|Японии Тоёхиса Кодзуки|NAME|220|12|3|NAME|1|1.0|1
153|мид|мид|МИД|ABVR|224|12|7|SPEC|1|1.0|1
154|россия|россии|России|NOUN|225|12|8|SPEC|6|2.0|6
156|российский|российского|российского|ADJF|228|12|11||8|1.0|8
159|им|игорь моргулов|Игорь Моргулов|NAME|231|12|14|NAME|1|1.0|1
164|токио|токио|Токио|NOUN|238|12|21|TITL|7|1.0|7
167|россия|россии|России|NOUN|243|12|26|SPEC|6|2.0|6
168|юк|южных курилах|Южных Курилах|NAME|245|12|28|NAME|4|1.0|4
169|российский|российской|российской|ADJF|247|13|2||8|2.0|8
173|официальный|официального|официального|ADJF|253|13|8||6|1.0|6
174|токио|токио|Токио|NOUN|254|13|9|TITL|7|1.0|7
178|сахалинский|сахалинской|Сахалинской|ADJF|260|13|15|TITL|3|1.0|3
180|представитель|представителями|представителями|NOUN|262|13|17||4|1.0|4
181|российский|российского|российского|ADJF|263|13|18||8|2.0|8
195|россия|россии|России|NOUN|285|13|40|SPEC|6|1.0|6
198|мр|мид рф|МИД РФ|UPPR|289|13|44|UPPR|3|1.0|3
204|токио|токио|Токио|NOUN|298|14|9|TITL|7|1.0|7
206|смоленский|смоленской|Смоленской|ADJF|301|14|12|TITL|1|1.0|1
208|япония|япония|Япония|NOUN|303|15|1|SPEC|2|1.0|2
212|остров|острова|острова|NOUN|308|15|6||4|1.0|4
213|курильский|курильской|Курильской|ADJF|309|15|7|TITL|2|1.0|2
215|итуруп|итуруп|Итуруп|NOUN|311|15|9|TITL|2|1.0|2
216|кунашир|кунашир|Кунашир|NOUN|312|15|10|TITL|2|1.0|2
217|шикотан|шикотан|Шикотан|NOUN|313|15|11|TITL|1|1.0|1
218|хабомаи|хабомаи|Хабомаи|TITL|315|15|13|TITL|1|1.0|1
220|трактат|трактат|Трактат|NOUN|318|15|16|TITL|1|1.0|1
