|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|токио|токио|Токио|NOUN|1|1|1||7|1.0
1|пытаюсь|пытается|пытается|VERB|3|1|3||2|1.0
2|игнорировать|игнорировать|игнорировать|INFN|4|1|4||2|1.0
3|неоспоримый|неоспоримый|неоспоримый|ADJF|5|1|5||2|1.0
4|суверенитет|суверенитет|суверенитет|NOUN|6|1|6||3|1.0
5|россия|россии|России|NOUN|7|1|7|SPEC|6|1.0
6|юк|южными курилами|Южными Курилами|NAME|9|1|9|NAME|4|1.0
7|москва|москва|Москва|NOUN|10|2|1||2|1.0
8|9 августа|9 августа|9 августа|NUSR|11|3|1|NUSR|1|1.0
9|интерфакс|интерфакс|ИНТЕРФАКС|NOUN|12|4|1|UPPR|1|1.0
10|протест|протесты|протесты|NOUN|15|4|4||3|1.0
11|токио|токио|Токио|NOUN|16|4|5|TITL|7|1.0
12|поездка|поездки|поездки|NOUN|17|4|6||2|1.0
13|официальный|официальных|официальных|ADJF|18|4|7||6|2.0
14|лицо|лиц|лиц|NOUN|19|4|8||3|1.0
15|российский|российские|российские|ADJF|21|4|10||8|1.0
16|курилы|курилы|Курилы|NOUN|22|4|11|TITL|1|1.0
17|продолжен|продолжены|продолжены|PRTS|24|4|13||3|2.0
18|продолжен|продолжены|продолжены|PRTS|26|4|15||3|2.0
19|плановый|плановые|плановые|ADJF|28|4|17||2|1.0
20|мероприятие|мероприятия|мероприятия|NOUN|29|4|18||3|1.0
21|укрепление|укреплению|укреплению|NOUN|31|4|20||2|1.0
22|обороноспособность|обороноспособности|обороноспособности|NOUN|32|4|21||2|1.0
23|регион|регионе|регионе|NOUN|34|4|23||2|1.0
24|заявил|заявила|заявила|VERB|35|4|24||4|1.0
25|официальный|официальный|официальный|ADJF|36|4|25||6|2.0
26|представитель|представитель|представитель|NOUN|37|4|26||4|1.0
27|мр|мид рф|МИД РФ|UPPR|38|4|27|UPPR|3|1.0
28|мз|мария захарова|Мария Захарова|NAME|39|4|28|NAME|1|1.0
29|токио|токио|Токио|NOUN|41|5|2|TITL|7|1.0
30|должен|должны|должны|ADJS|42|5|3||1|1.0
31|отдавать|отдавать|отдавать|INFN|43|5|4||1|1.0
32|полный|полный|полный|ADJF|45|5|6||1|1.0
33|отчет|отчет|отчет|NOUN|46|5|7||1|1.0
34|последовательный|последовательная|последовательная|ADJF|50|5|11||1|1.0
35|реализация|реализация|реализация|NOUN|51|5|12||1|1.0
36|федеральный|федеральной|федеральной|ADJF|52|5|13||1|1.0
37|целевой|целевой|целевой|ADJF|53|5|14||1|1.0
38|программа|программы|программы|NOUN|54|5|15||1|1.0
39|социально-экономический|социально-экономического|социально-экономического|ADJF|55|5|16||2|1.0
40|развитие|развития|развития|NOUN|56|5|17||1|1.0
41|курильский|курильских|Курильских|ADJF|57|5|18|TITL|2|1.0
42|остров|островов|островов|NOUN|58|5|19||4|1.0
43|сахалинский|сахалинской|Сахалинской|ADJF|60|5|21|TITL|3|1.0
44|область|области|области|NOUN|61|5|22||3|1.0
45|2016-2025 годах|2016-2025 годах|2016-2025 годах|NUSR|63|5|24|NUSR|1|1.0
46|поездка|поездки|поездки|NOUN|65|5|26||2|1.0
47|российский|российский|российский|ADJF|68|5|29||8|2.0
48|регион|регион|регион|NOUN|69|5|30||2|1.0
49|официальный|официальных|официальных|ADJF|70|5|31||6|1.0
50|лицо|лиц|лиц|NOUN|71|5|32||3|1.0
51|высокопоставленный|высокопоставленных|высокопоставленных|ADJF|73|5|34||1|1.0
52|представитель|представителей|представителей|NOUN|74|5|35||4|1.0
53|российский|российского|российского|ADJF|75|5|36||8|2.0
54|правительство|правительства|правительства|NOUN|76|5|37||1|1.0
55|плановый|плановые|плановые|ADJF|79|5|40||2|1.0
56|мероприятие|мероприятия|мероприятия|NOUN|80|5|41||3|1.0
57|укрепление|укреплению|укреплению|NOUN|82|5|43||2|1.0
58|обороноспособность|обороноспособности|обороноспособности|NOUN|83|5|44||2|1.0
59|наш|нашей|нашей|ADJF|84|5|45||3|1.0
60|страна|страны|страны|NOUN|85|5|46||1|1.0
61|число|числе|числе|NOUN|88|5|49||2|1.0
62|учет|учетом|учетом|NOUN|90|5|51||1|1.0
63|военно-политический|военно-политической|военно-политической|ADJF|91|5|52||1|1.0
64|ситуация|ситуации|ситуации|NOUN|92|5|53||1|1.0
65|северо-западный|северо-западной|северо-западной|ADJF|94|5|55||1|1.0
66|часть|части|части|NOUN|95|5|56||2|1.0
67|тихий|тихого|Тихого|ADJF|96|5|57|TITL|1|1.0
68|океан|океана|океана|NOUN|97|5|58||1|1.0
69|продолжен|продолжены|продолжены|PRTS|99|5|60||3|1.0
70|заявил|заявила|заявила|VERB|100|5|61||4|1.0
71|захарова|захарова|Захарова|NOUN|101|5|62|TITL|4|1.0
72|пятница|пятницу|пятницу|NOUN|103|5|64||1|1.0
73|брифинг|брифинге|брифинге|NOUN|105|5|66||1|1.0
74|захарова|захарова|Захарова|NOUN|106|6|1||4|1.0
75|отметил|отметила|отметила|VERB|107|6|2||1|1.0
76|россия|россии|России|NOUN|110|6|5|SPEC|6|1.0
77|обратил|обратили|обратили|VERB|111|6|6||2|1.0
78|внимание|внимание|внимание|NOUN|112|6|7||2|1.0
79|реакция|реакцию|реакцию|NOUN|114|6|9||1|1.0
80|японский|японских|японских|ADJF|115|6|10||2|1.0
81|официальный|официальных|официальных|ADJF|116|6|11||6|1.0
82|лицо|лиц|лиц|NOUN|117|6|12||3|1.0
83|российский|российские|российские|ADJF|119|6|14||8|1.0
84|военный|военные|военные|NOUN|120|6|15||1|1.0
85|учение|учения|учения|NOUN|121|6|16||1|1.0
86|остров|острове|острове|NOUN|123|6|18||4|1.0
87|кунашир|кунашир|Кунашир|NOUN|124|6|19|TITL|2|1.0
88|5-10 августа|5-10 августа|5-10 августа|NUSR|125|6|20|NUSR|1|1.0
89|год|года|года|NOUN|127|6|22||1|1.0
90|отношение|отношения|Отношения|NOUN|128|7|1||1|1.0
91|россия|россией|Россией|NOUN|130|7|3|SPEC|6|1.0
92|япония|японией|Японией|NOUN|132|7|5|SPEC|2|1.0
93|продолжаю|продолжают|продолжают|VERB|133|7|6||1|1.0
94|развиваться|развиваться|развиваться|INFN|135|7|8||1|1.0
95|направление|направлениям|направлениям|NOUN|137|7|10||1|1.0
96|задаю|задают|задают|VERB|139|7|12||1|1.0
97|активный|активные|активные|ADJF|140|7|13||1|1.0
98|двусторонний|двусторонние|двусторонние|ADJF|141|7|14||1|1.0
99|контакт|контакты|контакты|NOUN|142|7|15||1|1.0
100|высший|высшем|высшем|ADJF|144|7|17||1|1.0
101|уровень|уровне|уровне|NOUN|145|7|18||1|1.0
102|нацелен|нацелены|нацелены|PRTS|149|8|4||1|1.0
103|наш|наш|наш|ADJF|151|9|2||3|1.0
104|курс|курс|курс|NOUN|152|9|3||1|1.0
105|подчеркнул|подчеркнула|подчеркнула|VERB|153|9|4||1|1.0
106|официальный|официальный|официальный|ADJF|154|9|5||6|1.0
107|представитель|представитель|представитель|NOUN|155|9|6||4|1.0
108|мр|мид рф|МИД РФ|UPPR|156|9|7|UPPR|3|1.0
109|захарова|захарова|Захарова|NOUN|159|10|3|TITL|4|1.0
110|выразил|выразила|выразила|VERB|160|10|4||1|1.0
111|сожаление|сожаление|сожаление|NOUN|161|10|5||1|1.0
112|токио|токио|Токио|NOUN|163|10|7|TITL|7|1.0
113|пытаюсь|пытается|пытается|VERB|167|10|11||2|1.0
114|игнорировать|игнорировать|игнорировать|INFN|168|10|12||2|1.0
115|действительность|действительность|действительность|NOUN|169|10|13||1|1.0
116|неоспоримый|неоспоримый|неоспоримый|ADJF|172|10|16||2|1.0
117|суверенитет|суверенитет|суверенитет|NOUN|173|10|17||3|1.0
118|рф|рф|РФ|NOUN|174|10|18|UPPR|2|1.0
119|юк|южными курилами|Южными Курилами|NAME|176|10|20|NAME|4|1.0
120|итог|итогам|итогам|NOUN|178|10|22||2|1.0
121|второй|второй|Второй|ADJF|179|10|23|TITL|2|1.0
122|мировой|мировой|мировой|NOUN|180|10|24||2|1.0
123|война|войны|войны|NOUN|181|10|25||2|1.0
124|называемый|называемые|называемые|PRTF|185|11|4||1|1.0
125|протест|протесты|протесты|NOUN|186|11|5||3|1.0
126|наш|нашей|нашей|ADJF|188|11|7||3|1.0
127|законный|законной|законной|ADJF|189|11|8||1|1.0
128|деятельность|деятельности|деятельности|NOUN|190|11|9||1|1.0
129|данна|данной|данной|NOUN|192|11|11||1|1.0
130|часть|части|части|NOUN|193|11|12||2|1.0
131|сахалинский|сахалинской|Сахалинской|ADJF|194|11|13|TITL|3|1.0
132|область|области|области|NOUN|195|11|14||3|1.0
133|не|не|не|PRCL|196|11|15||2|1.0
134|неприемлем|неприемлемы|неприемлемы|ADJS|198|11|17||1|1.0
135|противоречу|противоречат|противоречат|VERB|201|11|20||1|1.0
136|постоянный|постоянным|постоянным|ADJF|202|11|21||1|1.0
137|заявление|заявлениям|заявлениям|NOUN|203|11|22||1|1.0
138|японский|японского|японского|ADJF|204|11|23||2|1.0
139|руководство|руководства|руководства|NOUN|205|11|24||2|1.0
140|намерение|намерении|намерении|NOUN|207|11|26||1|1.0
141|обеспечить|обеспечить|обеспечить|INFN|208|11|27||1|1.0
142|спокойный|спокойную|спокойную|ADJF|209|11|28||1|1.0
143|благожелательный|благожелательную|благожелательную|ADJF|211|11|30||1|1.0
144|атмосфера|атмосферу|атмосферу|NOUN|212|11|31||1|1.0
145|российско-японского|российско-японского|российско-японского|UNKN|214|11|33|UNKN|1|1.0
