|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
0|цамто|цамто|ЦАМТО|UPPR|1|1|1|UPPR|1.0|1|1
1|16.08|16 августа|16 августа|NUSR|2|1|2|NUSR|1.0|1|1
2|100е|100 ед|100 ед|NUSR|4|2|2|NUSR|1.0|1|1
3|военный|военной|военной|ADJF|5|2|3||2.0|5|5
4|техника|техники|техники|NOUN|6|2|4|SPEC|1.0|3|3
6|центральный|центральный|Центральный|ADJF|9|2|7|TITL|1.0|2|2
7|военный|военный|военный|NOUN|10|2|8||2.0|5|5
8|округа|округ|округ|NOUN|11|2|9||1.0|4|4
14|цво|цво|ЦВО|UPPR|18|2|16|UPPR|1.0|2|2
16|ал|александр лапин|Александр Лапин|NAME|20|2|18|NAME|1.0|2|2
22|округа|округа|округа|NOUN|29|3|9||1.0|4|4
24|109е|109 ед|109 ед|NUSR|31|3|11|NUSR|1.0|1|1
25|техника|техники|техники|NOUN|32|3|12|SPEC|1.0|3|3
29|ал|а.лапин|А.Лапин|FLNM|36|3|16|FLNM|1.0|2|2
35|станция|станции|станции|NOUN|46|4|10|SPEC|2.0|2|2
36|подлет|подлет|Подлет|NOUN|47|4|11|CLIV|1.0|1|1
39|новосибирский|новосибирской|Новосибирской|ADJF|52|4|16|TITL|1.0|1|1
43|комплекс|комплексы|комплексы|NOUN|56|4|20|SPEC|1.0|1|1
44|фагот|фагот|Фагот|NOUN|57|4|21|CLIV|1.0|1|1
49|алтайск|алтайском|Алтайском|NOUN|65|4|29|TITL|1.0|1|1
51|омский|омской|Омской|ADJF|68|4|32|TITL|1.0|1|1
54|станция|станции|станции|NOUN|71|4|35|SPEC|2.0|2|2
56|аурига|аурига|Аурига|CLIV|73|4|37|CLIV|1.0|1|1
58|машина|машины|машины|NOUN|75|4|39|SPEC|1.0|1|1
59|р-149|р-149|Р-149|DSNU|76|4|40|DSNU|1.0|1|1
62|самарский|самарской|Самарской|ADJF|81|4|45|TITL|1.0|1|1
63|свердловский|свердловской|Свердловской|ADJF|83|4|47|TITL|1.0|1|1
65|20е|20 ед|20 ед|NUSR|86|4|50|NUSR|1.0|1|1
68|техника|техники|техники|NOUN|90|4|54|SPEC|1.0|3|3
70|военный|военный|военный|NOUN|92|5|2||1.0|5|5
71|округа|округ|округ|NOUN|93|5|3||1.0|4|4
77|и29с|и 29 субъектов|и 29 субъектов|NUSR|100|5|10|NUSR|1.0|1|1
78|рф|рф|РФ|NOUN|101|5|11|UPPR|1.0|1|1
80|округа|округа|округа|NOUN|104|6|3||1.0|4|4
85|2|201-я|201-я|NUSR|110|6|9|NUSR|1.0|1|1
86|военный|военная|военная|ADJF|111|6|10||2.0|5|5
89|таджикистан|таджикистана|Таджикистана|NOUN|115|6|14|SPEC|1.0|1|1
91|военный|военная|военная|ADJF|117|6|16||2.0|5|5
93|киргизия|киргизии|Киргизии|NOUN|120|6|19|TITL|1.0|1|1
96|казахстан|казахстана|Казахстана|NOUN|126|6|25|SPEC|1.0|1|1
99|цво|цво|ЦВО|UPPR|129|6|28|UPPR|1.0|2|2
