|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
1|россия|россии|России|NOUN|4|1|4|SPEC|4|1.0|4
4|устинова|устинова|Устинова|NOUN|7|1|7|TITL|1|1.0|1
5|славский|славского|Славского|ADJF|9|1|9|TITL|1|1.0|1
7|предприятие|предприятия|предприятия|NOUN|11|2|2|SPEC|13|1.0|13
8|жв|живут впроголодь|живут впроголодь|WIQM|12|2|3|WIQM|1|1.0|1
13|уровень|уровне|уровне|NOUN|19|4|4||16|1.0|16
16|российский|российскому|российскому|ADJF|22|4|7||4|1.0|4
17|опк|опк|ОПК|ABVR|23|4|8|SPEC|14|1.0|14
20|700 миллиардов|700 миллиардов|700 миллиардов|NUSR|26|4|11|NUSR|1|1.0|1
24|предприятие|предприятий|предприятий|NOUN|31|5|4|SPEC|13|1.0|13
25|опк|опк|ОПК|ABVR|32|5|5|SPEC|14|1.0|14
29|развитие|развитие|развитие|NOUN|40|5|13||11|1.0|11
37|научный|научное|научное|ADJF|52|5|25||8|1.0|8
40|проблема|проблема|Проблема|NOUN|56|6|1||5|1.0|5
44|90-х|90-х|90-х|NUSR|62|7|3|NUSR|2|1.0|2
47|главный|главным|главным|ADJF|66|7|7||4|1.0|4
50|минфин|минфина|Минфина|NOUN|69|7|10|TITL|1|1.0|1
51|цб|цб|ЦБ|NOUN|71|7|12|UPPR|1|1.0|1
58|сторона|стороны|стороны|NOUN|87|8|11||5|1.0|5
62|создание|созданию|созданию|NOUN|92|8|16||4|1.0|4
63|осмысленный|осмысленных|осмысленных|PRTF|94|8|18|WIQM|1|1.0|1
64|условие|условий|условий|NOUN|95|8|19||5|1.0|5
68|опк|опк|ОПК|ABVR|101|8|25|SPEC|14|1.0|14
69|осуществление|осуществлению|Осуществлению|NOUN|102|9|1||9|1.0|9
72|90-х|90-х|90-х|NUSR|107|9|6|NUSR|2|1.0|2
74|министр|министр|министр|NOUN|110|9|9||4|1.0|4
76|ис|игорь сергеев|Игорь Сергеев|NAME|112|9|11|NAME|1|1.0|1
86|множество|множества|множества|NOUN|129|10|4||5|1.0|5
87|предприятие|предприятий|предприятий|NOUN|130|10|5|SPEC|13|1.0|13
88|опк|опк|ОПК|ABVR|131|10|6|SPEC|14|1.0|14
92|отношение|отношений|отношений|NOUN|135|11|4||4|1.0|4
95|промышленный|промышленной|промышленной|ADJF|139|11|8||5|1.0|5
96|политика|политикой|политикой|NOUN|140|11|9||4|1.0|4
100|наука|наука|наука|NOUN|149|12|9||15|1.0|15
118|предприятие|предприятий|предприятий|NOUN|174|14|7|SPEC|13|1.0|13
119|опк|опк|ОПК|ABVR|175|14|8|SPEC|14|1.0|14
139|ресурс|ресурсов|ресурсов|NOUN|204|14|37||5|1.0|5
147|снижение|снижение|снижение|NOUN|213|14|46||4|1.0|4
148|уровень|уровня|уровня|NOUN|214|14|47||16|1.0|16
151|множество|множество|множество|NOUN|220|15|3||5|1.0|5
152|министр|министров|министров|NOUN|221|15|4||4|1.0|4
159|уровень|уровне|уровне|NOUN|231|15|14||16|1.0|16
160|государственный|государственного|государственного|ADJF|232|15|15||15|1.0|15
171|техника|техники|техники|NOUN|246|16|14|SPEC|2|1.0|2
173|наш|нашего|нашего|ADJF|249|16|17||5|1.0|5
175|технология|технологиях|технологиях|NOUN|252|16|20||8|1.0|8
176|уровень|уровень|Уровень|NOUN|253|17|1||16|1.0|16
182|экономика|экономики|экономики|NOUN|263|17|11||8|1.0|8
184|втчр|в три-четыре раза|в три-четыре раза|ABVR|269|18|6|ABVR|1|1.0|1
187|страна|странам|странам|NOUN|272|18|9||13|1.0|13
190|технология|технологий|технологий|NOUN|276|19|4||8|1.0|8
192|китай|китай|Китай|NOUN|282|19|10|SPEC|2|1.0|2
197|страна|страны|страны|NOUN|290|20|8||13|1.0|13
200|экономический|экономического|экономического|ADJF|293|21|3||5|1.0|5
210|наш|наших|наших|ADJF|305|21|15||5|1.0|5
211|научный|научных|научных|ADJF|306|21|16||8|1.0|8
213|возможность|возможностей|возможностей|NOUN|309|21|19||4|1.0|4
215|государственный|государственного|государственного|ADJF|312|21|22||15|1.0|15
219|необходимость|необходимость|необходимость|NOUN|318|22|5||6|1.0|6
222|сторона|стороны|стороны|NOUN|322|22|9||5|1.0|5
226|четверть|четверти|четверти|NOUN|327|23|3||4|1.0|4
227|век|века|века|NOUN|328|23|4||4|1.0|4
229|необходимость|необходимости|необходимости|NOUN|332|23|8||6|1.0|6
233|развитие|развития|развития|NOUN|337|23|13||11|1.0|11
243|уровень|уровень|уровень|NOUN|357|24|20||16|1.0|16
245|задача|задачи|задачи|NOUN|361|24|24||5|1.0|5
251|государственный|государственная|государственная|ADJF|373|25|9||15|1.0|15
252|политика|политика|политика|NOUN|374|25|10||4|1.0|4
253|сфера|сфере|сфере|NOUN|376|25|12||4|1.0|4
254|наука|науки|науки|NOUN|377|25|13||15|1.0|15
255|промышленность|промышленности|промышленности|NOUN|379|25|15||5|1.0|5
257|минэкономразвития|минэкономразвития|Минэкономразвития|NOUN|383|26|4|TITL|1|1.0|1
258|минпромторг|минпромторг|Минпромторг|TITL|385|26|6|TITL|1|1.0|1
261|промышленный|промышленной|промышленной|ADJF|391|27|6||5|1.0|5
262|политик|политики|политики|NOUN|392|27|7||9|1.0|9
266|бережливый|бережливая|бережливая|ADJF|397|27|12|WIQM|1|1.0|1
267|циркулярный|циркулярная|циркулярная|ADJF|398|27|13|WIQM|1|1.0|1
268|цэ|цифровая экономика|цифровая экономика|WIQM|399|27|14|WIQM|2|1.0|2
269|кластер|кластеры|кластеры|NOUN|400|27|15|WIQM|1|1.0|1
270|мультикластеры|мультикластеры|мультикластеры|WIQM|401|27|16|WIQM|1|1.0|1
271|платформа|платформы|платформы|NOUN|402|27|17|SPEC|1|1.0|1
272|альянс|альянсы|альянсы|NOUN|403|27|18|WIQM|1|1.0|1
279|проблема|проблем|проблем|NOUN|414|29|4||5|1.0|5
288|условие|условия|условия|NOUN|424|29|14||5|1.0|5
291|возможность|возможностей|возможностей|NOUN|428|29|18||4|1.0|4
