|values
allwordscount|1803.0
relwordscount|1252.0
badwordscount|538.0
garbagewordscount|13.0
typeswords|['ADJF', 'NOUN', 'PRED', 'WIQM', 'ADJS', 'VERB', 'ABVR', 'NUSR', 'GRND', 'PRTS', 'INFN', 'UNKN', 'PRCL', 'PRTF', 'NAME', 'ADVB', 'TITL', 'ROMN', 'COMP', 'NUMR', 'UPPR', 'CLIV', 'NUMB']
sentscount|108.0
minwordssent|2.0
maxwordssent|48.0
meanwordssent|16.82
minrepeatword|1.0
maxrepeatword|16.0
meanrepeatword|3.4
allcolumnsstat|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_text', 'count_word_sent']
garbage-%|0.72
bad-%|29.84
