|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
0|цамто|цамто|ЦАМТО|UPPR|1|1|1|UPPR|1.0|2|2
1|2 июля|2 июля|2 июля|NUSR|2|1|2|NUSR|1.0|1|1
2|рособронэкспорт|рособронэкспорт|Рособронэкспорт|CLIV|3|2|1|CLIV|1.0|2|2
4|вр|вертолеты россии|Вертолеты России|CLIV|7|2|5|CLIV|1.0|2|2
7|вооруженный|вооруженным|Вооруженным|ADJF|10|2|8|TITL|1.0|2|2
9|египет|египта|Египта|NOUN|12|2|10|SPEC|1.0|7|7
11|вертолет|вертолетов|вертолетов|NOUN|14|2|12|SPEC|1.0|5|5
12|ка-52|ка-52|Ка-52|DSNU|15|2|13|DSNU|1.0|9|9
13|аллигатор|аллигатор|Аллигатор|NOUN|16|2|14|CLIV|1.0|4|4
15|sm|scramble magazine|Scramble Magazine|NAME|19|3|3|NAME|1.0|1|1
17|владивосток|владивостоке|Владивостоке|NOUN|23|3|7|TITL|1.0|1|1
21|военно-транспортный|военно-транспортного|военно-транспортного|ADJF|28|3|12|SPEC|1.0|1|1
22|самолет|самолета|самолета|NOUN|29|3|13|SPEC|1.0|1|1
23|ан-124|ан-124|Ан-124|DSNU|30|3|14|DSNU|1.0|2|2
25|вертолет|вертолета|вертолета|NOUN|32|3|16|SPEC|1.0|5|5
26|ка-52|ка-52|Ка-52|DSNU|33|3|17|DSNU|1.0|9|9
27|сн6|с.н 6630|с.н 6630|ABVR|34|3|18|ABVR|1.0|1|1
29|ввс|ввс|ВВС|ABVR|37|3|21|SPEC|1.0|1|1
30|египет|египта|Египта|NOUN|38|3|22|SPEC|1.0|7|7
32|twitter|twitter|Twitter|NAME|42|4|4|NAME|1.0|1|1
33|рб|рустама богаудинова|Рустама Богаудинова|NAME|43|4|5|NAME|1.0|1|1
37|ка-52|ка-52|Ка-52|DSNU|51|4|13|DSNU|1.0|9|9
41|ан-124|ан-124|Ан-124|DSNU|57|4|19|DSNU|1.0|2|2
43|цамто|цамто|ЦАМТО|UPPR|61|5|4|UPPR|1.0|2|2
44|вооруженный|вооруженные|Вооруженные|ADJF|62|5|5|TITL|1.0|2|2
46|египет|египта|Египта|NOUN|64|5|7|SPEC|1.0|7|7
48|ао|ао|АО|ABVR|67|5|10|SPEC|1.0|1|1
49|рособронэкспорт|рособронэкспорт|Рособронэкспорт|CLIV|68|5|11|CLIV|1.0|2|2
52|46 вертолетов|46 вертолетов|46 вертолетов|NUSR|72|5|15|NUSR|1.0|1|1
53|ка-52|ка-52|Ка-52|DSNU|73|5|16|DSNU|1.0|9|9
54|аллигатор|аллигатор|Аллигатор|NOUN|74|5|17|CLIV|1.0|4|4
55|2015 году|2015 году|2015 году|NUSR|76|5|19|NUSR|1.0|1|1
56|египет|египет|Египет|NOUN|77|6|1|SPEC|1.0|7|7
62|машина|машины|машины|NOUN|83|6|7|SPEC|1.0|1|1
64|вертолет|вертолет|вертолет|NOUN|85|7|2|SPEC|1.0|5|5
65|ка-52|ка-52|Ка-52|DSNU|86|7|3|DSNU|1.0|9|9
70|предприятие|предприятии|предприятии|NOUN|94|7|11|SPEC|1.0|1|1
71|пао|пао|ПАО|ABVR|95|7|12|SPEC|1.0|1|1
72|аакп|арсеньевская авиационная компания прогресс имени н.и.сазыкина|Арсеньевская авиационная компания Прогресс имени Н.И.Сазыкина|WIQM|96|7|13|WIQM|1.0|1|1
74|2017 года|2017 года|2017 года|NUSR|99|7|16|NUSR|1.0|3|3
75|2017 году|2017 году|2017 году|NUSR|101|8|2|NUSR|1.0|1|1
79|вр|вертолеты россии|Вертолеты России|CLIV|105|8|6|CLIV|1.0|2|2
80|аб|андрей богинский|Андрей Богинский|NAME|106|8|7|NAME|1.0|1|1
84|2017 года|2017 года|2017 года|NUSR|113|8|14|NUSR|1.0|3|3
85|египет|египет|Египет|NOUN|115|8|16|SPEC|1.0|7|7
87|15 ед|15 ед|15 ед|NUSR|118|8|19|NUSR|1.0|1|1
88|ка-52|ка-52|Ка-52|DSNU|119|9|1|DSNU|1.0|9|9
91|ка-52|ка-52|Ка-52|DSNU|122|10|3|DSNU|1.0|9|9
93|вс|вс|ВС|ABVR|125|10|6|SPEC|1.0|2|2
94|египет|египта|Египта|NOUN|126|10|7|SPEC|1.0|7|7
96|2017 года|2017 года|2017 года|NUSR|129|10|10|NUSR|1.0|3|3
103|2018 года|2018 года|2018 года|NUSR|142|11|6|NUSR|1.0|1|1
108|катамея|катамея|Катамея|TITL|147|11|11|TITL|1.0|1|1
109|рк|район каира|район Каира|ABVR|148|11|12|ABVR|1.0|1|1
112|вс|вс|ВС|ABVR|154|11|18|SPEC|1.0|2|2
113|египет|египта|Египта|NOUN|155|11|19|SPEC|1.0|7|7
116|12 вертолетов|12 вертолетов|12 вертолетов|NUSR|159|11|23|NUSR|1.0|1|1
117|ка-52|ка-52|Ка-52|DSNU|160|11|24|DSNU|1.0|9|9
118|аллигатор|аллигатор|Аллигатор|NOUN|161|11|25|CLIV|1.0|4|4
123|вертолет|вертолет|вертолет|NOUN|166|12|3|SPEC|2.0|5|5
126|ка-52|ка-52|Ка-52|DSNU|169|12|6|DSNU|1.0|9|9
127|аллигатор|аллигатор|Аллигатор|NOUN|170|12|7|CLIV|1.0|4|4
130|танк|танков|танков|NOUN|174|12|11|SPEC|1.0|1|1
134|техника|техники|техники|NOUN|179|12|16|SPEC|1.0|1|1
137|вертолет|вертолетов|вертолетов|NOUN|183|12|20|SPEC|2.0|5|5
